RELATÓRIO DE CRESCIMENTO - Desenvolvimento Infantil
Equipes: eAP, eSF
Competências: ABR/25, AGO/25, DEZ/25

==================================================
RESUMO DAS VARIAÇÕES
==================================================
ABR_25: Média de pontuação = 32.53
AGO_25: Média de pontuação = 29.01
DEZ_25: Média de pontuação = 28.05

% de crescimento entre 2025-04 e 2025-08: -10.04%
% de crescimento entre 2025-08 e 2025-12: -2.43%

Crescimento total médio: -12.27%

==================================================
TOP 5 - MAIOR CRESCIMENTO
==================================================
  ESF ITAIPU (INE: 0002458152): 38.12%
  ESF ESMERALDA (INE: 0002416735): 18.34%
  ESF EQ 24 - VILA NOVA 1 (INE: 0001676458): 15.59%
  EQUIPE 07 - LILAS (INE: 0001669125): 10.76%
  ESF EQ 23 - PEQUI (INE: 0001669087): 8.45%

==================================================
TOP 5 - MENOR CRESCIMENTO
==================================================
  ESF EQ 12 - ROSA (INE: 0001668978): -50.00%
  ESF TORORO (INE: 0001686534): -47.08%
  ESF EQ 14 - MARROM (INE: 0001642014): -42.43%
  ESF EQ 11 - MARROM (INE: 0001469363): -40.00%
  EQUIPE 04 - LARANJA (INE: 0001669095): -39.13%


==================================================
DADOS COMPLETOS
==================================================

ESTABELECIMENTO;INE;NOME DA EQUIPE;PONT_ABR_25;PONT_AGO_25;PONT_DEZ_25;VAR_1_2_%;VAR_2_3_%;CRESCIMENTO_TOTAL_%
UBS 3 RESIDENCIAL OESTE SAO SEBASTIAO;0000471356;ESF EQ 11 - OESTE 1;38.14;38.18;36.36;0.1;-4.77;-4.67
UBS 1 JARDINS MANGUEIRAL;0002198797;ESF ESMERALDA;33.75;35.29;30.0;4.56;-14.99;-11.11
UBS 1 ITAPOA;0000469483;ESF EQ 09 - LILAS;34.25;27.67;26.21;-19.21;-5.28;-23.47
UBS 5 NOVA BETANIA SAO SEBASTIAO;0000471194;ESF EQ 01 - NOVA BETANIA;37.27;35.29;35.79;-5.31;1.42;-3.97
UBS 1 JARDINS MANGUEIRAL;0002184478;ESF DIAMANTE;20.83;18.71;21.95;-10.18;17.32;5.38
UBS 2 ITAPOA;0002416735;ESF ESMERALDA;26.12;29.21;30.91;11.83;5.82;18.34
UBS 1 PARANOA;0001642227;ESF EQ 16 - LARANJA;38.33;33.14;31.52;-13.54;-4.89;-17.77
UBS 1 SAO SEBASTIAO;0001669141;EQUIPE 09 - VERDE;20.0;22.7;21.0;13.5;-7.49;5.0
UBS 1 SAO SEBASTIAO;0001669117;EQUIPE 06 AMARELA;31.0;27.06;25.71;-12.71;-4.99;-17.06
UBS 04 ITAPOA;0002138697;ESF EQ 15 RUBI;23.77;23.27;24.41;-2.1;4.9;2.69
UBS 3 ITAPOA;0001668935;ESF EQ 04;28.81;29.2;29.78;1.35;1.99;3.37
UBS 1 PARANOA;0001668978;ESF EQ 12 - ROSA;36.0;18.95;18.0;-47.36;-5.01;-50.0
UBS 1 SAO SEBASTIAO;0001669168;EQUIPE 10 - VERMELHA;21.08;17.5;19.43;-16.98;11.03;-7.83
UBS 7 CAFE SEM TROCO PARANOA;0000469548;ESF EQ 06 - CAFE SEM TROCO;32.54;28.06;30.43;-13.77;8.45;-6.48
UBS 3 ITAPOA;0001672053;ESF EQ 05;25.16;25.81;25.88;2.58;0.27;2.86
UBS 2 T R E SAO SEBASTIAO;0002458152;ESF ITAIPU;18.1;22.44;25.0;23.98;11.41;38.12
UBS 1 ITAPOA;0001634380;ESF EQ 12 - VERDE;37.24;28.0;27.06;-24.81;-3.36;-27.34
UBS 12 SAO JOSE SAO SEBASTIAO;0000471313;ESF EQ 17 - SAO JOSE;29.8;24.13;21.13;-19.03;-12.43;-29.09
UBS 1 PARANOA;0001642014;ESF EQ 14 - MARROM;32.17;23.75;18.52;-26.17;-22.02;-42.43
UBS 1 PARANOA;0001641980;ESF EQ 10 - AZUL;47.5;32.94;31.11;-30.65;-5.56;-34.51
UBS 3 ITAPOA;0001634399;ESF EQ 03;29.21;29.21;30.84;0.0;5.58;5.58
UBS 03 JARDIM BOTANICO;0001686534;ESF TORORO;40.95;23.33;21.67;-43.03;-7.12;-47.08
UBS 1 PARANOA;0001642006;ESF EQ 13 - LILAS;29.09;18.0;19.09;-38.12;6.06;-34.38
UBS 8 CAVAS DE BAIXO SAO SEBASTIAO;0001603426;ESF EQ 03 - CAVAS DE BAIXO;29.23;26.06;25.56;-10.85;-1.92;-12.56
UBS 1 PARANOA;0001668943;ESF EQ 08 - BRANCA;40.95;35.15;34.67;-14.16;-1.37;-15.34
UBS 1 PARANOA;0001668986;ESF EQ 15 - DOURADA;26.42;23.67;24.0;-10.41;1.39;-9.16
UBS 2 QUADRA 18 PARANOA;0000469459;ESF EQ 05 - QUADRA 18;31.3;30.39;26.91;-2.91;-11.45;-14.03
UBS 3 PARANOA PARQUE;0001669028;ESF EQ 19 - JATOBA;42.22;38.26;33.18;-9.38;-13.28;-21.41
UBS 19 VILA DO BOA SAO SEBASTIAO;0000471399;ESF EQ 14 - VILA DO BOA;34.44;31.47;30.16;-8.62;-4.16;-12.43
UBS 5 QUEBRADA DOS NERES;0000469386;EQ 03 - QUEBRADA DOS NERES;42.14;39.2;36.98;-6.98;-5.66;-12.24
UBS 7 MORRO DA CRUZ SAO SEBASTIAO;0000471437;ESF EQ 02 - MORRO DA CRUZ;28.05;23.95;21.1;-14.62;-11.9;-24.78
UBS 1 ITAPOA;0001642030;ESF EQ 14 - AMARELA;29.47;29.52;25.0;0.17;-15.31;-15.17
UBS 9 RESIDENCIAL DO BOSQUE 1 SAO SEBASTIAO;0000471410;ESF EQ 21 - BOSQUE 1;30.87;27.95;25.93;-9.46;-7.23;-16.0
UBS 1 SAO SEBASTIAO;0001669109;EQUIPE 05 - AZUL;20.67;18.24;18.42;-11.76;0.99;-10.89
UBS 6 SAO FRANCISCO SAO SEBASTIAO;0000471305;ESF EQ 16 - SAO FRANCISCO;36.45;32.54;34.92;-10.73;7.31;-4.2
UBS 1 PARANOA;0001668994;ESF EQ 17 - PRATA;32.2;27.08;21.15;-15.9;-21.9;-34.32
UBS 3 PARANOA PARQUE;0001669060;ESF EQ 21 - IPE;36.33;31.02;29.62;-14.62;-4.51;-18.47
UBS 1 PARANOA;0001668951;ESF EQ 11 - VERDE;28.39;25.33;26.5;-10.78;4.62;-6.66
UBS 1 SAO SEBASTIAO;0001669125;EQUIPE 07 - LILAS;25.0;27.27;27.69;9.08;1.54;10.76
UBS 2 ITAPOA;0000469440;ESF EQ 02;32.0;30.0;30.55;-6.25;1.83;-4.53
UBS 1 ITAPOA;0000469491;ESF EQ 08 - LARANJA;37.14;38.5;38.0;3.66;-1.3;2.32
UBS 1 ITAPOA;0000469513;ESF EQ 06 - AZUL;37.42;38.4;31.2;2.62;-18.75;-16.62
UBS 1 JARDINS MANGUEIRAL;0002186381;ESF AMETISTA;30.0;18.46;18.67;-38.47;1.14;-37.77
UBS 1 ITAPOA;0000469521;ESF EQ 10 - CINZA;26.47;19.39;28.24;-26.75;45.64;6.69
UBS 3 PARANOA PARQUE;0001669036;ESF EQ 20 - JACARANDA;35.83;32.26;30.8;-9.96;-4.53;-14.04
UBS 1 SAO SEBASTIAO;0000471186;EQUIPE 20 - BRANCA;22.11;20.0;19.56;-9.54;-2.2;-11.53
UBS 1 ITAPOA;0001469363;ESF EQ 11 - MARROM;50.0;40.0;30.0;-20.0;-25.0;-40.0
UBS 3 PARANOA PARQUE;0001669087;ESF EQ 23 - PEQUI;37.5;38.82;40.67;3.52;4.77;8.45
UBS 1 SAO SEBASTIAO;0000471151;ESF EQ 19 - PRATA;31.71;28.13;28.95;-11.29;2.92;-8.7
UBS 1 SAO SEBASTIAO;0001669095;EQUIPE 04 - LARANJA;25.71;22.78;15.65;-11.4;-31.3;-39.13
UBS 1 PARANOA;0000469351;ESF EQ 09 - AMARELA;29.41;28.42;26.36;-3.37;-7.25;-10.37
UBS 2 T R E SAO SEBASTIAO;0001676458;ESF EQ 24 - VILA NOVA 1;26.74;29.64;30.91;10.85;4.28;15.59
UBS 3 RESIDENCIAL OESTE SAO SEBASTIAO;0000471364;ESF EQ 12 - OESTE 2;52.41;40.0;33.33;-23.68;-16.68;-36.41
UBS 9 RESIDENCIAL DO BOSQUE 1 SAO SEBASTIAO;0000471429;ESF EQ 23 - VILA NOVA 2;36.6;32.77;33.57;-10.46;2.44;-8.28
UBS 10 JOAO CANDIDO SAO SEBASTIAO;0000471402;ESF EQ 22 - JOAO CANDIDO;37.88;36.98;34.74;-2.38;-6.06;-8.29
UBS 3 PARANOA PARQUE;0001669001;ESF EQ 18 - BURITI;35.5;36.84;31.35;3.77;-14.9;-11.69
UBS 1 JARDINS MANGUEIRAL;0002186403;ESF SAFIRA;33.33;24.0;28.24;-27.99;17.67;-15.27
UBS 1 SAO SEBASTIAO;0002396211;DOURADA;30.24;22.79;21.9;-24.64;-3.91;-27.58
UBS 4 MORRO AZUL SAO SEBASTIAO;0000471348;ESF EQ 13 - MORRO AZUL;31.89;31.0;29.8;-2.79;-3.87;-6.55
UBS 2 T R E SAO SEBASTIAO;0000471380;ESF EQ 15 - SETOR TRADICIONAL;33.24;33.51;35.73;0.81;6.62;7.49
UBS 2 ITAPOA;0000469432;ESF EQUIPE 01;36.49;32.65;32.0;-10.52;-1.99;-12.3
UBS 1 ITAPOA;0000469505;ESF EQ 07 - ROSA;25.0;18.33;22.0;-26.68;20.02;-12.0
UBS 1 SAO SEBASTIAO;0000471178;ESF EQ 18 - MARROM;42.33;37.33;31.2;-11.81;-16.42;-26.29
UBS 4 JARDIM II PARANOA;0000469378;ESF EQ 02 - JARDIM II;32.63;30.0;20.0;-8.06;-33.33;-38.71
UBS 2 QUADRA 18 PARANOA;0001642308;ESF EQ 07-SOBRADINHO DOS MELOS;28.0;24.0;22.8;-14.29;-5.0;-18.57
UBS 1 ITAPOA;0001642022;ESF EQ 13 - VERMELHA;36.76;31.35;35.91;-14.72;14.55;-2.31
UBS 8 PADDF PARANOA;0000469394;ESF EQ 01 - PAD-DF;42.78;46.11;45.14;7.78;-2.1;5.52
