RELATÓRIO DE EVOLUÇÃO - Desenvolvimento Infantil
Equipes: eAP, eSF
Competências: ABR/25, AGO/25, DEZ/25

==================================================
RESUMO DAS VARIAÇÕES
==================================================
ABR_25: Média de pontuação = 31.27
AGO_25: Média de pontuação = 28.14
DEZ_25: Média de pontuação = 27.75

% de crescimento entre 2025-04 e 2025-08: -8.37%
% de crescimento entre 2025-08 e 2025-12: 1.63%

Crescimento total médio: -8.41%

==================================================
TOP 5 - MAIOR CRESCIMENTO
==================================================
  EQUIPE CANTINHO DA SAUDE (INE: 0000468401): 100.00%
  ESF 56 - GAMA (INE: 0002507501): 100.00%
  ESF 19 LARANJA - UBS 03 REC (INE: 0000470228): 100.00%
  EQUIPE 5 - LARANJA (INE: 0002515512): 100.00%
  ESF 57 - CEU AZUL (INE: 0002533219): 100.00%

==================================================
TOP 5 - MENOR CRESCIMENTO
==================================================
  0538/21 (INE: 0001668579): -100.00%
  ESF 0339/06 - TABATINGA (INE: 0000469602): -100.00%
  EQUIPE VERDE (INE: 0001796860): -75.00%
  ESF 03 VERDE - UBS 05 TAG (INE: 0001660551): -68.90%
  ESF 0390/47 - ROSA PL (INE: 0001717197): -68.75%


==================================================
DADOS COMPLETOS
==================================================

ESTABELECIMENTO;INE;NOME DA EQUIPE;PONT_ABR_25;PONT_AGO_25;PONT_DEZ_25;VAR_1_2_%;VAR_2_3_%;CRESCIMENTO_TOTAL_%
UBS 04 SAMAMBAIA;0000470716;ESF 39 VERDE - UBS 04 SAM;25.45;28.82;32.26;13.24;11.94;26.76
UBS 1 LAGO SUL;0002449471;EQUIPE 2 LAGO SUL;21.74;21.6;24.52;-0.64;13.52;12.79
UBS 1 PARANOA;0000469351;ESF EQ 09 - AMARELA;29.41;28.42;26.36;-3.37;-7.25;-10.37
UBS 9 RESIDENCIAL DO BOSQUE 1 SAO SEBASTIAO;0000471429;ESF EQ 23 - VILA NOVA 2;36.6;32.77;33.57;-10.46;2.44;-8.28
UBS 07 SAMAMBAIA;0001621416;ESF 51 AZUL - UBS 07 SAM;19.09;21.57;22.26;12.99;3.2;16.61
UBS 01 TAGUATINGA;0001660462;ESF 04 ROSA - UBS 01 TAG;26.8;23.76;24.14;-11.34;1.6;-9.93
UBS 01 RIACHO FUNDO I;0002424355;ESF 08 - UBS 01 RIACHO FUNDO I;25.22;21.38;20.0;-15.23;-6.45;-20.7
UBS 9 CEILANDIA;0001665057;EQUIPE 4;32.73;29.31;25.67;-10.45;-12.42;-21.57
UBS 8 SANTA MARIA;0001668595;0540/23;33.42;31.43;31.6;-5.95;0.54;-5.45
UBS 04 RECANTO DAS EMAS;0001482262;ESF 15 VERMELHA - UBS 04 REC;32.0;29.33;24.62;-8.34;-16.06;-23.06
UBS 1 LAGO SUL;0002504723;EQUIPE 3 LAGO SUL;0.0;10.0;11.67;100.0;16.7;100.0
UBS 11 CEILANDIA;0001665073;EQUIPE 1 - LARANJA;31.43;23.33;22.5;-25.77;-3.56;-28.41
UBS 1 SOBRADINHO II;0001671383;ESF 0626/16 - AMARELA - SOB;32.31;29.52;24.14;-8.64;-18.22;-25.29
UBS 06 TAGUATINGA;0001668196;ESF 04 VERDE - UBS 06 TAG;20.0;13.33;24.29;-33.35;82.22;21.45
UBS 3 NOVA COLINA SOBRADINHO;0000471542;ESF 0594/03 - BURITI;33.33;33.33;32.5;0.0;-2.49;-2.49
UBS 01 ESTRUTURAL;0001641840;ESF 12 - UBS 01 ESTRUTURAL;41.38;35.85;38.04;-13.36;6.11;-8.07
UBS 12 PONTE ALTA GAMA;0000469181;0206/04;38.06;35.48;28.57;-6.78;-19.48;-24.93
UBS 1 LAGO NORTE;0001670255;EQUIPE RUBI;28.67;25.71;24.21;-10.32;-5.83;-15.56
UBS 5 QUEBRADA DOS NERES;0000469386;EQ 03 - QUEBRADA DOS NERES;42.14;39.2;36.98;-6.98;-5.66;-12.24
UBS 03 RECANTO DAS EMAS;0001621335;ESF 21 ROXA - UBS 03 REC;45.88;50.91;36.0;10.96;-29.29;-21.53
UBS 05 SAMAMBAIA;0000470961;ESF 01 AZUL - UBS 05 SAM;18.95;19.13;21.27;0.95;11.19;12.24
UBS 03 RECANTO DAS EMAS;0001505750;ESF 22 AZUL - UBS 03 REC;32.94;24.35;35.0;-26.08;43.74;6.25
UBS 9 SANTOS DUMONT PLANALTINA;0000469726;ESF 0334/01 - 14 BIS;30.84;29.05;32.34;-5.8;11.33;4.86
UBS 12 CEILANDIA;0001664948;EQUIPE 3 - LARANJA;32.53;27.59;29.85;-15.19;8.19;-8.24
UBS 04 RECANTO DAS EMAS;0000470066;ESF 10 VERDE - UBS 04 REC;38.13;36.55;32.94;-4.14;-9.88;-13.61
UBS 1 SOBRADINHO II;0001671367;ESF 0622/12 - MARROM;40.0;0.0;24.44;-100.0;100.0;-38.9
UBS 5 SETOR DE MANSOES SOBRADINHO II;0001593447;ESF 0625/18 - FLOR DE LIS;38.57;30.63;27.5;-20.59;-10.22;-28.7
UBS 20 PLANALTINA;0000469947;ESF 0373/37 - OMEGA;28.0;33.85;37.78;20.89;11.61;34.93
UBS 02 GUARA;0001670484;ESF 04 - UBS 02 GUARA;28.0;21.54;16.23;-23.07;-24.65;-42.04
UBS 1 PLANALTINA;0000469564;ESF 0346/11 - LOBO GUARA;20.9;22.9;23.38;9.57;2.1;11.87
UBS 2 SOBRADINHO II;0001656848;ESF 0619/03 - ALECRIM;31.28;25.5;29.23;-18.48;14.63;-6.55
UBS 2 GAMA;0002098792;1219/15;48.11;47.5;37.14;-1.27;-21.81;-22.8
UBS 1 ENGENHO VELHO FERCAL;0001593439;ESF 0623/04 - IPE;36.32;36.92;30.95;1.65;-16.17;-14.79
UBS 02 TAGUATINGA;0001641875;ESF 08 DOURADA - UBS 02 TAG;26.67;22.86;23.7;-14.29;3.67;-11.14
UBS 16 CEILANDIA;0000468789;EQUIPE 2 - BRANCA;29.61;26.92;26.9;-9.08;-0.07;-9.15
UBS 17 JARDIM MORUMBI PLANALTINA;0000469750;ESF 0342/09 - CORUJA BRANCA;27.03;28.5;33.53;5.44;17.65;24.05
UBS 03 RECANTO DAS EMAS;0000470228;ESF 19 LARANJA - UBS 03 REC;0.0;0.0;24.29;0.0;100.0;100.0
UBS 5 PLANALTINA;0000470007;ESF 0360/24 - ARARA - PL;25.0;25.0;20.0;0.0;-20.0;-20.0
UBS 2 BRAZLANDIA;0000468525;EQUIPE 4 - AMARELA;34.84;31.53;30.17;-9.5;-4.31;-13.4
UBS 6 CEILANDIA;0001664778;EQUIPE 1 - ORQUIDEA;38.22;37.2;38.79;-2.67;4.27;1.49
UBS 12 SAMAMBAIA;0000470627;ESF 19 AZUL - UBS 12 SAM;22.86;25.81;27.72;12.9;7.4;21.26
UBS 18 PLANALTINA;0000469815;ESF 0353/17 - AGUAS EMENDADAS;35.79;30.0;29.14;-16.18;-2.87;-18.58
UBS 07 SAMAMBAIA;0001621408;ESF 45 LARANJA - UBS 07 SAM;26.76;24.44;23.61;-8.67;-3.4;-11.77
UBS 1 ENGENHO VELHO FERCAL;0000471607;ESF 0592/01- PALMEIRAS;34.33;31.35;33.52;-8.68;6.92;-2.36
UBS 1 SOBRADINHO II;0001717154;ESF 0629/20 - AZUL CLARO;37.86;33.0;45.56;-12.84;38.06;20.34
UBS 01 VICENTE PIRES;0002347229;ESF 09 ROSA - UBS 01 VP;25.33;18.18;19.51;-28.23;7.32;-22.98
UBS 6 SAO FRANCISCO SAO SEBASTIAO;0000471305;ESF EQ 16 - SAO FRANCISCO;36.45;32.54;34.92;-10.73;7.31;-4.2
UBS 2 SOBRADINHO;0001717146;ESF 0641/24 - PEROLA;33.75;21.33;22.61;-36.8;6.0;-33.01
UBS 15 CEILANDIA;0001665219;EQUIPE 4 - BRANCA;24.81;21.03;21.22;-15.24;0.9;-14.47
UBS 5 GAMA;0000469092;0212/10;36.22;35.9;28.1;-0.88;-21.73;-22.42
UBS 1 PARANOA;0001668986;ESF EQ 15 - DOURADA;26.42;23.67;24.0;-10.41;1.39;-9.16
UBS 01 ESTRUTURAL;0000469254;ESF 01 - UBS 01 ESTRUTURAL;42.53;39.78;37.3;-6.47;-6.23;-12.3
UBS 2 SOBRADINHO;0001616390;ESF 0601/01 - DIAMANTE;16.76;13.33;18.6;-20.47;39.53;10.98
UBS 1 LAGO NORTE;0002272431;EQUIPE AMETISTA;39.09;27.2;25.85;-30.42;-4.96;-33.87
UBS 1 VARJAO;0001670298;EQUIPE AMIZADE;46.45;36.0;38.64;-22.5;7.33;-16.81
UBS 15 CEILANDIA;0002018160;EQUIPE 2 - VINHO;28.48;21.57;22.44;-24.26;4.03;-21.21
UBS 1 SOBRADINHO;0000471496;ESF 0598/16 - ARARA;22.67;24.67;25.26;8.82;2.39;11.42
UBS 10 CEILANDIA;0001635247;EQUIPE 4 - AMARELA;29.71;28.57;29.23;-3.84;2.31;-1.62
UBS 12 SAMAMBAIA;0000470600;ESF 21 PRETA- UBS 12 SAM;26.67;20.0;30.0;-25.01;50.0;12.49
UBS 1 VARJAO;0001670328;EQUIPE ALEGRIA;42.0;40.57;42.0;-3.4;3.52;0.0
UBS 01 VICENTE PIRES;0001668072;ESF 04 AZUL - UBS 01 VP;37.22;37.58;36.0;0.97;-4.2;-3.28
UBS 02 RIACHO FUNDO II;0000470309;ESF 01 - UBS 2 RIACHO FUNDO II;33.43;31.27;30.72;-6.46;-1.76;-8.11
UBS 1 SANTA MARIA;0001668536;0534/17;22.4;20.91;20.87;-6.65;-0.19;-6.83
UBS 01 CANDANGOLANDIA;0001670565;ESF 03 - UBS 01 CANDANGOLANDIA;26.67;32.0;33.85;19.99;5.78;26.92
UBS 01 TAGUATINGA;0001668102;ESF 06 VERDE - UBS 01 TAG;26.0;27.27;26.67;4.88;-2.2;2.58
UBS 6 ARAPOANGA PLANALTINA;0000469785;ESF 0362/26 - SABIA - PL;30.91;27.88;35.26;-9.8;26.47;14.07
UBS 01 ESTRUTURAL;0001469606;ESF 09 - UBS 01 ESTRUTURAL;43.48;43.33;26.0;-0.34;-40.0;-40.2
UBS 02 GUARA;0001670468;ESF 01 - UBS 02 GUARA;27.59;23.64;18.62;-14.32;-21.24;-32.51
UBS 2 CRUZEIRO;0001798170;EQUIPE JASMIM;25.45;23.81;20.63;-6.44;-13.36;-18.94
UBS 01 GUARA;0001800035;ESF 05 - UBS 01 GUARA;26.06;26.06;25.16;0.0;-3.45;-3.45
UBS 6 GAMA;0000469068;0245/24;27.83;22.0;22.86;-20.95;3.91;-17.86
UBS 6 LAGO OESTE SOBRADINHO;0000471615;ESF 0593/02 - FLOR DO CERRADO;40.38;31.79;27.39;-21.27;-13.84;-32.17
UBS 07 SAMAMBAIA;0000470724;ESF 37 LILAS - UBS 07 SAM;30.18;28.31;27.94;-6.2;-1.31;-7.42
UBS 7 CEILANDIA;0001664794;EQUIPE 1 - ROSA;32.7;27.54;28.31;-15.78;2.8;-13.43
UBS 15 CEILANDIA;0000468797;EQUIPE 3 - AMARELA;38.79;27.14;27.59;-30.03;1.66;-28.87
UBS 01 NUCLEO BANDEIRANTE;0001670417;ESF 03 - UBS 01 NB;36.1;37.87;36.47;4.9;-3.7;1.02
UBS 03 RECANTO DAS EMAS;0000470244;ESF 24 CINZA - UBS 03 REC;32.36;32.22;35.0;-0.43;8.63;8.16
UBS 2 ASA NORTE;0001670166;EQUIPE BRANCA;19.44;15.43;16.89;-20.63;9.46;-13.12
UBS 2 CRUZEIRO;0001670220;EQUIPE ORQUIDEA;32.22;19.2;21.48;-40.41;11.88;-33.33
UBS 3 PARANOA PARQUE;0001669079;ESF EQ 22 - JEQUITIBA;36.88;33.33;36.54;-9.63;9.63;-0.92
UBS 2 CEILANDIA;0001664913;EQUIPE 4 - ROSA;26.67;23.81;25.6;-10.72;7.52;-4.01
UBS 10 CEILANDIA;0000468584;EQUIPE 1 - PRETA;38.89;33.33;24.16;-14.3;-27.51;-37.88
UBS 9 CEILANDIA;0001664840;EQUIPE 3;44.44;41.9;36.3;-5.72;-13.37;-18.32
UBS 1 SAO SEBASTIAO;0001669109;EQUIPE 05 - AZUL;20.67;18.24;18.42;-11.76;0.99;-10.89
UBS 1 PARANOA;0001668943;ESF EQ 08 - BRANCA;40.95;35.15;34.67;-14.16;-1.37;-15.34
UBS 04 SAMAMBAIA;0000470767;ESF 13 VERMELHA - UBS 04 SAM;30.0;28.5;33.49;-5.0;17.51;11.63
UBS 19 VISTA BELA;0002018195;EQUIPE 2;24.67;23.4;24.0;-5.15;2.56;-2.72
UBS 01 VICENTE PIRES;0001805649;ESF 08 BRANCA - UBS 01 VP;29.23;19.0;17.04;-35.0;-10.32;-41.7
UBS 1 ITAPOA;0001634380;ESF EQ 12 - VERDE;37.24;28.0;27.06;-24.81;-3.36;-27.34
UBS 01 RIACHO FUNDO II;0000470465;ESF 06 - UBS 1 RIACHO FUNDO II;28.41;28.31;30.94;-0.35;9.29;8.91
UBS 01 RIACHO FUNDO I;0001800221;ESF 04 - UBS 01 RIACHO FUNDO I;30.53;27.59;22.61;-9.63;-18.05;-25.94
UBS 3 ITAPOA;0001668935;ESF EQ 04;28.81;29.2;29.78;1.35;1.99;3.37
UBS 08 SAMAMBAIA;0000470996;ESF 36 VERMELHA - UBS 08 SAM;47.69;38.75;40.0;-18.75;3.23;-16.12
UBS 2 T R E SAO SEBASTIAO;0001676458;ESF EQ 24 - VILA NOVA 1;26.74;29.64;30.91;10.85;4.28;15.59
UBS 6 CEILANDIA;0002235188;EQUIPE 6 - VIOLETA;40.82;38.87;36.86;-4.78;-5.17;-9.7
UBS 3 CEILANDIA;0000468819;EQUIPE 4 - VERMELHA;31.86;27.6;29.23;-13.37;5.91;-8.25
UBS 01 GUARA;0001670549;ESF 03 - UBS 01 GUARA;25.64;28.0;21.54;9.2;-23.07;-15.99
UBS 19 VILA DO BOA SAO SEBASTIAO;0000471399;ESF EQ 14 - VILA DO BOA;34.44;31.47;30.16;-8.62;-4.16;-12.43
UBS 5 GAMA;0001609483;0244/23;26.67;23.43;25.0;-12.15;6.7;-6.26
UBS 07 TAGUATINGA;0001843567;ESF 03 VERDE - UBS 07 TAG;26.09;21.36;20.98;-18.13;-1.78;-19.59
UBS 4 CEILANDIA;0001664972;EQUIPE 1 - VERDE;45.71;46.92;42.67;2.65;-9.06;-6.65
UBS 1 GAMA;0001573705;0213/11;40.0;35.14;38.29;-12.15;8.96;-4.28
UBS 02 ESTRUTURAL;0001469592;ESF 08 - UBS 02 ESTRUTURAL;28.51;27.61;29.9;-3.16;8.29;4.88
UBS 2 CRUZEIRO;0001670247;EQUIPE CALIANDRA;38.1;33.94;29.13;-10.92;-14.17;-23.54
UBS 01 NUCLEO BANDEIRANTE;0001670425;ESF 04 - UBS 01 NB;37.14;27.33;33.6;-26.41;22.94;-9.53
UBS 6 CARIRU PARANOA;0000469424;ESF EQ 04 - CARIRU;23.08;30.34;30.77;31.46;1.42;33.32
UBS 8 SANTA MARIA;0000471038;0519/02;33.25;27.89;24.05;-16.12;-13.77;-27.67
UBS 15 CEILANDIA;0000468657;EQUIPE 1 - VERMELHA;30.13;28.29;26.52;-6.11;-6.26;-11.98
UBS 03 GUARA;0001670522;ESF 06 - UBS 03 GUARA;34.95;28.81;31.95;-17.57;10.9;-8.58
UBS 11 CEILANDIA;0001665103;EQUIPE 3 - ROSA;25.64;26.05;25.71;1.6;-1.31;0.27
UBS 3 PLANALTINA;0000469866;ESF 0352/16 - CEP SAUDE;28.71;23.08;20.29;-19.61;-12.09;-29.33
UBS 01 NUCLEO BANDEIRANTE;0001670433;ESF 05 - UBS 01 NB;40.83;34.29;28.0;-16.02;-18.34;-31.42
UBS 6 GAMA;0001616420;0217/32;33.33;28.0;31.2;-15.99;11.43;-6.39
UBS 2 SOBRADINHO;0001616404;ESF 0602/12 - TURQUESA - SOB;31.76;23.81;24.44;-25.03;2.65;-23.05
UBS 7 JARDIM RORIZ PLANALTINA;0000469696;ESF 0376/40- BORBOLETA AMARELA;26.06;29.33;30.88;12.55;5.28;18.5
UBS 7 MORRO DA CRUZ SAO SEBASTIAO;0000471437;ESF EQ 02 - MORRO DA CRUZ;28.05;23.95;21.1;-14.62;-11.9;-24.78
UBS 12 SAMAMBAIA;0000470589;ESF 23 VERDE - UBS 12 SAM;29.29;27.33;30.59;-6.69;11.93;4.44
