RELATÓRIO DE EVOLUÇÃO - Diabetes
Equipes: eAP, eSF
Competências: ABR/25, AGO/25, DEZ/25

==================================================
RESUMO DAS VARIAÇÕES
==================================================
ABR_25: Média de pontuação = 47.78
AGO_25: Média de pontuação = 48.50
DEZ_25: Média de pontuação = 48.56

% de crescimento entre 2025-04 e 2025-08: 1.96%
% de crescimento entre 2025-08 e 2025-12: 0.27%

Crescimento total médio: 2.24%

==================================================
TOP 5 - MAIOR CRESCIMENTO
==================================================
  EQUIPE 05 - AZUL (INE: 0001669109): 61.06%
  ESF EQ 24 - VILA NOVA 1 (INE: 0001676458): 36.39%
  ESF EQ 17 - SAO JOSE (INE: 0000471313): 30.41%
  ESF EQ 25 - BOSQUE 2 (INE: 0000471321): 25.61%
  ESF TORORO (INE: 0001686534): 23.88%

==================================================
TOP 5 - MENOR CRESCIMENTO
==================================================
  ESF EQ 14 - AMARELA (INE: 0001642030): -16.57%
  ESF EQ 12 - VERDE (INE: 0001634380): -16.46%
  EQUIPE 04 - LARANJA (INE: 0001669095): -15.50%
  ESF EQ 11 - VERDE (INE: 0001668951): -13.25%
  ESF EQ 09 - LILAS (INE: 0000469483): -12.95%


==================================================
DADOS COMPLETOS
==================================================

ESTABELECIMENTO;INE;NOME DA EQUIPE;PONT_ABR_25;PONT_AGO_25;PONT_DEZ_25;VAR_1_2_%;VAR_2_3_%;CRESCIMENTO_TOTAL_%
UBS 1 PARANOA;0001668986;ESF EQ 15 - DOURADA;45.75;41.84;43.78;-8.55;4.64;-4.31
UBS 11 RESIDENCIAL DO BOSQUE 2 SAO SEBASTIAO;0000471321;ESF EQ 25 - BOSQUE 2;42.01;45.81;52.77;9.05;15.19;25.61
UBS 3 ITAPOA;0001672053;ESF EQ 05;55.56;54.6;49.91;-1.73;-8.59;-10.17
UBS 8 PADDF PARANOA;0000469394;ESF EQ 01 - PAD-DF;50.07;53.0;48.42;5.85;-8.64;-3.3
UBS 1 SAO SEBASTIAO;0001669133;EQUIPE 08 - ROSA;38.17;40.76;43.23;6.79;6.06;13.26
UBS 1 SAO SEBASTIAO;0000471186;EQUIPE 20 - BRANCA;38.75;43.13;42.58;11.3;-1.28;9.88
UBS 1 SAO SEBASTIAO;0001669125;EQUIPE 07 - LILAS;48.75;46.98;46.49;-3.63;-1.04;-4.64
UBS 9 RESIDENCIAL DO BOSQUE 1 SAO SEBASTIAO;0000471410;ESF EQ 21 - BOSQUE 1;46.84;43.92;44.39;-6.23;1.07;-5.23
UBS 5 NOVA BETANIA SAO SEBASTIAO;0000471194;ESF EQ 01 - NOVA BETANIA;61.13;58.06;63.14;-5.02;8.75;3.29
UBS 3 RESIDENCIAL OESTE SAO SEBASTIAO;0000471364;ESF EQ 12 - OESTE 2;46.17;54.01;55.42;16.98;2.61;20.03
UBS 2 ITAPOA;0000469440;ESF EQ 02;57.5;58.37;57.23;1.51;-1.95;-0.47
UBS 1 SAO SEBASTIAO;0001669109;EQUIPE 05 - AZUL;38.26;53.57;61.62;40.02;15.03;61.06
UBS 1 JARDINS MANGUEIRAL;0002186403;ESF SAFIRA;52.33;56.51;55.96;7.99;-0.97;6.94
UBS 3 ITAPOA;0001634399;ESF EQ 03;54.73;58.43;56.97;6.76;-2.5;4.09
UBS 1 SAO SEBASTIAO;0001669168;EQUIPE 10 - VERMELHA;36.67;38.94;37.62;6.19;-3.39;2.59
UBS 1 JARDINS MANGUEIRAL;0002198797;ESF ESMERALDA;53.43;51.14;48.22;-4.29;-5.71;-9.75
UBS 3 PARANOA PARQUE;0001669087;ESF EQ 23 - PEQUI;50.42;47.19;48.54;-6.41;2.86;-3.73
UBS 1 PARANOA;0001642006;ESF EQ 13 - LILAS;44.42;42.18;46.32;-5.04;9.82;4.28
UBS 2 T R E SAO SEBASTIAO;0000471380;ESF EQ 15 - SETOR TRADICIONAL;55.23;54.48;57.8;-1.36;6.09;4.65
UBS 7 MORRO DA CRUZ SAO SEBASTIAO;0000471437;ESF EQ 02 - MORRO DA CRUZ;55.27;59.89;52.19;8.36;-12.86;-5.57
UBS 1 ITAPOA;0001634380;ESF EQ 12 - VERDE;53.77;49.41;44.92;-8.11;-9.09;-16.46
UBS 4 MORRO AZUL SAO SEBASTIAO;0000471348;ESF EQ 13 - MORRO AZUL;49.73;48.09;51.13;-3.3;6.32;2.82
UBS 3 PARANOA PARQUE;0001669001;ESF EQ 18 - BURITI;52.94;50.93;52.6;-3.8;3.28;-0.64
UBS 03 JARDIM BOTANICO;0001686534;ESF TORORO;44.6;55.19;55.25;23.74;0.11;23.88
UBS 1 ITAPOA;0001642022;ESF EQ 13 - VERMELHA;45.11;49.23;44.35;9.13;-9.91;-1.68
UBS 1 ITAPOA;0000469521;ESF EQ 10 - CINZA;41.11;41.93;36.24;1.99;-13.57;-11.85
UBS 8 CAVAS DE BAIXO SAO SEBASTIAO;0001603426;ESF EQ 03 - CAVAS DE BAIXO;50.22;56.42;53.46;12.35;-5.25;6.45
UBS 1 PARANOA;0001668943;ESF EQ 08 - BRANCA;52.94;54.51;51.04;2.97;-6.37;-3.59
UBS 1 PARANOA;0001668994;ESF EQ 17 - PRATA;47.55;42.01;49.61;-11.65;18.09;4.33
UBS 1 SAO SEBASTIAO;0002396211;DOURADA;30.22;30.07;29.47;-0.5;-2.0;-2.48
UBS 1 ITAPOA;0000469505;ESF EQ 07 - ROSA;60.0;57.42;57.4;-4.3;-0.03;-4.33
UBS 1 PARANOA;0001641980;ESF EQ 10 - AZUL;42.56;41.25;40.17;-3.08;-2.62;-5.62
UBS 5 QUEBRADA DOS NERES;0000469386;EQ 03 - QUEBRADA DOS NERES;63.75;53.57;63.24;-15.97;18.05;-0.8
UBS 10 JOAO CANDIDO SAO SEBASTIAO;0000471402;ESF EQ 22 - JOAO CANDIDO;48.03;50.24;48.88;4.6;-2.71;1.77
UBS 1 ITAPOA;0001642030;ESF EQ 14 - AMARELA;55.75;51.5;46.51;-7.62;-9.69;-16.57
UBS 04 ITAPOA;0002138697;ESF EQ 15 RUBI;42.52;48.1;44.08;13.12;-8.36;3.67
UBS 2 ITAPOA;0002416735;ESF ESMERALDA;53.49;51.74;51.92;-3.27;0.35;-2.94
UBS 2 ITAPOA;0000469432;ESF EQUIPE 01;46.89;49.45;44.43;5.46;-10.15;-5.25
