RELATÓRIO DE CRESCIMENTO - Gestão e Puorpério
Equipes: eAP, eSF
Competências: ABR/25, AGO/25, DEZ/25

==================================================
RESUMO DAS VARIAÇÕES
==================================================
ABR_25: Média de pontuação = 32.60
AGO_25: Média de pontuação = 33.41
DEZ_25: Média de pontuação = 32.87

% de crescimento entre 2025-04 e 2025-08: 4.73%
% de crescimento entre 2025-08 e 2025-12: 0.31%

Crescimento total médio: 2.78%

==================================================
TOP 5 - MAIOR CRESCIMENTO
==================================================
  ESF EQ 07 - ROSA (INE: 0000469505): 59.28%
  ESF EQ 23 - VILA NOVA 2 (INE: 0000471429): 45.31%
  ESF EQ 08 - LARANJA (INE: 0000469491): 32.55%
  ESF EQ 12 - VERDE (INE: 0001634380): 32.34%
  ESF EQ 11 - MARROM (INE: 0001469363): 32.13%

==================================================
TOP 5 - MENOR CRESCIMENTO
==================================================
  ESF EQ 09 - LILAS (INE: 0000469483): -29.83%
  ESF ESMERALDA (INE: 0002416735): -27.09%
  EQ 03 - QUEBRADA DOS NERES (INE: 0000469386): -24.45%
  ESF EQ 02 - JARDIM II (INE: 0000469378): -23.38%
  ESF EQ 15 - DOURADA (INE: 0001668986): -21.75%


==================================================
DADOS COMPLETOS
==================================================

ESTABELECIMENTO;INE;NOME DA EQUIPE;PONT_ABR_25;PONT_AGO_25;PONT_DEZ_25;VAR_1_2_%;VAR_2_3_%;CRESCIMENTO_TOTAL_%
UBS 3 RESIDENCIAL OESTE SAO SEBASTIAO;0000471356;ESF EQ 11 - OESTE 1;41.83;33.65;33.88;-19.56;0.68;-19.01
UBS 1 JARDINS MANGUEIRAL;0002198797;ESF ESMERALDA;33.33;30.36;30.28;-8.91;-0.26;-9.15
UBS 1 ITAPOA;0000469483;ESF EQ 09 - LILAS;35.5;28.7;24.91;-19.15;-13.21;-29.83
UBS 5 NOVA BETANIA SAO SEBASTIAO;0000471194;ESF EQ 01 - NOVA BETANIA;43.43;43.38;45.7;-0.12;5.35;5.23
UBS 1 JARDINS MANGUEIRAL;0002184478;ESF DIAMANTE;27.73;27.67;32.59;-0.22;17.78;17.53
UBS 2 ITAPOA;0002416735;ESF ESMERALDA;42.85;29.07;31.24;-32.16;7.46;-27.09
UBS 1 PARANOA;0001642227;ESF EQ 16 - LARANJA;30.32;22.74;27.48;-25.0;20.84;-9.37
UBS 1 SAO SEBASTIAO;0001669141;EQUIPE 09 - VERDE;26.27;27.1;34.65;3.16;27.86;31.9
UBS 1 SAO SEBASTIAO;0001669117;EQUIPE 06 AMARELA;24.2;33.35;25.92;37.81;-22.28;7.11
UBS 04 ITAPOA;0002138697;ESF EQ 15 RUBI;28.65;29.28;27.13;2.2;-7.34;-5.31
UBS 3 ITAPOA;0001668935;ESF EQ 04;37.38;33.4;44.29;-10.65;32.6;18.49
UBS 1 PARANOA;0001668978;ESF EQ 12 - ROSA;20.77;28.68;26.74;38.08;-6.76;28.74
UBS 1 SAO SEBASTIAO;0001669168;EQUIPE 10 - VERMELHA;33.61;36.03;36.68;7.2;1.8;9.13
UBS 7 CAFE SEM TROCO PARANOA;0000469548;ESF EQ 06 - CAFE SEM TROCO;36.93;38.58;41.17;4.47;6.71;11.48
UBS 3 ITAPOA;0001672053;ESF EQ 05;35.63;39.0;36.08;9.46;-7.49;1.26
UBS 2 T R E SAO SEBASTIAO;0002458152;ESF ITAIPU;31.33;43.48;31.81;38.78;-26.84;1.53
UBS 1 ITAPOA;0001634380;ESF EQ 12 - VERDE;26.62;34.85;35.23;30.92;1.09;32.34
UBS 12 SAO JOSE SAO SEBASTIAO;0000471313;ESF EQ 17 - SAO JOSE;33.37;32.36;39.9;-3.03;23.3;19.57
UBS 1 PARANOA;0001642014;ESF EQ 14 - MARROM;33.89;37.31;29.27;10.09;-21.55;-13.63
UBS 1 PARANOA;0001641980;ESF EQ 10 - AZUL;29.75;18.36;26.36;-38.29;43.57;-11.39
UBS 3 ITAPOA;0001634399;ESF EQ 03;43.48;40.57;40.35;-6.69;-0.54;-7.2
UBS 03 JARDIM BOTANICO;0001686534;ESF TORORO;27.8;41.38;36.67;48.85;-11.38;31.91
UBS 1 PARANOA;0001642006;ESF EQ 13 - LILAS;23.47;25.08;24.94;6.86;-0.56;6.26
UBS 8 CAVAS DE BAIXO SAO SEBASTIAO;0001603426;ESF EQ 03 - CAVAS DE BAIXO;23.59;25.42;27.45;7.76;7.99;16.36
UBS 1 PARANOA;0001668943;ESF EQ 08 - BRANCA;27.43;33.69;29.85;22.82;-11.4;8.82
UBS 1 PARANOA;0001668986;ESF EQ 15 - DOURADA;39.13;33.16;30.62;-15.26;-7.66;-21.75
UBS 2 QUADRA 18 PARANOA;0000469459;ESF EQ 05 - QUADRA 18;32.37;38.74;36.87;19.68;-4.83;13.9
UBS 3 PARANOA PARQUE;0001669028;ESF EQ 19 - JATOBA;39.65;44.44;36.84;12.08;-17.1;-7.09
UBS 19 VILA DO BOA SAO SEBASTIAO;0000471399;ESF EQ 14 - VILA DO BOA;36.11;27.55;29.08;-23.71;5.55;-19.47
UBS 5 QUEBRADA DOS NERES;0000469386;EQ 03 - QUEBRADA DOS NERES;46.62;41.88;35.22;-10.17;-15.9;-24.45
UBS 7 MORRO DA CRUZ SAO SEBASTIAO;0000471437;ESF EQ 02 - MORRO DA CRUZ;24.4;29.98;27.3;22.87;-8.94;11.89
UBS 1 ITAPOA;0001642030;ESF EQ 14 - AMARELA;32.15;37.56;40.85;16.83;8.76;27.06
UBS 9 RESIDENCIAL DO BOSQUE 1 SAO SEBASTIAO;0000471410;ESF EQ 21 - BOSQUE 1;35.16;37.47;38.24;6.57;2.05;8.76
UBS 1 SAO SEBASTIAO;0001669109;EQUIPE 05 - AZUL;44.91;45.95;37.78;2.32;-17.78;-15.88
UBS 6 SAO FRANCISCO SAO SEBASTIAO;0000471305;ESF EQ 16 - SAO FRANCISCO;27.97;30.0;29.03;7.26;-3.23;3.79
UBS 1 PARANOA;0001668994;ESF EQ 17 - PRATA;26.04;34.54;22.16;32.64;-35.84;-14.9
UBS 3 PARANOA PARQUE;0001669060;ESF EQ 21 - IPE;37.53;36.0;31.36;-4.08;-12.89;-16.44
UBS 1 PARANOA;0001668951;ESF EQ 11 - VERDE;26.44;27.23;33.67;2.99;23.65;27.34
UBS 1 SAO SEBASTIAO;0001669125;EQUIPE 07 - LILAS;32.27;30.83;27.73;-4.46;-10.06;-14.07
UBS 2 ITAPOA;0000469440;ESF EQ 02;30.49;36.97;36.27;21.25;-1.89;18.96
UBS 1 ITAPOA;0000469491;ESF EQ 08 - LARANJA;26.91;30.65;35.67;13.9;16.38;32.55
UBS 1 ITAPOA;0000469513;ESF EQ 06 - AZUL;40.9;30.32;33.15;-25.87;9.33;-18.95
UBS 1 JARDINS MANGUEIRAL;0002186381;ESF AMETISTA;29.0;29.33;26.78;1.14;-8.69;-7.66
UBS 1 ITAPOA;0000469521;ESF EQ 10 - CINZA;36.5;31.92;28.68;-12.55;-10.15;-21.42
UBS 3 PARANOA PARQUE;0001669036;ESF EQ 20 - JACARANDA;37.7;42.26;35.85;12.1;-15.17;-4.91
UBS 1 SAO SEBASTIAO;0000471186;EQUIPE 20 - BRANCA;26.72;33.19;26.69;24.21;-19.58;-0.11
UBS 1 ITAPOA;0001469363;ESF EQ 11 - MARROM;29.47;31.54;38.94;7.02;23.46;32.13
