RELATÓRIO DE EVOLUÇÃO - Gestão e Puorpério
Equipes: eAP, eSF
Competências: ABR/25, AGO/25, DEZ/25

==================================================
RESUMO DAS VARIAÇÕES
==================================================
ABR_25: Média de pontuação = 34.34
AGO_25: Média de pontuação = 34.72
DEZ_25: Média de pontuação = 35.04

% de crescimento entre 2025-04 e 2025-08: 3.37%
% de crescimento entre 2025-08 e 2025-12: 4.00%

Crescimento total médio: 5.29%

==================================================
TOP 5 - MAIOR CRESCIMENTO
==================================================
  ESF 0622/12 - MARROM (INE: 0001671367): 223.30%
  ESF 45 VERDE - UBS 06 SAM (INE: 0002157284): 160.81%
  ESF 10 PRETA - UBS 01 VP (INE: 0002347245): 136.58%
  EQUIPE LIRIO (INE: 0001670239): 117.29%
  ESF 28 BRANCA - UBS 11 REC (INE: 0001659804): 108.58%

==================================================
TOP 5 - MENOR CRESCIMENTO
==================================================
  ESF 0339/06 - TABATINGA (INE: 0000469602): -56.52%
  ESF 22 AMARELA - UBS 12 SAM (INE: 0000470597): -52.98%
  EQUIPE VERDE (INE: 0001796860): -47.85%
  ESF 0347/12 - ORQUIDEA (INE: 0000469580): -46.63%
  ESF 03 - UBS 02 GUARA (INE: 0001670476): -46.48%


==================================================
DADOS COMPLETOS
==================================================

ESTABELECIMENTO;INE;NOME DA EQUIPE;PONT_ABR_25;PONT_AGO_25;PONT_DEZ_25;VAR_1_2_%;VAR_2_3_%;CRESCIMENTO_TOTAL_%
UBS 04 SAMAMBAIA;0000470716;ESF 39 VERDE - UBS 04 SAM;41.46;28.75;29.48;-30.66;2.54;-28.9
UBS 1 LAGO SUL;0002449471;EQUIPE 2 LAGO SUL;23.0;36.72;40.06;59.65;9.1;74.17
UBS 1 PARANOA;0000469351;ESF EQ 09 - AMARELA;30.88;25.05;33.2;-18.88;32.53;7.51
UBS 9 RESIDENCIAL DO BOSQUE 1 SAO SEBASTIAO;0000471429;ESF EQ 23 - VILA NOVA 2;26.35;34.78;38.29;31.99;10.09;45.31
UBS 07 SAMAMBAIA;0001621416;ESF 51 AZUL - UBS 07 SAM;37.9;38.0;35.66;0.26;-6.16;-5.91
UBS 01 TAGUATINGA;0001660462;ESF 04 ROSA - UBS 01 TAG;20.98;24.67;32.3;17.59;30.93;53.96
UBS 01 RIACHO FUNDO I;0002424355;ESF 08 - UBS 01 RIACHO FUNDO I;31.85;29.6;29.82;-7.06;0.74;-6.37
UBS 9 CEILANDIA;0001665057;EQUIPE 4;37.56;43.4;48.64;15.55;12.07;29.5
UBS 8 SANTA MARIA;0001668595;0540/23;36.81;37.75;31.76;2.55;-15.87;-13.72
UBS 04 RECANTO DAS EMAS;0001482262;ESF 15 VERMELHA - UBS 04 REC;38.45;20.2;37.86;-47.46;87.43;-1.53
UBS 1 LAGO SUL;0002504723;EQUIPE 3 LAGO SUL;0.0;42.67;34.5;100.0;-19.15;100.0
UBS 11 CEILANDIA;0001665073;EQUIPE 1 - LARANJA;36.68;40.62;37.93;10.74;-6.62;3.41
UBS 1 SOBRADINHO II;0001671383;ESF 0626/16 - AMARELA - SOB;38.21;36.17;40.19;-5.34;11.11;5.18
UBS 06 TAGUATINGA;0001668196;ESF 04 VERDE - UBS 06 TAG;24.92;32.45;39.48;30.22;21.66;58.43
UBS 3 NOVA COLINA SOBRADINHO;0000471542;ESF 0594/03 - BURITI;32.48;33.73;30.33;3.85;-10.08;-6.62
UBS 01 ESTRUTURAL;0001641840;ESF 12 - UBS 01 ESTRUTURAL;36.62;35.77;42.16;-2.32;17.86;15.13
UBS 12 PONTE ALTA GAMA;0000469181;0206/04;32.5;37.58;45.69;15.63;21.58;40.58
UBS 1 LAGO NORTE;0001670255;EQUIPE RUBI;32.47;33.5;32.11;3.17;-4.15;-1.11
UBS 5 QUEBRADA DOS NERES;0000469386;EQ 03 - QUEBRADA DOS NERES;46.62;41.88;35.22;-10.17;-15.9;-24.45
UBS 03 RECANTO DAS EMAS;0001621335;ESF 21 ROXA - UBS 03 REC;42.0;34.5;40.82;-17.86;18.32;-2.81
UBS 05 SAMAMBAIA;0000470961;ESF 01 AZUL - UBS 05 SAM;33.3;33.16;40.89;-0.42;23.31;22.79
UBS 03 RECANTO DAS EMAS;0001505750;ESF 22 AZUL - UBS 03 REC;27.67;27.0;31.81;-2.42;17.81;14.96
UBS 9 SANTOS DUMONT PLANALTINA;0000469726;ESF 0334/01 - 14 BIS;39.0;36.06;30.2;-7.54;-16.25;-22.56
UBS 12 CEILANDIA;0001664948;EQUIPE 3 - LARANJA;34.5;31.75;38.42;-7.97;21.01;11.36
UBS 04 RECANTO DAS EMAS;0000470066;ESF 10 VERDE - UBS 04 REC;36.0;26.69;31.93;-25.86;19.63;-11.31
UBS 1 SOBRADINHO II;0001671367;ESF 0622/12 - MARROM;10.0;21.0;32.33;110.0;53.95;223.3
UBS 5 SETOR DE MANSOES SOBRADINHO II;0001593447;ESF 0625/18 - FLOR DE LIS;38.57;41.48;48.92;7.54;17.94;26.83
UBS 20 PLANALTINA;0000469947;ESF 0373/37 - OMEGA;35.46;28.7;26.35;-19.06;-8.19;-25.69
UBS 02 GUARA;0001670484;ESF 04 - UBS 02 GUARA;37.41;43.94;39.21;17.46;-10.76;4.81
UBS 1 PLANALTINA;0000469564;ESF 0346/11 - LOBO GUARA;37.38;45.17;40.75;20.84;-9.79;9.02
UBS 2 SOBRADINHO II;0001656848;ESF 0619/03 - ALECRIM;42.88;32.8;36.83;-23.51;12.29;-14.11
UBS 2 GAMA;0002098792;1219/15;33.15;30.2;27.54;-8.9;-8.81;-16.92
UBS 1 ENGENHO VELHO FERCAL;0001593439;ESF 0623/04 - IPE;42.69;35.05;34.65;-17.9;-1.14;-18.83
UBS 02 TAGUATINGA;0001641875;ESF 08 DOURADA - UBS 02 TAG;22.6;33.38;30.8;47.7;-7.73;36.28
UBS 16 CEILANDIA;0000468789;EQUIPE 2 - BRANCA;43.21;36.66;48.17;-15.16;31.4;11.48
UBS 17 JARDIM MORUMBI PLANALTINA;0000469750;ESF 0342/09 - CORUJA BRANCA;35.2;38.31;38.38;8.84;0.18;9.03
UBS 03 RECANTO DAS EMAS;0000470228;ESF 19 LARANJA - UBS 03 REC;46.0;0.0;40.0;-100.0;100.0;-13.04
UBS 5 PLANALTINA;0000470007;ESF 0360/24 - ARARA - PL;34.5;28.78;31.04;-16.58;7.85;-10.03
UBS 2 BRAZLANDIA;0000468525;EQUIPE 4 - AMARELA;37.04;41.63;42.09;12.39;1.1;13.63
UBS 6 CEILANDIA;0001664778;EQUIPE 1 - ORQUIDEA;35.5;41.14;42.24;15.89;2.67;18.99
UBS 12 SAMAMBAIA;0000470627;ESF 19 AZUL - UBS 12 SAM;31.17;33.7;33.19;8.12;-1.51;6.48
UBS 18 PLANALTINA;0000469815;ESF 0353/17 - AGUAS EMENDADAS;30.16;35.0;32.96;16.05;-5.83;9.28
UBS 07 SAMAMBAIA;0001621408;ESF 45 LARANJA - UBS 07 SAM;35.38;23.07;23.9;-34.79;3.6;-32.45
UBS 1 ENGENHO VELHO FERCAL;0000471607;ESF 0592/01- PALMEIRAS;38.06;30.07;36.84;-20.99;22.51;-3.21
UBS 1 SOBRADINHO II;0001717154;ESF 0629/20 - AZUL CLARO;27.17;41.95;30.81;54.4;-26.56;13.4
UBS 01 VICENTE PIRES;0002347229;ESF 09 ROSA - UBS 01 VP;30.22;27.85;24.6;-7.84;-11.67;-18.6
UBS 6 SAO FRANCISCO SAO SEBASTIAO;0000471305;ESF EQ 16 - SAO FRANCISCO;27.97;30.0;29.03;7.26;-3.23;3.79
UBS 2 SOBRADINHO;0001717146;ESF 0641/24 - PEROLA;37.27;26.2;33.93;-29.7;29.5;-8.96
UBS 15 CEILANDIA;0001665219;EQUIPE 4 - BRANCA;35.74;38.05;35.33;6.46;-7.15;-1.15
UBS 5 GAMA;0000469092;0212/10;29.0;42.11;47.37;45.21;12.49;63.34
UBS 1 PARANOA;0001668986;ESF EQ 15 - DOURADA;39.13;33.16;30.62;-15.26;-7.66;-21.75
UBS 01 ESTRUTURAL;0000469254;ESF 01 - UBS 01 ESTRUTURAL;45.05;42.19;43.4;-6.35;2.87;-3.66
UBS 2 SOBRADINHO;0001616390;ESF 0601/01 - DIAMANTE;34.03;35.9;37.4;5.5;4.18;9.9
UBS 1 LAGO NORTE;0002272431;EQUIPE AMETISTA;34.32;40.76;34.16;18.76;-16.19;-0.47
UBS 1 VARJAO;0001670298;EQUIPE AMIZADE;41.05;42.3;35.18;3.05;-16.83;-14.3
UBS 15 CEILANDIA;0002018160;EQUIPE 2 - VINHO;31.89;35.53;37.4;11.41;5.26;17.28
UBS 1 SOBRADINHO;0000471496;ESF 0598/16 - ARARA;33.11;27.04;30.57;-18.33;13.05;-7.67
UBS 10 CEILANDIA;0001635247;EQUIPE 4 - AMARELA;28.14;31.45;35.85;11.76;13.99;27.4
UBS 12 SAMAMBAIA;0000470600;ESF 21 PRETA- UBS 12 SAM;21.5;30.5;38.8;41.86;27.21;80.47
UBS 1 VARJAO;0001670328;EQUIPE ALEGRIA;55.94;42.78;34.44;-23.53;-19.5;-38.43
UBS 01 VICENTE PIRES;0001668072;ESF 04 AZUL - UBS 01 VP;30.27;28.5;21.67;-5.85;-23.96;-28.41
UBS 02 RIACHO FUNDO II;0000470309;ESF 01 - UBS 2 RIACHO FUNDO II;33.92;33.48;32.48;-1.3;-2.99;-4.25
UBS 1 SANTA MARIA;0001668536;0534/17;34.89;27.82;32.0;-20.26;15.03;-8.28
UBS 01 CANDANGOLANDIA;0001670565;ESF 03 - UBS 01 CANDANGOLANDIA;29.13;33.87;31.53;16.27;-6.91;8.24
UBS 01 TAGUATINGA;0001668102;ESF 06 VERDE - UBS 01 TAG;35.59;39.24;33.67;10.26;-14.19;-5.39
UBS 6 ARAPOANGA PLANALTINA;0000469785;ESF 0362/26 - SABIA - PL;34.42;34.8;34.52;1.1;-0.8;0.29
UBS 01 ESTRUTURAL;0001469606;ESF 09 - UBS 01 ESTRUTURAL;32.26;40.92;34.29;26.84;-16.2;6.29
UBS 02 GUARA;0001670468;ESF 01 - UBS 02 GUARA;31.2;28.42;33.55;-8.91;18.05;7.53
UBS 2 CRUZEIRO;0001798170;EQUIPE JASMIM;34.77;45.9;33.45;32.01;-27.12;-3.8
UBS 01 GUARA;0001800035;ESF 05 - UBS 01 GUARA;39.53;25.3;33.73;-36.0;33.32;-14.67
UBS 6 GAMA;0000469068;0245/24;29.45;27.32;21.2;-7.23;-22.4;-28.01
UBS 6 LAGO OESTE SOBRADINHO;0000471615;ESF 0593/02 - FLOR DO CERRADO;30.42;35.0;41.06;15.06;17.31;34.98
UBS 07 SAMAMBAIA;0000470724;ESF 37 LILAS - UBS 07 SAM;31.56;37.91;27.94;20.12;-26.3;-11.47
UBS 7 CEILANDIA;0001664794;EQUIPE 1 - ROSA;42.69;38.5;36.34;-9.81;-5.61;-14.87
UBS 15 CEILANDIA;0000468797;EQUIPE 3 - AMARELA;31.72;23.74;30.7;-25.16;29.32;-3.22
UBS 01 NUCLEO BANDEIRANTE;0001670417;ESF 03 - UBS 01 NB;44.89;40.86;37.87;-8.98;-7.32;-15.64
UBS 03 RECANTO DAS EMAS;0000470244;ESF 24 CINZA - UBS 03 REC;39.71;39.08;41.04;-1.59;5.02;3.35
UBS 2 ASA NORTE;0001670166;EQUIPE BRANCA;39.17;36.17;31.33;-7.66;-13.38;-20.02
UBS 2 CRUZEIRO;0001670220;EQUIPE ORQUIDEA;27.89;26.88;23.33;-3.62;-13.21;-16.35
UBS 3 PARANOA PARQUE;0001669079;ESF EQ 22 - JEQUITIBA;39.11;37.35;41.0;-4.5;9.77;4.83
UBS 2 CEILANDIA;0001664913;EQUIPE 4 - ROSA;40.83;37.41;39.83;-8.38;6.47;-2.45
UBS 10 CEILANDIA;0000468584;EQUIPE 1 - PRETA;34.71;32.88;43.67;-5.27;32.82;25.81
UBS 9 CEILANDIA;0001664840;EQUIPE 3;38.13;44.21;35.44;15.95;-19.84;-7.05
UBS 1 SAO SEBASTIAO;0001669109;EQUIPE 05 - AZUL;44.91;45.95;37.78;2.32;-17.78;-15.88
UBS 1 PARANOA;0001668943;ESF EQ 08 - BRANCA;27.43;33.69;29.85;22.82;-11.4;8.82
UBS 04 SAMAMBAIA;0000470767;ESF 13 VERMELHA - UBS 04 SAM;43.46;48.75;51.48;12.17;5.6;18.45
UBS 19 VISTA BELA;0002018195;EQUIPE 2;39.03;32.49;39.84;-16.76;22.62;2.08
UBS 01 VICENTE PIRES;0001805649;ESF 08 BRANCA - UBS 01 VP;34.5;52.38;18.67;51.83;-64.36;-45.88
UBS 1 ITAPOA;0001634380;ESF EQ 12 - VERDE;26.62;34.85;35.23;30.92;1.09;32.34
UBS 01 RIACHO FUNDO II;0000470465;ESF 06 - UBS 1 RIACHO FUNDO II;40.5;45.14;38.77;11.46;-14.11;-4.27
UBS 01 RIACHO FUNDO I;0001800221;ESF 04 - UBS 01 RIACHO FUNDO I;36.21;41.77;34.09;15.35;-18.39;-5.85
UBS 3 ITAPOA;0001668935;ESF EQ 04;37.38;33.4;44.29;-10.65;32.6;18.49
UBS 08 SAMAMBAIA;0000470996;ESF 36 VERMELHA - UBS 08 SAM;48.83;33.78;55.0;-30.82;62.82;12.64
UBS 2 T R E SAO SEBASTIAO;0001676458;ESF EQ 24 - VILA NOVA 1;25.65;36.17;33.29;41.01;-7.96;29.79
UBS 6 CEILANDIA;0002235188;EQUIPE 6 - VIOLETA;41.52;39.36;37.23;-5.2;-5.41;-10.33
UBS 3 CEILANDIA;0000468819;EQUIPE 4 - VERMELHA;33.31;33.97;36.9;1.98;8.63;10.78
UBS 01 GUARA;0001670549;ESF 03 - UBS 01 GUARA;34.82;39.04;44.24;12.12;13.32;27.05
UBS 19 VILA DO BOA SAO SEBASTIAO;0000471399;ESF EQ 14 - VILA DO BOA;36.11;27.55;29.08;-23.71;5.55;-19.47
UBS 5 GAMA;0001609483;0244/23;27.58;22.26;31.68;-19.29;42.32;14.87
UBS 07 TAGUATINGA;0001843567;ESF 03 VERDE - UBS 07 TAG;23.85;28.61;34.76;19.96;21.5;45.74
UBS 4 CEILANDIA;0001664972;EQUIPE 1 - VERDE;34.96;33.29;32.45;-4.78;-2.52;-7.18
UBS 1 GAMA;0001573705;0213/11;36.52;43.36;38.75;18.73;-10.63;6.11
UBS 02 ESTRUTURAL;0001469592;ESF 08 - UBS 02 ESTRUTURAL;33.33;44.68;37.89;34.05;-15.2;13.68
UBS 2 CRUZEIRO;0001670247;EQUIPE CALIANDRA;42.92;36.42;39.74;-15.14;9.12;-7.41
UBS 01 NUCLEO BANDEIRANTE;0001670425;ESF 04 - UBS 01 NB;18.87;21.06;25.35;11.61;20.37;34.34
UBS 6 CARIRU PARANOA;0000469424;ESF EQ 04 - CARIRU;31.89;30.74;39.8;-3.61;29.47;24.8
UBS 8 SANTA MARIA;0000471038;0519/02;36.84;41.13;44.62;11.64;8.49;21.12
UBS 15 CEILANDIA;0000468657;EQUIPE 1 - VERMELHA;36.37;39.89;35.08;9.68;-12.06;-3.55
UBS 03 GUARA;0001670522;ESF 06 - UBS 03 GUARA;41.79;34.4;33.88;-17.68;-1.51;-18.93
UBS 11 CEILANDIA;0001665103;EQUIPE 3 - ROSA;37.28;48.46;39.55;29.99;-18.39;6.09
UBS 3 PLANALTINA;0000469866;ESF 0352/16 - CEP SAUDE;42.18;36.84;31.95;-12.66;-13.27;-24.25
UBS 01 NUCLEO BANDEIRANTE;0001670433;ESF 05 - UBS 01 NB;36.0;34.75;41.5;-3.47;19.42;15.28
UBS 6 GAMA;0001616420;0217/32;27.87;35.35;34.45;26.84;-2.55;23.61
UBS 2 SOBRADINHO;0001616404;ESF 0602/12 - TURQUESA - SOB;31.09;31.38;49.5;0.93;57.74;59.22
UBS 7 JARDIM RORIZ PLANALTINA;0000469696;ESF 0376/40- BORBOLETA AMARELA;24.47;24.0;25.92;-1.92;8.0;5.93
UBS 7 MORRO DA CRUZ SAO SEBASTIAO;0000471437;ESF EQ 02 - MORRO DA CRUZ;24.4;29.98;27.3;22.87;-8.94;11.89
UBS 12 SAMAMBAIA;0000470589;ESF 23 VERDE - UBS 12 SAM;35.25;43.56;33.2;23.57;-23.78;-5.82
UBS 08 SAMAMBAIA;0000471011;ESF 38 ROSA - UBS 08 SAM;41.38;43.29;45.88;4.62;5.98;10.87
UBS 1 ITAPOA;0000469505;ESF EQ 07 - ROSA;27.33;41.53;43.53;51.96;4.82;59.28
UBS 02 SAMAMBAIA;0000470856;ESF 27 AZUL - UBS 02 SAM;30.68;38.39;29.58;25.13;-22.95;-3.59
UBS 9 SANTA MARIA;0000471062;0523/06;30.93;31.03;38.15;0.32;22.95;23.34
UBS 2 ITAPOA;0002416735;ESF ESMERALDA;42.85;29.07;31.24;-32.16;7.46;-27.09
UBS 04 SAMAMBAIA;0001623265;ESF 53 LARANJA - UBS 04 SAM;33.33;36.33;29.08;9.0;-19.96;-12.75
UBS 12 PONTE ALTA GAMA;0002429233;1242/78;46.58;34.8;56.88;-25.29;63.45;22.11
UBS 01 SAMAMBAIA;0000470538;ESF 16 LARANJA - UBS 01 SAM;31.77;22.63;19.57;-28.77;-13.52;-38.4
UBS 1 CRUZEIRO;0001670204;EQUIPE BURITI;32.45;28.67;21.3;-11.65;-25.71;-34.36
UBS 3 LOBEIRAL FERCAL;0000471593;ESF 0610/02 - LOBEIRA;50.64;51.52;33.52;1.74;-34.94;-33.81
UBS 05 RIACHO FUNDO II;0002268817;ESF 17 UBS 05 RIACHO FUNDO II;27.48;34.09;36.14;24.05;6.01;31.51
UBS 5 CEILANDIA;0001665243;EQUIPE 1 - VERMELHA;32.53;34.4;38.02;5.75;10.52;16.88
UBS 01 AGUAS CLARAS;0001709828;ESF 07 ROXA - UBS 01 AC;24.5;29.11;45.64;18.82;56.78;86.29
UBS 11 PONTE ALTA NORTE GAMA;0001620932;0223/38;35.61;38.65;41.75;8.54;8.02;17.24
UBS 02 TAGUATINGA;0000471704;ESF 01 ROXA - UBS 02 TAG;57.57;29.7;37.67;-48.41;26.84;-34.57
UBS 9 ENGENHO DAS LAGES GAMA;0000469130;0205/03;44.91;37.88;43.1;-15.65;13.78;-4.03
UBS 1 ITAPOA;0001642030;ESF EQ 14 - AMARELA;32.15;37.56;40.85;16.83;8.76;27.06
UBS 3 GAMA;0001617796;0218/33;42.3;59.08;41.38;39.67;-29.96;-2.17
UBS 7 JARDIM RORIZ PLANALTINA;0000469688;ESF 0375/39- BORBOLETA LARANJA;30.21;28.38;36.59;-6.06;28.93;21.12
UBS 12 BICA DO DER PLANALTINA;0000469734;ESF 0337/04 - BICA DO DER;15.45;26.05;30.65;68.61;17.66;98.38
UBS 03 TAGUATINGA;0000471712;ESF 06 VERDE - UBS 03 TAG;27.5;38.6;39.46;40.36;2.23;43.49
UBS 02 SAMAMBAIA;0000470872;ESF 31 AMARELA - UBS 02 SAM;39.5;31.31;22.0;-20.73;-29.73;-44.3
UBS 2 SANTA MARIA;0001528041;0530/13;38.31;34.71;24.6;-9.4;-29.13;-35.79
UBS 03 GUARA;0001800140;ESF 01 - UBS 03 GUARA;40.68;37.23;45.46;-8.48;22.11;11.75
UBS 2 ASA NORTE;0001670158;EQUIPE VERDE;27.71;32.42;32.95;17.0;1.63;18.91
UBS 20 PLANALTINA;0002507501;ESF 56 - GAMA;0.0;34.58;25.96;100.0;-24.93;100.0
UBS 18 CAIC BERNARDO SAYAO;0000468762;EQUIPE 1;33.74;39.98;41.16;18.49;2.95;21.99
UBS 2 GAMA;0000468932;0208/06;29.52;37.5;38.07;27.03;1.52;28.96
UBS 01 RECANTO DAS EMAS;0001635468;ESF 56 VERDE - UBS 01 REC;27.71;29.48;33.46;6.39;13.5;20.75
UBS 19 PLANALTINA;0001616455;ESF 0348/28 - SUCUPIRA - PL;36.83;38.74;36.24;5.19;-6.45;-1.6
UBS 18 PLANALTINA;0002406527;ESF 2013/55-FLOR DO CERRADO-PL;29.84;34.82;27.86;16.69;-19.99;-6.64
UBS 3 GAMA;0001617788;0219/34;47.68;55.93;30.92;17.3;-44.72;-35.15
UBS 06 TAGUATINGA;0001641905;ESF 02 VERMELHA - UBS 06 TAG;23.5;34.5;17.57;46.81;-49.07;-25.23
UBS 4 PLANALTINA;0000469920;ESF 0367/31 - LARANJA;27.44;26.26;28.25;-4.3;7.58;2.95
UBS 5 GAMA;0001618873;0221/37;25.77;29.42;38.64;14.16;31.34;49.94
UBS 10 CEILANDIA;0001600060;EQUIPE 3 - ROSA;39.4;45.07;41.86;14.39;-7.12;6.24
UBS 4 JARDIM II PARANOA;0000469378;ESF EQ 02 - JARDIM II;32.5;15.25;24.9;-53.08;63.28;-23.38
UBS 06 SAMAMBAIA;0001487493;ESF 25 AZUL - UBS 06 SAM;36.4;39.86;30.96;9.51;-22.33;-14.95
UBS 12 CEILANDIA;0000468649;EQUIPE 1 - MARROM;42.38;38.07;39.4;-10.17;3.49;-7.03
UBS 02 GUARA;0001670492;ESF 06 - UBS 02 GUARA;40.18;39.4;54.1;-1.94;37.31;34.64
UBS 1 ASA NORTE;0001670069;EQUIPE AGUA;35.18;49.88;50.38;41.79;1.0;43.21
UBS 01 RIACHO FUNDO I;0001800272;ESF 07 - UBS 01 RIACHO FUNDO I;22.17;30.96;38.96;39.65;25.84;75.73
UBS 01 SAMAMBAIA;0000470511;ESF 15 ROXA - UBS 01 SAM;43.88;48.0;42.44;9.39;-11.58;-3.28
UBS 6 ARAPOANGA PLANALTINA;0000469807;ESF 0363/27 - JOAO-DE-BARRO-PL;33.92;34.29;35.49;1.09;3.5;4.63
UBS 7 SANTA MARIA;0001668617;0542/25;39.33;34.47;38.4;-12.36;11.4;-2.36
UBS 07 SAMAMBAIA;0001621378;ESF 14 ROSA - UBS 07 SAM;23.48;19.14;23.83;-18.48;24.5;1.49
UBS 4 DE SANTA MARIA;0002405377;1239/75;55.0;36.0;40.17;-34.55;11.58;-26.96
UBS 1 LAGO NORTE;0001797956;EQUIPE ONIX;42.64;34.69;45.56;-18.64;31.33;6.85
UBS 7 GAMA;0002414864;1241/77;32.49;39.77;34.18;22.41;-14.06;5.2
UBS 03 TAGUATINGA;0001668897;ESF 04 AMARELA - UBS 03 TAG;42.38;39.75;34.27;-6.21;-13.79;-19.14
UBS 1 JARDINS MANGUEIRAL;0002186381;ESF AMETISTA;29.0;29.33;26.78;1.14;-8.69;-7.66
UBS 01 SAMAMBAIA;0001668145;ESF 14 ROSA - UBS 01 SAM;27.76;42.06;37.24;51.51;-11.46;34.15
UBS 03 GUARA;0002263327;ESF 07 UBS 03 GUARA;31.92;33.59;23.33;5.23;-30.54;-26.91
UBS 02 SAMAMBAIA;0000470821;ESF 28 VERMELHA - UBS 02 SAM;18.55;17.93;27.0;-3.34;50.59;45.55
UBS 1 ASA SUL;0001796860;EQUIPE VERDE;39.5;29.17;20.6;-26.15;-29.38;-47.85
UBS 14 TABATINGA PLANALTINA;0000469602;ESF 0339/06 - TABATINGA;23.0;0.0;10.0;-100.0;100.0;-56.52
UBS 1 CRUZEIRO;0001670190;EQUIPE BARU;32.5;0.0;29.4;-100.0;100.0;-9.54
UBS 4 PLANALTINA;0002259214;ESF 2006/51 - VIOLETA - PL;17.5;35.53;30.06;103.03;-15.4;71.77
UBS 05 RIACHO FUNDO II;0000470422;ESF 12 - UBS 5 RF II - CAUB II;38.53;35.1;35.25;-8.9;0.43;-8.51
UBS 1 PARANOA;0001668994;ESF EQ 17 - PRATA;26.04;34.54;22.16;32.64;-35.84;-14.9
UBS 13 SAMAMBAIA;0001668161;ESF 01 VERDE - UBS 13 SAM;29.0;36.67;25.59;26.45;-30.22;-11.76
UBS 08 SAMAMBAIA;0000471003;ESF 40 VERDE - UBS 08 SAM;26.67;32.78;40.3;22.91;22.94;51.11
UBS 01 ESTRUTURAL;0000469270;ESF 05 - UBS 01 ESTRUTURAL;37.19;32.56;41.41;-12.45;27.18;11.35
UBS 2 SANTA MARIA;0001663372;0532/15;27.72;28.95;36.33;4.44;25.49;31.06
UBS 5 PLANALTINA;0000469963;ESF 0354/18 - GAIVOTA - PL;40.09;33.12;30.89;-17.39;-6.73;-22.95
UBS 08 RECANTO DAS EMAS SAO FRANCISCO;0000470120;ESF 02 LILAS - UBS 08 REC;14.0;21.67;18.0;54.79;-16.94;28.57
UBS 1 SANTA MARIA;0001668579;0538/21;56.8;37.0;44.64;-34.86;20.65;-21.41
UBS 7 CEILANDIA;0001665030;EQUIPE 5 - AMARELA;36.84;34.09;39.13;-7.46;14.78;6.22
UBS 01 ESTRUTURAL;0000469289;ESF 04 - UBS 01 ESTRUTURAL;45.33;45.24;34.28;-0.2;-24.23;-24.38
UBS 7 CEILANDIA;0001664808;EQUIPE 2 - AZUL;36.19;31.69;33.18;-12.43;4.7;-8.32
UBS 01 ESTRUTURAL;0000469262;ESF 02 - UBS 01 ESTRUTURAL;37.57;40.18;42.71;6.95;6.3;13.68
