RELATÓRIO DE EVOLUÇÃO - Hipertensão
Equipes: eAP, eSF
Competências: ABR/25, AGO/25, DEZ/25

==================================================
RESUMO DAS VARIAÇÕES
==================================================
ABR_25: Média de pontuação = 57.53
AGO_25: Média de pontuação = 58.70
DEZ_25: Média de pontuação = 58.75

% de crescimento entre 2025-04 e 2025-08: 2.48%
% de crescimento entre 2025-08 e 2025-12: 0.34%

Crescimento total médio: 2.80%

==================================================
TOP 5 - MAIOR CRESCIMENTO
==================================================
  ESF 57 - CEU AZUL (INE: 0002533219): 100.00%
  EQUIPE 05 - AZUL (INE: 0001669109): 70.87%
  EQUIPE 2 (INE: 0000468479): 70.84%
  EQUIPE 3 LAGO SUL (INE: 0002504723): 55.10%
  ESF 38 ROSA - UBS 08 SAM (INE: 0000471011): 53.72%

==================================================
TOP 5 - MENOR CRESCIMENTO
==================================================
  ESF 0352/16 - CEP SAUDE (INE: 0000469866): -21.44%
  0538/21 (INE: 0001668579): -20.83%
  ESF EQ 11 - VERDE (INE: 0001668951): -19.23%
  ESF 09 ROSA - UBS 01 VP (INE: 0002347229): -19.17%
  ESF 06 AMARELA - UBS 01 VP (INE: 0001805568): -19.10%


==================================================
DADOS COMPLETOS
==================================================

ESTABELECIMENTO;INE;NOME DA EQUIPE;PONT_ABR_25;PONT_AGO_25;PONT_DEZ_25;VAR_1_2_%;VAR_2_3_%;CRESCIMENTO_TOTAL_%
UBS 04 SAMAMBAIA;0000470716;ESF 39 VERDE - UBS 04 SAM;42.79;51.21;50.1;19.68;-2.17;17.08
UBS 1 LAGO SUL;0002449471;EQUIPE 2 LAGO SUL;50.65;51.72;48.52;2.11;-6.19;-4.21
UBS 1 PARANOA;0000469351;ESF EQ 09 - AMARELA;52.67;55.11;53.76;4.63;-2.45;2.07
UBS 9 RESIDENCIAL DO BOSQUE 1 SAO SEBASTIAO;0000471429;ESF EQ 23 - VILA NOVA 2;45.05;44.94;46.04;-0.24;2.45;2.2
UBS 07 SAMAMBAIA;0001621416;ESF 51 AZUL - UBS 07 SAM;63.3;61.07;60.4;-3.52;-1.1;-4.58
UBS 01 TAGUATINGA;0001660462;ESF 04 ROSA - UBS 01 TAG;41.1;42.8;44.62;4.14;4.25;8.56
UBS 01 RIACHO FUNDO I;0002424355;ESF 08 - UBS 01 RIACHO FUNDO I;56.88;52.5;58.54;-7.7;11.5;2.92
UBS 9 CEILANDIA;0001665057;EQUIPE 4;49.22;57.08;62.36;15.97;9.25;26.7
UBS 8 SANTA MARIA;0001668595;0540/23;58.8;60.36;58.42;2.65;-3.21;-0.65
UBS 04 RECANTO DAS EMAS;0001482262;ESF 15 VERMELHA - UBS 04 REC;41.26;42.52;52.71;3.05;23.97;27.75
UBS 1 LAGO SUL;0002504723;EQUIPE 3 LAGO SUL;28.13;47.41;43.63;68.54;-7.97;55.1
UBS 11 CEILANDIA;0001665073;EQUIPE 1 - LARANJA;51.54;52.62;54.19;2.1;2.98;5.14
UBS 1 SOBRADINHO II;0001671383;ESF 0626/16 - AMARELA - SOB;48.91;52.67;51.9;7.69;-1.46;6.11
UBS 06 TAGUATINGA;0001668196;ESF 04 VERDE - UBS 06 TAG;61.76;59.56;58.8;-3.56;-1.28;-4.79
UBS 3 NOVA COLINA SOBRADINHO;0000471542;ESF 0594/03 - BURITI;53.17;53.13;50.4;-0.08;-5.14;-5.21
UBS 01 ESTRUTURAL;0001641840;ESF 12 - UBS 01 ESTRUTURAL;69.28;65.93;66.49;-4.84;0.85;-4.03
UBS 12 PONTE ALTA GAMA;0000469181;0206/04;70.03;69.26;70.31;-1.1;1.52;0.4
UBS 1 LAGO NORTE;0001670255;EQUIPE RUBI;55.98;64.51;65.52;15.24;1.57;17.04
UBS 5 QUEBRADA DOS NERES;0000469386;EQ 03 - QUEBRADA DOS NERES;68.97;61.23;68.6;-11.22;12.04;-0.54
UBS 03 RECANTO DAS EMAS;0001621335;ESF 21 ROXA - UBS 03 REC;57.44;60.9;62.2;6.02;2.13;8.29
UBS 05 SAMAMBAIA;0000470961;ESF 01 AZUL - UBS 05 SAM;54.59;53.97;53.98;-1.14;0.02;-1.12
UBS 03 RECANTO DAS EMAS;0001505750;ESF 22 AZUL - UBS 03 REC;64.04;64.7;59.51;1.03;-8.02;-7.07
UBS 9 SANTOS DUMONT PLANALTINA;0000469726;ESF 0334/01 - 14 BIS;49.38;52.67;49.49;6.66;-6.04;0.22
UBS 12 CEILANDIA;0001664948;EQUIPE 3 - LARANJA;47.6;49.44;57.82;3.87;16.95;21.47
UBS 04 RECANTO DAS EMAS;0000470066;ESF 10 VERDE - UBS 04 REC;52.49;53.67;59.84;2.25;11.5;14.0
UBS 1 SOBRADINHO II;0001671367;ESF 0622/12 - MARROM;50.64;54.03;53.17;6.69;-1.59;5.0
UBS 5 SETOR DE MANSOES SOBRADINHO II;0001593447;ESF 0625/18 - FLOR DE LIS;57.81;58.4;57.12;1.02;-2.19;-1.19
UBS 20 PLANALTINA;0000469947;ESF 0373/37 - OMEGA;63.89;59.11;55.56;-7.48;-6.01;-13.04
UBS 02 GUARA;0001670484;ESF 04 - UBS 02 GUARA;62.5;61.8;61.55;-1.12;-0.4;-1.52
UBS 1 PLANALTINA;0000469564;ESF 0346/11 - LOBO GUARA;51.5;59.66;63.77;15.84;6.89;23.83
UBS 2 SOBRADINHO II;0001656848;ESF 0619/03 - ALECRIM;60.3;61.06;59.21;1.26;-3.03;-1.81
UBS 2 GAMA;0002098792;1219/15;57.3;58.76;57.82;2.55;-1.6;0.91
UBS 1 ENGENHO VELHO FERCAL;0001593439;ESF 0623/04 - IPE;56.17;56.4;56.43;0.41;0.05;0.46
UBS 02 TAGUATINGA;0001641875;ESF 08 DOURADA - UBS 02 TAG;59.6;61.01;60.05;2.37;-1.57;0.76
UBS 16 CEILANDIA;0000468789;EQUIPE 2 - BRANCA;67.45;65.77;62.69;-2.49;-4.68;-7.06
UBS 17 JARDIM MORUMBI PLANALTINA;0000469750;ESF 0342/09 - CORUJA BRANCA;70.53;71.29;72.05;1.08;1.07;2.16
UBS 03 RECANTO DAS EMAS;0000470228;ESF 19 LARANJA - UBS 03 REC;61.0;55.68;55.2;-8.72;-0.86;-9.51
UBS 5 PLANALTINA;0000470007;ESF 0360/24 - ARARA - PL;49.11;46.67;43.85;-4.97;-6.04;-10.71
UBS 2 BRAZLANDIA;0000468525;EQUIPE 4 - AMARELA;53.77;60.29;62.54;12.13;3.73;16.31
UBS 6 CEILANDIA;0001664778;EQUIPE 1 - ORQUIDEA;64.62;66.27;67.07;2.55;1.21;3.79
UBS 12 SAMAMBAIA;0000470627;ESF 19 AZUL - UBS 12 SAM;50.17;49.87;52.91;-0.6;6.1;5.46
UBS 18 PLANALTINA;0000469815;ESF 0353/17 - AGUAS EMENDADAS;50.25;50.0;48.14;-0.5;-3.72;-4.2
UBS 07 SAMAMBAIA;0001621408;ESF 45 LARANJA - UBS 07 SAM;64.89;64.07;62.55;-1.26;-2.37;-3.61
UBS 1 ENGENHO VELHO FERCAL;0000471607;ESF 0592/01- PALMEIRAS;51.85;58.3;64.98;12.44;11.46;25.32
UBS 1 SOBRADINHO II;0001717154;ESF 0629/20 - AZUL CLARO;48.75;53.57;48.3;9.89;-9.84;-0.92
UBS 01 VICENTE PIRES;0002347229;ESF 09 ROSA - UBS 01 VP;59.21;52.7;47.86;-10.99;-9.18;-19.17
UBS 6 SAO FRANCISCO SAO SEBASTIAO;0000471305;ESF EQ 16 - SAO FRANCISCO;54.52;51.83;54.28;-4.93;4.73;-0.44
UBS 2 SOBRADINHO;0001717146;ESF 0641/24 - PEROLA;46.7;47.52;42.66;1.76;-10.23;-8.65
UBS 15 CEILANDIA;0001665219;EQUIPE 4 - BRANCA;61.41;60.6;62.8;-1.32;3.63;2.26
UBS 5 GAMA;0000469092;0212/10;47.49;52.8;58.04;11.18;9.92;22.22
UBS 1 PARANOA;0001668986;ESF EQ 15 - DOURADA;49.77;52.22;56.53;4.92;8.25;13.58
UBS 01 ESTRUTURAL;0000469254;ESF 01 - UBS 01 ESTRUTURAL;68.43;68.77;68.85;0.5;0.12;0.61
UBS 2 SOBRADINHO;0001616390;ESF 0601/01 - DIAMANTE;42.56;48.57;54.05;14.12;11.28;27.0
UBS 1 LAGO NORTE;0002272431;EQUIPE AMETISTA;53.98;59.04;58.16;9.37;-1.49;7.74
UBS 1 VARJAO;0001670298;EQUIPE AMIZADE;69.9;71.98;67.74;2.98;-5.89;-3.09
UBS 15 CEILANDIA;0002018160;EQUIPE 2 - VINHO;49.87;55.15;54.19;10.59;-1.74;8.66
UBS 1 SOBRADINHO;0000471496;ESF 0598/16 - ARARA;55.61;54.4;53.36;-2.18;-1.91;-4.05
UBS 10 CEILANDIA;0001635247;EQUIPE 4 - AMARELA;43.54;46.84;49.14;7.58;4.91;12.86
UBS 12 SAMAMBAIA;0000470600;ESF 21 PRETA- UBS 12 SAM;47.59;47.61;48.13;0.04;1.09;1.13
UBS 1 VARJAO;0001670328;EQUIPE ALEGRIA;73.2;68.09;66.91;-6.98;-1.73;-8.59
UBS 01 VICENTE PIRES;0001668072;ESF 04 AZUL - UBS 01 VP;58.25;55.56;56.1;-4.62;0.97;-3.69
UBS 02 RIACHO FUNDO II;0000470309;ESF 01 - UBS 2 RIACHO FUNDO II;63.02;59.02;54.11;-6.35;-8.32;-14.14
UBS 1 SANTA MARIA;0001668536;0534/17;62.42;62.67;62.33;0.4;-0.54;-0.14
UBS 01 CANDANGOLANDIA;0001670565;ESF 03 - UBS 01 CANDANGOLANDIA;52.78;61.43;64.75;16.39;5.4;22.68
UBS 01 TAGUATINGA;0001668102;ESF 06 VERDE - UBS 01 TAG;57.49;56.48;60.17;-1.76;6.53;4.66
UBS 6 ARAPOANGA PLANALTINA;0000469785;ESF 0362/26 - SABIA - PL;66.25;67.42;64.63;1.77;-4.14;-2.45
UBS 01 ESTRUTURAL;0001469606;ESF 09 - UBS 01 ESTRUTURAL;66.36;63.46;62.5;-4.37;-1.51;-5.82
UBS 02 GUARA;0001670468;ESF 01 - UBS 02 GUARA;65.0;60.98;58.11;-6.18;-4.71;-10.6
UBS 2 CRUZEIRO;0001798170;EQUIPE JASMIM;53.27;59.69;61.49;12.05;3.02;15.43
UBS 01 GUARA;0001800035;ESF 05 - UBS 01 GUARA;61.21;61.27;61.0;0.1;-0.44;-0.34
UBS 6 GAMA;0000469068;0245/24;43.92;43.9;45.57;-0.05;3.8;3.76
UBS 6 LAGO OESTE SOBRADINHO;0000471615;ESF 0593/02 - FLOR DO CERRADO;47.73;53.42;63.33;11.92;18.55;32.68
UBS 07 SAMAMBAIA;0000470724;ESF 37 LILAS - UBS 07 SAM;53.41;55.12;58.06;3.2;5.33;8.71
UBS 7 CEILANDIA;0001664794;EQUIPE 1 - ROSA;43.4;50.36;51.89;16.04;3.04;19.56
UBS 15 CEILANDIA;0000468797;EQUIPE 3 - AMARELA;63.1;63.47;60.31;0.59;-4.98;-4.42
UBS 01 NUCLEO BANDEIRANTE;0001670417;ESF 03 - UBS 01 NB;64.74;67.39;62.44;4.09;-7.35;-3.55
UBS 03 RECANTO DAS EMAS;0000470244;ESF 24 CINZA - UBS 03 REC;63.99;67.27;64.65;5.13;-3.89;1.03
UBS 2 ASA NORTE;0001670166;EQUIPE BRANCA;59.26;53.82;60.44;-9.18;12.3;1.99
UBS 2 CRUZEIRO;0001670220;EQUIPE ORQUIDEA;50.22;51.94;47.29;3.42;-8.95;-5.83
UBS 3 PARANOA PARQUE;0001669079;ESF EQ 22 - JEQUITIBA;63.06;59.34;58.27;-5.9;-1.8;-7.6
UBS 2 CEILANDIA;0001664913;EQUIPE 4 - ROSA;57.86;66.75;71.9;15.36;7.72;24.27
UBS 10 CEILANDIA;0000468584;EQUIPE 1 - PRETA;55.18;64.2;64.22;16.35;0.03;16.38
UBS 9 CEILANDIA;0001664840;EQUIPE 3;46.69;53.41;58.73;14.39;9.96;25.79
UBS 1 SAO SEBASTIAO;0001669109;EQUIPE 05 - AZUL;38.03;56.94;64.98;49.72;14.12;70.87
UBS 1 PARANOA;0001668943;ESF EQ 08 - BRANCA;62.71;62.92;55.98;0.33;-11.03;-10.73
UBS 04 SAMAMBAIA;0000470767;ESF 13 VERMELHA - UBS 04 SAM;68.13;65.47;69.27;-3.9;5.8;1.67
UBS 19 VISTA BELA;0002018195;EQUIPE 2;53.58;57.09;66.14;6.55;15.85;23.44
UBS 01 VICENTE PIRES;0001805649;ESF 08 BRANCA - UBS 01 VP;62.16;61.18;58.38;-1.58;-4.58;-6.08
UBS 1 ITAPOA;0001634380;ESF EQ 12 - VERDE;59.93;55.2;49.18;-7.89;-10.91;-17.94
UBS 01 RIACHO FUNDO II;0000470465;ESF 06 - UBS 1 RIACHO FUNDO II;67.34;70.92;70.27;5.32;-0.92;4.35
UBS 01 RIACHO FUNDO I;0001800221;ESF 04 - UBS 01 RIACHO FUNDO I;56.89;65.19;62.24;14.59;-4.53;9.4
UBS 3 ITAPOA;0001668935;ESF EQ 04;63.98;64.66;66.28;1.06;2.51;3.59
UBS 08 SAMAMBAIA;0000470996;ESF 36 VERMELHA - UBS 08 SAM;39.49;43.75;40.19;10.79;-8.14;1.77
UBS 2 T R E SAO SEBASTIAO;0001676458;ESF EQ 24 - VILA NOVA 1;43.66;50.61;60.65;15.92;19.84;38.91
UBS 6 CEILANDIA;0002235188;EQUIPE 6 - VIOLETA;60.4;61.9;61.54;2.48;-0.58;1.89
UBS 3 CEILANDIA;0000468819;EQUIPE 4 - VERMELHA;57.77;60.04;56.3;3.93;-6.23;-2.54
UBS 01 GUARA;0001670549;ESF 03 - UBS 01 GUARA;65.08;62.28;66.18;-4.3;6.26;1.69
UBS 19 VILA DO BOA SAO SEBASTIAO;0000471399;ESF EQ 14 - VILA DO BOA;55.25;57.27;60.95;3.66;6.43;10.32
UBS 5 GAMA;0001609483;0244/23;50.09;52.81;51.89;5.43;-1.74;3.59
UBS 07 TAGUATINGA;0001843567;ESF 03 VERDE - UBS 07 TAG;66.82;62.46;62.71;-6.52;0.4;-6.15
UBS 4 CEILANDIA;0001664972;EQUIPE 1 - VERDE;47.03;48.3;53.82;2.7;11.43;14.44
UBS 1 GAMA;0001573705;0213/11;61.39;58.63;60.24;-4.5;2.75;-1.87
UBS 02 ESTRUTURAL;0001469592;ESF 08 - UBS 02 ESTRUTURAL;51.23;56.46;59.14;10.21;4.75;15.44
UBS 2 CRUZEIRO;0001670247;EQUIPE CALIANDRA;59.11;54.31;53.13;-8.12;-2.17;-10.12
UBS 01 NUCLEO BANDEIRANTE;0001670425;ESF 04 - UBS 01 NB;60.5;59.74;60.81;-1.26;1.79;0.51
UBS 6 CARIRU PARANOA;0000469424;ESF EQ 04 - CARIRU;74.74;72.99;62.5;-2.34;-14.37;-16.38
UBS 8 SANTA MARIA;0000471038;0519/02;58.11;61.14;63.24;5.21;3.43;8.83
UBS 15 CEILANDIA;0000468657;EQUIPE 1 - VERMELHA;52.83;53.89;56.44;2.01;4.73;6.83
UBS 03 GUARA;0001670522;ESF 06 - UBS 03 GUARA;59.25;63.05;58.58;6.41;-7.09;-1.13
UBS 11 CEILANDIA;0001665103;EQUIPE 3 - ROSA;54.01;60.62;62.06;12.24;2.38;14.9
UBS 3 PLANALTINA;0000469866;ESF 0352/16 - CEP SAUDE;58.43;53.44;45.9;-8.54;-14.11;-21.44
