RELATÓRIO DE EVOLUÇÃO - Pessoa Idosa
Equipes: eAP, eSF
Competências: ABR/25, AGO/25, DEZ/25

==================================================
RESUMO DAS VARIAÇÕES
==================================================
ABR_25: Média de pontuação = 44.60
AGO_25: Média de pontuação = 48.42
DEZ_25: Média de pontuação = 49.31

% de crescimento entre 2025-04 e 2025-08: 8.82%
% de crescimento entre 2025-08 e 2025-12: 2.01%

Crescimento total médio: 10.98%

==================================================
TOP 5 - MAIOR CRESCIMENTO
==================================================
  EQUIPE 04 - LARANJA (INE: 0001669095): 38.92%
  ESF EQ 24 - VILA NOVA 1 (INE: 0001676458): 34.28%
  ESF EQ 03 - CAVAS DE BAIXO (INE: 0001603426): 26.83%
  ESF EQ 14 - VILA DO BOA (INE: 0000471399): 24.74%
  EQUIPE 05 - AZUL (INE: 0001669109): 23.87%

==================================================
TOP 5 - MENOR CRESCIMENTO
==================================================
  ESF EQ 11 - MARROM (INE: 0001469363): -18.42%
  ESF EQ 01 - PAD-DF (INE: 0000469394): -6.12%
  ESF EQ 12 - VERDE (INE: 0001634380): -0.85%
  EQUIPE 09 - VERDE (INE: 0001669141): -0.45%
  ESF ESMERALDA (INE: 0002198797): -0.21%


==================================================
DADOS COMPLETOS
==================================================

ESTABELECIMENTO;INE;NOME DA EQUIPE;PONT_ABR_25;PONT_AGO_25;PONT_DEZ_25;VAR_1_2_%;VAR_2_3_%;CRESCIMENTO_TOTAL_%
UBS 1 PARANOA;0001668986;ESF EQ 15 - DOURADA;43.9;49.8;50.68;13.44;1.77;15.44
UBS 11 RESIDENCIAL DO BOSQUE 2 SAO SEBASTIAO;0000471321;ESF EQ 25 - BOSQUE 2;40.14;45.24;46.63;12.71;3.07;16.17
UBS 3 ITAPOA;0001672053;ESF EQ 05;50.64;57.85;55.73;14.24;-3.66;10.05
UBS 8 PADDF PARANOA;0000469394;ESF EQ 01 - PAD-DF;56.36;54.47;52.91;-3.35;-2.86;-6.12
UBS 1 SAO SEBASTIAO;0001669133;EQUIPE 08 - ROSA;41.39;43.3;45.88;4.61;5.96;10.85
UBS 1 SAO SEBASTIAO;0000471186;EQUIPE 20 - BRANCA;39.84;47.52;47.78;19.28;0.55;19.93
UBS 1 SAO SEBASTIAO;0001669125;EQUIPE 07 - LILAS;48.91;51.72;51.64;5.75;-0.15;5.58
UBS 9 RESIDENCIAL DO BOSQUE 1 SAO SEBASTIAO;0000471410;ESF EQ 21 - BOSQUE 1;41.59;44.53;47.94;7.07;7.66;15.27
UBS 5 NOVA BETANIA SAO SEBASTIAO;0000471194;ESF EQ 01 - NOVA BETANIA;51.98;60.07;61.08;15.56;1.68;17.51
UBS 3 RESIDENCIAL OESTE SAO SEBASTIAO;0000471364;ESF EQ 12 - OESTE 2;51.18;54.9;58.78;7.27;7.07;14.85
UBS 2 ITAPOA;0000469440;ESF EQ 02;47.33;55.23;56.25;16.69;1.85;18.85
UBS 1 SAO SEBASTIAO;0001669109;EQUIPE 05 - AZUL;39.89;45.52;49.41;14.11;8.55;23.87
UBS 1 JARDINS MANGUEIRAL;0002186403;ESF SAFIRA;47.98;51.74;50.81;7.84;-1.8;5.9
UBS 3 ITAPOA;0001634399;ESF EQ 03;51.87;56.49;56.44;8.91;-0.09;8.81
UBS 1 SAO SEBASTIAO;0001669168;EQUIPE 10 - VERMELHA;40.06;44.19;43.96;10.31;-0.52;9.74
