RELATÓRIO DE EVOLUÇÃO - Prevenção do Câncer
Equipes: eAP, eSF
Competências: ABR/25, AGO/25, DEZ/25

==================================================
RESUMO DAS VARIAÇÕES
==================================================
ABR_25: Média de pontuação = 41.33
AGO_25: Média de pontuação = 41.13
DEZ_25: Média de pontuação = 41.15

% de crescimento entre 2025-04 e 2025-08: -0.00%
% de crescimento entre 2025-08 e 2025-12: 0.38%

Crescimento total médio: 0.28%

==================================================
TOP 5 - MAIOR CRESCIMENTO
==================================================
  ESF EQ 07 - ROSA (INE: 0000469505): 39.90%
  ESF EQ 01 - NOVA BETANIA (INE: 0000471194): 23.32%
  ESF EQ 22 - JOAO CANDIDO (INE: 0000471402): 18.35%
  ESF ITAIPU (INE: 0002458152): 18.10%
  ESF EQ 15 - DOURADA (INE: 0001668986): 15.46%

==================================================
TOP 5 - MENOR CRESCIMENTO
==================================================
  ESF TORORO (INE: 0001686534): -23.60%
  ESF EQ 14 - MARROM (INE: 0001642014): -20.15%
  ESF EQ 18 - BURITI (INE: 0001669001): -12.18%
  ESF EQ 11 - VERDE (INE: 0001668951): -10.69%
  ESF SAFIRA (INE: 0002186403): -10.34%


==================================================
DADOS COMPLETOS
==================================================

ESTABELECIMENTO;INE;NOME DA EQUIPE;PONT_ABR_25;PONT_AGO_25;PONT_DEZ_25;VAR_1_2_%;VAR_2_3_%;CRESCIMENTO_TOTAL_%
UBS 1 PARANOA;0001668986;ESF EQ 15 - DOURADA;34.8;38.28;40.18;10.0;4.96;15.46
UBS 11 RESIDENCIAL DO BOSQUE 2 SAO SEBASTIAO;0000471321;ESF EQ 25 - BOSQUE 2;49.15;50.74;47.84;3.23;-5.72;-2.67
UBS 3 ITAPOA;0001672053;ESF EQ 05;40.41;39.98;41.03;-1.06;2.63;1.53
UBS 8 PADDF PARANOA;0000469394;ESF EQ 01 - PAD-DF;43.16;46.32;46.43;7.32;0.24;7.58
UBS 1 SAO SEBASTIAO;0001669133;EQUIPE 08 - ROSA;36.61;35.17;36.2;-3.93;2.93;-1.12
UBS 1 SAO SEBASTIAO;0000471186;EQUIPE 20 - BRANCA;43.39;40.45;40.42;-6.78;-0.07;-6.84
UBS 1 SAO SEBASTIAO;0001669125;EQUIPE 07 - LILAS;41.12;41.64;39.13;1.26;-6.03;-4.84
UBS 9 RESIDENCIAL DO BOSQUE 1 SAO SEBASTIAO;0000471410;ESF EQ 21 - BOSQUE 1;46.89;46.88;42.9;-0.02;-8.49;-8.51
UBS 5 NOVA BETANIA SAO SEBASTIAO;0000471194;ESF EQ 01 - NOVA BETANIA;45.36;49.67;55.94;9.5;12.62;23.32
UBS 3 RESIDENCIAL OESTE SAO SEBASTIAO;0000471364;ESF EQ 12 - OESTE 2;39.42;38.48;41.42;-2.38;7.64;5.07
UBS 2 ITAPOA;0000469440;ESF EQ 02;50.85;50.04;49.36;-1.59;-1.36;-2.93
UBS 1 SAO SEBASTIAO;0001669109;EQUIPE 05 - AZUL;38.61;39.25;43.03;1.66;9.63;11.45
UBS 1 JARDINS MANGUEIRAL;0002186403;ESF SAFIRA;44.2;40.51;39.63;-8.35;-2.17;-10.34
UBS 3 ITAPOA;0001634399;ESF EQ 03;40.13;43.6;38.55;8.65;-11.58;-3.94
UBS 1 SAO SEBASTIAO;0001669168;EQUIPE 10 - VERMELHA;41.11;42.62;43.8;3.67;2.77;6.54
UBS 1 JARDINS MANGUEIRAL;0002198797;ESF ESMERALDA;42.97;41.94;41.59;-2.4;-0.83;-3.21
UBS 3 PARANOA PARQUE;0001669087;ESF EQ 23 - PEQUI;49.1;47.68;44.38;-2.89;-6.92;-9.61
UBS 1 PARANOA;0001642006;ESF EQ 13 - LILAS;39.66;34.44;38.29;-13.16;11.18;-3.45
UBS 2 T R E SAO SEBASTIAO;0000471380;ESF EQ 15 - SETOR TRADICIONAL;42.89;42.66;41.27;-0.54;-3.26;-3.78
UBS 7 MORRO DA CRUZ SAO SEBASTIAO;0000471437;ESF EQ 02 - MORRO DA CRUZ;38.45;36.87;41.55;-4.11;12.69;8.06
UBS 1 ITAPOA;0001634380;ESF EQ 12 - VERDE;37.83;38.01;39.78;0.48;4.66;5.15
UBS 4 MORRO AZUL SAO SEBASTIAO;0000471348;ESF EQ 13 - MORRO AZUL;41.83;37.2;39.03;-11.07;4.92;-6.69
UBS 3 PARANOA PARQUE;0001669001;ESF EQ 18 - BURITI;47.62;45.01;41.82;-5.48;-7.09;-12.18
UBS 03 JARDIM BOTANICO;0001686534;ESF TORORO;58.64;50.12;44.8;-14.53;-10.61;-23.6
UBS 1 ITAPOA;0001642022;ESF EQ 13 - VERMELHA;43.38;41.46;41.42;-4.43;-0.1;-4.52
UBS 1 ITAPOA;0000469521;ESF EQ 10 - CINZA;34.04;36.79;37.29;8.08;1.36;9.55
UBS 8 CAVAS DE BAIXO SAO SEBASTIAO;0001603426;ESF EQ 03 - CAVAS DE BAIXO;34.63;32.52;36.61;-6.09;12.58;5.72
UBS 1 PARANOA;0001668943;ESF EQ 08 - BRANCA;40.24;38.62;37.37;-4.03;-3.24;-7.13
UBS 1 PARANOA;0001668994;ESF EQ 17 - PRATA;37.0;36.77;33.7;-0.62;-8.35;-8.92
UBS 1 SAO SEBASTIAO;0002396211;DOURADA;38.18;40.0;40.07;4.77;0.18;4.95
UBS 1 ITAPOA;0000469505;ESF EQ 07 - ROSA;31.73;42.37;44.39;33.53;4.77;39.9
UBS 1 PARANOA;0001641980;ESF EQ 10 - AZUL;37.42;37.76;40.28;0.91;6.67;7.64
UBS 5 QUEBRADA DOS NERES;0000469386;EQ 03 - QUEBRADA DOS NERES;56.87;53.16;53.02;-6.52;-0.26;-6.77
UBS 10 JOAO CANDIDO SAO SEBASTIAO;0000471402;ESF EQ 22 - JOAO CANDIDO;44.3;48.27;52.43;8.96;8.62;18.35
UBS 1 ITAPOA;0001642030;ESF EQ 14 - AMARELA;47.02;44.24;49.42;-5.91;11.71;5.1
UBS 04 ITAPOA;0002138697;ESF EQ 15 RUBI;37.99;40.49;38.43;6.58;-5.09;1.16
UBS 2 ITAPOA;0002416735;ESF ESMERALDA;45.55;45.05;43.99;-1.1;-2.35;-3.42
UBS 2 ITAPOA;0000469432;ESF EQUIPE 01;49.49;50.88;50.86;2.81;-0.04;2.77
UBS 4 JARDIM II PARANOA;0000469378;ESF EQ 02 - JARDIM II;38.13;36.92;35.07;-3.17;-5.01;-8.03
UBS 1 SAO SEBASTIAO;0000471151;ESF EQ 19 - PRATA;38.24;38.74;35.51;1.31;-8.34;-7.14
UBS 1 JARDINS MANGUEIRAL;0002184478;ESF DIAMANTE;32.53;35.86;35.46;10.24;-1.12;9.01
UBS 3 PARANOA PARQUE;0001669028;ESF EQ 19 - JATOBA;46.33;46.23;44.67;-0.22;-3.37;-3.58
UBS 3 PARANOA PARQUE;0001669060;ESF EQ 21 - IPE;42.74;44.3;42.01;3.65;-5.17;-1.71
UBS 1 ITAPOA;0000469491;ESF EQ 08 - LARANJA;35.99;36.85;39.21;2.39;6.4;8.95
UBS 19 VILA DO BOA SAO SEBASTIAO;0000471399;ESF EQ 14 - VILA DO BOA;48.62;46.31;48.0;-4.75;3.65;-1.28
UBS 3 RESIDENCIAL OESTE SAO SEBASTIAO;0000471356;ESF EQ 11 - OESTE 1;37.66;38.12;38.61;1.22;1.29;2.52
UBS 1 PARANOA;0000469351;ESF EQ 09 - AMARELA;32.26;33.55;34.91;4.0;4.05;8.21
UBS 1 SAO SEBASTIAO;0000471178;ESF EQ 18 - MARROM;31.06;33.43;33.21;7.63;-0.66;6.92
UBS 3 ITAPOA;0001668935;ESF EQ 04;43.11;43.22;42.53;0.26;-1.6;-1.35
UBS 1 ITAPOA;0001469363;ESF EQ 11 - MARROM;53.85;57.54;53.29;6.85;-7.39;-1.04
UBS 1 ITAPOA;0000469513;ESF EQ 06 - AZUL;38.27;39.92;35.97;4.31;-9.89;-6.01
