RELATÓRIO DE EVOLUÇÃO - Ações interprofissionais realizadas pela eMulti na APS
Equipes: eMulti
Competências: ABR/25, AGO/25, DEZ/25

==================================================
RESUMO DAS VARIAÇÕES
==================================================
ABR_25: Média de pontuação = 16.68
AGO_25: Média de pontuação = 19.39
DEZ_25: Média de pontuação = 18.46

% de crescimento entre 2025-04 e 2025-08: 44.59%
% de crescimento entre 2025-08 e 2025-12: 34.98%

Crescimento total médio: 43.43%

==================================================
TOP 5 - MAIOR CRESCIMENTO
==================================================
  EMULTI ESTRATEGICA 1 (INE: 0002352281): 734.81%
  EMULTI 1 UBS 2 CEILANDIA (INE: 0001676199): 325.54%
  ENASF 01 - UBS 01 ESTRUTURAL (INE: 0001469568): 315.36%
  EMULTI 3 UBS 7 CEILANDIA (INE: 0001682709): 228.60%
  EMULTI L. NORTE GRANJA VARJAO (INE: 0001670646): 227.58%

==================================================
TOP 5 - MENOR CRESCIMENTO
==================================================
  EMULTI UBS 05 TAG (INE: 0000470791): -87.52%
  EMULTI PRISMA (INE: 0000469467): -87.40%
  EMULTI UBS 05 SAM (INE: 0002282631): -83.30%
  EMULTI ASA NORTE 2 (INE: 0002366991): -78.04%
  EMULTI CALIANDRA (INE: 0002282399): -71.30%


==================================================
DADOS COMPLETOS
==================================================

ESTABELECIMENTO;INE;NOME DA EQUIPE;PONT_ABR_25;PONT_AGO_25;PONT_DEZ_25;VAR_1_2_%;VAR_2_3_%;CRESCIMENTO_TOTAL_%
UBS 05 TAGUATINGA;0000470791;EMULTI UBS 05 TAG;10.58;12.72;1.32;20.23;-89.62;-87.52
UBS 08 TAGUATINGA;0000470759;EMULTI UBS 08 TAG;45.05;31.09;36.0;-30.99;15.79;-20.09
UBS 01 CANDANGOLANDIA;0002208288;NASF 01 CANDANGOLANDIA;0.0;18.28;13.71;100.0;-25.0;100.0
UBS 1 JARDINS MANGUEIRAL;0002303418;EMULTI RUBI;29.35;21.21;32.99;-27.73;55.54;12.4
UBS 1 GAMA;0001474251;EMULTI - 1 GAMA;13.27;31.76;12.12;139.34;-61.84;-8.67
UBS 02 SAMAMBAIA;0002167204;EMULTI UBS 02 SAM;29.73;25.21;8.97;-15.2;-64.42;-69.83
UBS 9 RESIDENCIAL DO BOSQUE 1 SAO SEBASTIAO;0002068877;EMULTI IPE AMARELO;13.64;14.97;9.3;9.75;-37.88;-31.82
UBS 1 LAGO NORTE;0001670646;EMULTI L. NORTE GRANJA VARJAO;8.52;9.11;27.91;6.92;206.37;227.58
UBS 2 SANTA MARIA;0002244497;EMULTI - 2 SM;16.41;11.63;29.22;-29.13;151.25;78.06
UBS 1 SAO SEBASTIAO;0001668315;EMULTI JACARANDA;7.94;21.38;25.44;169.27;18.99;220.4
UBS 7 CEILANDIA;0001682709;EMULTI 3 UBS 7 CEILANDIA;5.42;9.44;17.81;74.17;88.67;228.6
UBS 01 VICENTE PIRES;0001805827;EMULTI UBS 01 VP;28.1;59.84;32.94;112.95;-44.95;17.22
UBS 05 RIACHO FUNDO II;0002322021;ENASF 01 UBS 05 RF II;25.45;32.76;19.2;28.72;-41.39;-24.56
UBS 2 CEILANDIA;0001676199;EMULTI 1 UBS 2 CEILANDIA;6.03;7.29;25.66;20.9;251.99;325.54
UBS 06 SAMAMBAIA;0002502895;EMULTI UBS 06 SAM;20.2;41.22;30.0;104.06;-27.22;48.51
UBS 05 SAMAMBAIA;0002282631;EMULTI UBS 05 SAM;15.63;20.98;2.61;34.23;-87.56;-83.3
UBS 07 SAMAMBAIA;0001669230;EMULTI UBS 07 SAM;15.09;19.77;26.09;31.01;31.97;72.9
UBS 3 NOVA COLINA SOBRADINHO;0002282402;EMULTI FLORES DO CERRADO;19.41;15.97;7.14;-17.72;-55.29;-63.21
UBS 1 ASA SUL;0002367009;EMULTI ASA SUL;18.28;15.85;17.28;-13.29;9.02;-5.47
UBS 2 ITAPOA;0002352281;EMULTI ESTRATEGICA 1;3.85;41.86;32.14;987.27;-23.22;734.81
UBS 3 PARANOA PARQUE;0001668307;EMULTI CALIANDRA;34.51;48.84;45.69;41.52;-6.45;32.4
UBS 01 RIACHO FUNDO I;0002068516;ENASF 01 - UBS 01 RF I;21.51;9.25;17.97;-57.0;94.27;-16.46
UBS 01 ESTRUTURAL;0001469568;ENASF 01 - UBS 01 ESTRUTURAL;7.55;16.9;31.36;123.84;85.56;315.36
UBS 2 ASA NORTE;0002366991;EMULTI ASA NORTE 2;40.12;7.54;8.81;-81.21;16.84;-78.04
UBS 6 CEILANDIA;0001663933;EMULTI 2 UBS 6 CEILANDIA;25.0;29.46;43.96;17.84;49.22;75.84
UBS 5 SETOR DE MANSOES SOBRADINHO II;0001614592;EMULTI FLOR DE LOTUS;29.02;30.81;38.82;6.17;26.0;33.77
UBS 16 CEILANDIA;0002281481;EMULTI 8 UBS 16 CEILANDIA;15.05;3.45;10.26;-77.08;197.39;-31.83
UBS 3 LOBEIRAL FERCAL;0002282399;EMULTI CALIANDRA;31.67;40.61;9.09;28.23;-77.62;-71.3
UBS 5 PLANALTINA;0000470015;EMULTI CEGONHA;36.64;36.59;31.25;-0.14;-14.59;-14.71
UBS 04 SAMAMBAIA;0002544946;EMULTI UBS 04 SAM;0.0;0.0;15.38;0.0;100.0;100.0
UBS 02 GUARA;0002236494;ENASF 01 UBS 02 GUARA;10.9;1.64;16.88;-84.95;929.27;54.86
UBS 1 PARANOA;0001668293;EMULTI AROEIRA;14.41;16.06;11.49;11.45;-28.46;-20.26
UBS 3 GAMA;0002251477;EMULTI - 3 GAMA;1.98;0.51;2.86;-74.24;460.78;44.44
UBS 02 TAGUATINGA;0002167190;EMULTI UBS 02 TAG;12.09;30.46;20.69;151.94;-32.07;71.13
UBS 01 RIACHO FUNDO II;0000470392;ENASF 01 - UBS 01 RF II;3.8;1.77;3.16;-53.42;78.53;-16.84
UBS 01 GUARA;0001672827;ENASF 01 - UBS 01 GUARA;15.1;15.36;12.94;1.72;-15.76;-14.3
UBS 07 TAGUATINGA;0002385295;EMULTI UBS 07 TAG;37.06;30.71;26.96;-17.13;-12.21;-27.25
UBS 8 CEILANDIA;0001611461;EMULTI 4 UBS 8 CEILANDIA;11.7;20.0;6.8;70.94;-66.0;-41.88
UBS 12 CEILANDIA;0001672045;EMULTI 6 UBS 12 CEILANDIA;1.37;6.82;2.31;397.81;-66.13;68.61
UBS 03 GUARA;0001800205;ENASF 01 - UBS 03 GUARA;7.76;2.37;3.7;-69.46;56.12;-52.32
UBS 03 TAGUATINGA;0001685422;EMULTI UBS 03 TAG;28.89;13.95;13.89;-51.71;-0.43;-51.92
UBS 1 ITAPOA;0000469467;EMULTI PRISMA;42.55;28.81;5.36;-32.29;-81.4;-87.4
UBS 10 CEILANDIA;0001669435;EMULTI 5 UBS 10 CEILANDIA;30.0;21.24;33.33;-29.2;56.92;11.1
UBS 1 BRAZLANDIA;0001511238;EMULTI 7 UBS 1 BRAZLANDIA;17.24;14.93;12.9;-13.4;-13.6;-25.17
UBS 6 GAMA;0000468894;EMULTI - 6 GAMA;18.18;23.75;16.67;30.64;-29.81;-8.31
UBS 2 GAMA;0002533626;EMULTI - 2 GAMA;0.0;32.0;44.21;100.0;38.16;100.0
UBS 2 CRUZEIRO;0002367017;EMULTI CRUZEIRO 1 E 2;12.72;13.73;14.29;7.94;4.08;12.34
UBS 11 SAMAMBAIA;0000470678;EMULTI UBS 11 SAM;19.23;27.59;26.67;43.47;-3.33;38.69
UBS 01 NUCLEO BANDEIRANTE;0001672819;ENASF 01 - UBS 01 NB;4.55;14.75;8.49;224.18;-42.44;86.59
UBS 4 PLANALTINA;0001600737;EMULTI AGAPE;24.21;25.64;23.53;5.91;-8.23;-2.81
UBS 01 AGUAS CLARAS;0001669222;EMULTI UBS 01 AC;16.78;24.07;23.23;43.44;-3.49;38.44
UBS 01 TAGUATINGA;0001669214;EMULTI UBS 01 TAG;11.27;16.41;18.6;45.61;13.35;65.04
UBS 1 ASA NORTE;0002324253;EMULTI ASA NORTE 1 E VILA;27.36;15.56;18.75;-43.13;20.5;-31.47
UBS 02 RECANTO DAS EMAS;0002456451;EMULTI UBS 02 REC;0.0;6.45;3.23;100.0;-49.92;100.0
