RELATÓRIO DE EVOLUÇÃO - Média de atendimentos da eMulti por pessoa
Equipes: eMulti
Competências: ABR/25, AGO/25, DEZ/25

==================================================
RESUMO DAS VARIAÇÕES
==================================================
ABR_25: Média de pontuação = 3.24
AGO_25: Média de pontuação = 3.65
DEZ_25: Média de pontuação = 4.09

% de crescimento entre 2025-04 e 2025-08: 14.14%
% de crescimento entre 2025-08 e 2025-12: 13.79%

Crescimento total médio: 27.94%

==================================================
TOP 5 - MAIOR CRESCIMENTO
==================================================
  EMULTI - 1 GAMA (INE: 0001474251): 198.10%
  EMULTI UBS 04 SAM (INE: 0002544946): 100.00%
  NASF 01 CANDANGOLANDIA (INE: 0002208288): 100.00%
  EMULTI - 2 GAMA (INE: 0002533626): 100.00%
  EMULTI UBS 08 TAG (INE: 0000470759): 86.27%

==================================================
TOP 5 - MENOR CRESCIMENTO
==================================================
  ENASF 01 UBS 05 RF II (INE: 0002322021): -57.94%
  EMULTI 7 UBS 1 BRAZLANDIA (INE: 0001511238): -56.01%
  EMULTI 6 UBS 12 CEILANDIA (INE: 0001672045): -23.85%
  EMULTI 4 UBS 8 CEILANDIA (INE: 0001611461): -15.45%
  EMULTI 2 UBS 6 CEILANDIA (INE: 0001663933): -11.20%


==================================================
DADOS COMPLETOS
==================================================

ESTABELECIMENTO;INE;NOME DA EQUIPE;PONT_ABR_25;PONT_AGO_25;PONT_DEZ_25;VAR_1_2_%;VAR_2_3_%;CRESCIMENTO_TOTAL_%
UBS 05 TAGUATINGA;0000470791;EMULTI UBS 05 TAG;4.18;4.18;3.83;0.0;-8.37;-8.37
UBS 08 TAGUATINGA;0000470759;EMULTI UBS 08 TAG;3.86;4.95;7.19;28.24;45.25;86.27
UBS 01 CANDANGOLANDIA;0002208288;NASF 01 CANDANGOLANDIA;0.0;1.93;3.75;100.0;94.3;100.0
UBS 1 JARDINS MANGUEIRAL;0002303418;EMULTI RUBI;3.7;4.07;4.14;10.0;1.72;11.89
UBS 1 GAMA;0001474251;EMULTI - 1 GAMA;3.68;6.11;10.97;66.03;79.54;198.1
UBS 02 SAMAMBAIA;0002167204;EMULTI UBS 02 SAM;3.51;4.55;4.71;29.63;3.52;34.19
UBS 9 RESIDENCIAL DO BOSQUE 1 SAO SEBASTIAO;0002068877;EMULTI IPE AMARELO;2.34;2.37;2.6;1.28;9.7;11.11
UBS 1 LAGO NORTE;0001670646;EMULTI L. NORTE GRANJA VARJAO;2.18;2.2;2.75;0.92;25.0;26.15
UBS 2 SANTA MARIA;0002244497;EMULTI - 2 SM;2.84;2.97;3.05;4.58;2.69;7.39
UBS 1 SAO SEBASTIAO;0001668315;EMULTI JACARANDA;2.16;1.98;3.04;-8.33;53.54;40.74
UBS 7 CEILANDIA;0001682709;EMULTI 3 UBS 7 CEILANDIA;3.79;3.63;4.01;-4.22;10.47;5.8
UBS 01 VICENTE PIRES;0001805827;EMULTI UBS 01 VP;3.66;3.78;4.6;3.28;21.69;25.68
UBS 05 RIACHO FUNDO II;0002322021;ENASF 01 UBS 05 RF II;5.73;4.47;2.41;-21.99;-46.09;-57.94
UBS 2 CEILANDIA;0001676199;EMULTI 1 UBS 2 CEILANDIA;3.25;2.95;3.67;-9.23;24.41;12.92
UBS 06 SAMAMBAIA;0002502895;EMULTI UBS 06 SAM;3.2;4.42;5.73;38.12;29.64;79.06
UBS 05 SAMAMBAIA;0002282631;EMULTI UBS 05 SAM;2.89;3.27;4.2;13.15;28.44;45.33
UBS 07 SAMAMBAIA;0001669230;EMULTI UBS 07 SAM;3.07;3.94;4.1;28.34;4.06;33.55
UBS 3 NOVA COLINA SOBRADINHO;0002282402;EMULTI FLORES DO CERRADO;2.39;2.53;2.75;5.86;8.7;15.06
UBS 1 ASA SUL;0002367009;EMULTI ASA SUL;3.76;3.83;3.5;1.86;-8.62;-6.91
UBS 2 ITAPOA;0002352281;EMULTI ESTRATEGICA 1;1.34;1.47;1.95;9.7;32.65;45.52
UBS 3 PARANOA PARQUE;0001668307;EMULTI CALIANDRA;2.79;3.13;3.19;12.19;1.92;14.34
UBS 01 RIACHO FUNDO I;0002068516;ENASF 01 - UBS 01 RF I;3.0;3.59;4.1;19.67;14.21;36.67
UBS 01 ESTRUTURAL;0001469568;ENASF 01 - UBS 01 ESTRUTURAL;3.71;3.83;4.31;3.23;12.53;16.17
UBS 2 ASA NORTE;0002366991;EMULTI ASA NORTE 2;2.01;2.5;2.98;24.38;19.2;48.26
UBS 6 CEILANDIA;0001663933;EMULTI 2 UBS 6 CEILANDIA;2.5;2.51;2.22;0.4;-11.55;-11.2
UBS 5 SETOR DE MANSOES SOBRADINHO II;0001614592;EMULTI FLOR DE LOTUS;5.65;5.53;6.14;-2.12;11.03;8.67
UBS 16 CEILANDIA;0002281481;EMULTI 8 UBS 16 CEILANDIA;3.11;3.65;3.88;17.36;6.3;24.76
UBS 3 LOBEIRAL FERCAL;0002282399;EMULTI CALIANDRA;2.93;3.36;3.94;14.68;17.26;34.47
UBS 5 PLANALTINA;0000470015;EMULTI CEGONHA;3.84;4.1;4.27;6.77;4.15;11.2
UBS 04 SAMAMBAIA;0002544946;EMULTI UBS 04 SAM;0.0;0.0;1.0;0.0;100.0;100.0
UBS 02 GUARA;0002236494;ENASF 01 UBS 02 GUARA;2.93;3.34;3.42;13.99;2.4;16.72
UBS 1 PARANOA;0001668293;EMULTI AROEIRA;2.68;3.2;4.86;19.4;51.88;81.34
UBS 3 GAMA;0002251477;EMULTI - 3 GAMA;2.14;2.25;2.06;5.14;-8.44;-3.74
UBS 02 TAGUATINGA;0002167190;EMULTI UBS 02 TAG;3.53;3.39;3.28;-3.97;-3.24;-7.08
UBS 01 RIACHO FUNDO II;0000470392;ENASF 01 - UBS 01 RF II;2.66;2.92;2.73;9.77;-6.51;2.63
UBS 01 GUARA;0001672827;ENASF 01 - UBS 01 GUARA;2.4;2.64;2.91;10.0;10.23;21.25
UBS 07 TAGUATINGA;0002385295;EMULTI UBS 07 TAG;9.95;10.93;12.51;9.85;14.46;25.73
UBS 8 CEILANDIA;0001611461;EMULTI 4 UBS 8 CEILANDIA;6.15;6.32;5.2;2.76;-17.72;-15.45
UBS 12 CEILANDIA;0001672045;EMULTI 6 UBS 12 CEILANDIA;3.27;2.97;2.49;-9.17;-16.16;-23.85
UBS 03 GUARA;0001800205;ENASF 01 - UBS 03 GUARA;2.07;2.08;2.19;0.48;5.29;5.8
UBS 03 TAGUATINGA;0001685422;EMULTI UBS 03 TAG;1.63;2.57;2.73;57.67;6.23;67.48
UBS 1 ITAPOA;0000469467;EMULTI PRISMA;6.34;6.93;6.1;9.31;-11.98;-3.79
UBS 10 CEILANDIA;0001669435;EMULTI 5 UBS 10 CEILANDIA;4.31;4.42;4.32;2.55;-2.26;0.23
UBS 1 BRAZLANDIA;0001511238;EMULTI 7 UBS 1 BRAZLANDIA;3.41;2.25;1.5;-34.02;-33.33;-56.01
UBS 6 GAMA;0000468894;EMULTI - 6 GAMA;1.89;1.81;1.94;-4.23;7.18;2.65
UBS 2 GAMA;0002533626;EMULTI - 2 GAMA;0.0;2.36;3.94;100.0;66.95;100.0
UBS 2 CRUZEIRO;0002367017;EMULTI CRUZEIRO 1 E 2;3.73;3.9;4.74;4.56;21.54;27.08
UBS 11 SAMAMBAIA;0000470678;EMULTI UBS 11 SAM;2.59;3.79;4.67;46.33;23.22;80.31
UBS 01 NUCLEO BANDEIRANTE;0001672819;ENASF 01 - UBS 01 NB;3.59;3.93;3.86;9.47;-1.78;7.52
UBS 4 PLANALTINA;0001600737;EMULTI AGAPE;3.75;3.59;4.48;-4.27;24.79;19.47
UBS 01 AGUAS CLARAS;0001669222;EMULTI UBS 01 AC;4.81;4.75;4.65;-1.25;-2.11;-3.33
UBS 01 TAGUATINGA;0001669214;EMULTI UBS 01 TAG;3.3;3.37;3.79;2.12;12.46;14.85
UBS 1 ASA NORTE;0002324253;EMULTI ASA NORTE 1 E VILA;2.4;2.96;3.03;23.33;2.36;26.25
UBS 02 RECANTO DAS EMAS;0002456451;EMULTI UBS 02 REC;2.28;3.93;4.17;72.37;6.11;82.89
UBS 03 RECANTO DAS EMAS;0001669192;EMULTI UBS 03 REC;5.54;7.1;7.8;28.16;9.86;40.79
