RELATÓRIO DE CRESCIMENTO - 1ª Consulta Odontológica
Equipes: eSB
Competências: ABR/25, AGO/25, DEZ/25

==================================================
RESUMO DAS VARIAÇÕES
==================================================
ABR_25: Média de pontuação = 1.40
AGO_25: Média de pontuação = 0.70
DEZ_25: Média de pontuação = 0.62

% de crescimento entre 2025-04 e 2025-08: -14.52%
% de crescimento entre 2025-08 e 2025-12: 23.02%

Crescimento total médio: -21.40%

==================================================
TOP 5 - MAIOR CRESCIMENTO
==================================================
  ESB 5 SAO SEBASTIAO (INE: 0001910221): 158.82%
  ESB 7 ITAPOA (INE: 0001910051): 100.00%
  ESB 9 SAO SEBASTIAO (INE: 0001910302): 100.00%
  ESB 2 PARANOA PARQUE (INE: 0001909371): 100.00%
  ESB 4 SAO SEBASTIAO (INE: 0001910183): 100.00%

==================================================
TOP 5 - MENOR CRESCIMENTO
==================================================
  ESB 3 PARANOA (INE: 0001905902): -100.00%
  ESB 1 PARANOA PARQUE (INE: 0001906240): -100.00%
  ESB 3 PARANOA PARQUE (INE: 0001909444): -90.70%
  ESB 5 PARANOA (INE: 0001906046): -85.15%
  ESB 2 ITAPOA (INE: 0001909851): -83.77%


==================================================
DADOS COMPLETOS
==================================================

ESTABELECIMENTO;INE;NOME DA EQUIPE;PONT_ABR_25;PONT_AGO_25;PONT_DEZ_25;VAR_1_2_%;VAR_2_3_%;CRESCIMENTO_TOTAL_%
UBS 5 NOVA BETANIA SAO SEBASTIAO;0001910361;ESB NOVA BETANIA SSB;1.28;0.45;0.41;-64.84;-8.89;-67.97
UBS 1 PARANOA;0001905872;ESB 2 PARANOA;0.81;1.2;0.25;48.15;-79.17;-69.14
UBS 04 ITAPOA;0002430835;ESB RUBI;0.0;0.25;0.0;100.0;-100.0;0.0
UBS 4 JARDIM II PARANOA;0002452219;ESB JARDIM II;0.54;0.2;0.28;-62.96;40.0;-48.15
UBS 1 ITAPOA;0001909940;ESB 4 ITAPOA;0.59;0.2;0.21;-66.1;5.0;-64.41
UBS 6 CARIRU PARANOA;0001909584;ESB CARIRU;1.85;1.05;0.9;-43.24;-14.29;-51.35
UBS 1 ITAPOA;0001909827;ESB 1 ITAPOA;4.06;1.81;0.91;-55.42;-49.72;-77.59
UBS 3 PARANOA PARQUE;0002502917;ESB 4 PARANOA PARQUE;1.54;0.84;0.79;-45.45;-5.95;-48.7
UBS 1 SAO SEBASTIAO;0001910302;ESB 9 SAO SEBASTIAO;0.0;0.0;0.32;0.0;100.0;100.0
UBS 2 QUADRA 18 PARANOA;0001906135;ESB QD 18 PAR;0.85;0.65;0.52;-23.53;-20.0;-38.82
UBS 1 PARANOA;0001905953;ESB 4 PARANOA;1.28;1.32;1.39;3.13;5.3;8.59
UBS 1 PARANOA;0001905716;ESB 1 PARANOA;1.63;1.05;1.38;-35.58;31.43;-15.34
