RELATÓRIO DE EVOLUÇÃO - 1ª Consulta Odontológica
Equipes: eSB
Competências: ABR/25, AGO/25, DEZ/25

==================================================
RESUMO DAS VARIAÇÕES
==================================================
ABR_25: Média de pontuação = 1.03
AGO_25: Média de pontuação = 0.88
DEZ_25: Média de pontuação = 0.59

% de crescimento entre 2025-04 e 2025-08: 21.44%
% de crescimento entre 2025-08 e 2025-12: 3.48%

Crescimento total médio: -4.12%

==================================================
TOP 5 - MAIOR CRESCIMENTO
==================================================
  0540/00 (INE: 0001879588): 927.78%
  0027/40 (INE: 0002125366): 804.55%
  ESB ERVA-DOCE (INE: 0002062836): 745.10%
  ESB 16 (INE: 0002018772): 518.18%
  ESB 30 (INE: 0002019051): 496.43%

==================================================
TOP 5 - MENOR CRESCIMENTO
==================================================
  ESB ALEGRIA (INE: 0002386887): -100.00%
  ESB 01 - UBS 10 REC (INE: 0001924931): -100.00%
  ESB 12 (INE: 0002018683): -100.00%
  ESB 02 - UBS 02 SAM (INE: 0001923692): -100.00%
  ESB 04 - UBS 02 TAG (INE: 0002064030): -100.00%


==================================================
DADOS COMPLETOS
==================================================

ESTABELECIMENTO;INE;NOME DA EQUIPE;PONT_ABR_25;PONT_AGO_25;PONT_DEZ_25;VAR_1_2_%;VAR_2_3_%;CRESCIMENTO_TOTAL_%
UBS 3 ITAPOA;0001910051;ESB 7 ITAPOA;0.0;0.58;0.27;100.0;-53.45;100.0
UBS 2 PLANALTINA;0002062895;ESB ORQUIDEA;0.46;2.51;0.51;445.65;-79.68;10.87
UBS 6 CEILANDIA;0002018934;ESB 20;1.12;0.79;0.82;-29.46;3.8;-26.79
UBS 03 RECANTO DAS EMAS;0001925326;ESB 03 - UBS 03 REC;2.68;2.52;2.82;-5.97;11.9;5.22
UBS 11 PONTE ALTA NORTE GAMA;0001881019;1208/50;0.43;0.0;0.56;-100.0;100.0;30.23
UBS 03 SAMAMBAIA;0002064219;ESB 02 - UBS 03 SAM;0.0;0.0;0.0;0.0;0.0;0.0
UBS 02 GUARA;0002117371;ESB 01 UBS 02 GUARA;1.05;0.0;0.95;-100.0;100.0;-9.52
UBS 1 ASA SUL;0002291142;ESB VERMELHA;1.37;0.0;0.0;-100.0;0.0;-100.0
UBS 7 CAFE SEM TROCO PARANOA;0001909746;ESB CAFE SEM TROCO;2.23;0.27;0.62;-87.89;129.63;-72.2
UBS 01 AGUAS CLARAS;0001917994;ESB 01 - UBS 01 AC;0.55;1.17;0.69;112.73;-41.03;25.45
UBS 2 CRUZEIRO;0002516853;ESB GIRASSOL;0.0;2.49;0.28;100.0;-88.76;100.0
UBS 14 CONDOMINIO PRIVE CEILANDIA;0002019175;ESB 37;1.37;2.58;1.22;88.32;-52.71;-10.95
UBS 5 GAMA;0002256800;1232/68;0.81;1.19;0.15;46.91;-87.39;-81.48
