RELATÓRIO DE CRESCIMENTO - Escovação Supervisionada
Equipes: eSB
Competências: ABR/25, AGO/25, DEZ/25

==================================================
RESUMO DAS VARIAÇÕES
==================================================
ABR_25: Média de pontuação = 0.41
AGO_25: Média de pontuação = 0.00
DEZ_25: Média de pontuação = 0.15

% de crescimento entre 2025-04 e 2025-08: -5.56%
% de crescimento entre 2025-08 e 2025-12: 5.56%

Crescimento total médio: 0.00%

==================================================
TOP 5 - MAIOR CRESCIMENTO
==================================================
  ESB 4 SAO SEBASTIAO (INE: 0001910183): 100.00%
  ESB 1 ITAPOA (INE: 0001909827): 100.00%
  ESB NOVA BETANIA SSB (INE: 0001910361): 0.00%
  ESB PADDF (INE: 0001909797): 0.00%
  ESB 3 PARANOA (INE: 0001905902): 0.00%

==================================================
TOP 5 - MENOR CRESCIMENTO
==================================================
  ESB 3 SAO SEBASTIAO (INE: 0001910167): -100.00%
  ESB 1 PARANOA PARQUE (INE: 0001906240): -100.00%
  ESB 7 ITAPOA (INE: 0001910051): 0.00%
  ESB OESTE SSB (INE: 0001910345): 0.00%
  ESB CAFE SEM TROCO (INE: 0001909746): 0.00%


==================================================
DADOS COMPLETOS
==================================================

ESTABELECIMENTO;INE;NOME DA EQUIPE;PONT_ABR_25;PONT_AGO_25;PONT_DEZ_25;VAR_1_2_%;VAR_2_3_%;CRESCIMENTO_TOTAL_%
UBS 5 NOVA BETANIA SAO SEBASTIAO;0001910361;ESB NOVA BETANIA SSB;0.0;0.0;0.0;0.0;0.0;0.0
UBS 1 PARANOA;0001905872;ESB 2 PARANOA;0.0;0.0;0.0;0.0;0.0;0.0
UBS 04 ITAPOA;0002430835;ESB RUBI;0.0;0.0;0.0;0.0;0.0;0.0
UBS 4 JARDIM II PARANOA;0002452219;ESB JARDIM II;0.0;0.0;0.0;0.0;0.0;0.0
UBS 1 ITAPOA;0001909940;ESB 4 ITAPOA;0.0;0.0;0.0;0.0;0.0;0.0
UBS 6 CARIRU PARANOA;0001909584;ESB CARIRU;0.0;0.0;0.0;0.0;0.0;0.0
UBS 1 ITAPOA;0001909827;ESB 1 ITAPOA;0.0;0.0;4.17;0.0;100.0;100.0
UBS 3 PARANOA PARQUE;0002502917;ESB 4 PARANOA PARQUE;0.0;0.0;0.0;0.0;0.0;0.0
UBS 1 SAO SEBASTIAO;0001910302;ESB 9 SAO SEBASTIAO;0.0;0.0;0.0;0.0;0.0;0.0
UBS 2 QUADRA 18 PARANOA;0001906135;ESB QD 18 PAR;0.0;0.0;0.0;0.0;0.0;0.0
UBS 1 PARANOA;0001905953;ESB 4 PARANOA;0.0;0.0;0.0;0.0;0.0;0.0
UBS 1 PARANOA;0001905716;ESB 1 PARANOA;0.0;0.0;0.0;0.0;0.0;0.0
