RELATÓRIO DE EVOLUÇÃO - Escovação Supervisionada
Equipes: eSB
Competências: ABR/25, AGO/25, DEZ/25

==================================================
RESUMO DAS VARIAÇÕES
==================================================
ABR_25: Média de pontuação = 1.15
AGO_25: Média de pontuação = 3.80
DEZ_25: Média de pontuação = 0.37

% de crescimento entre 2025-04 e 2025-08: 7.63%
% de crescimento entre 2025-08 e 2025-12: -6.92%

Crescimento total médio: -5.35%

==================================================
TOP 5 - MAIOR CRESCIMENTO
==================================================
  1220/56 (INE: 0002167697): 100.00%
  ESB 56 (INE: 0002272881): 100.00%
  ESB 14 (INE: 0002018721): 100.00%
  ESB 1 ITAPOA (INE: 0001909827): 100.00%
  ESB 4 SAO SEBASTIAO (INE: 0001910183): 100.00%

==================================================
TOP 5 - MENOR CRESCIMENTO
==================================================
  ESB 01 - UBS 07 SAM (INE: 0001924508): -100.00%
  ESB LARANJA (INE: 0002203022): -100.00%
  ESB 01 - UBS 02 AC (INE: 0002064146): -100.00%
  ESB 02 UBS 01 ESTRUTURAL (INE: 0002117622): -100.00%
  ESB 05 - UBS 03 REC (INE: 0001925504): -100.00%


==================================================
DADOS COMPLETOS
==================================================

ESTABELECIMENTO;INE;NOME DA EQUIPE;PONT_ABR_25;PONT_AGO_25;PONT_DEZ_25;VAR_1_2_%;VAR_2_3_%;CRESCIMENTO_TOTAL_%
UBS 3 ITAPOA;0001910051;ESB 7 ITAPOA;0.0;0.0;0.0;0.0;0.0;0.0
UBS 2 PLANALTINA;0002062895;ESB ORQUIDEA;0.0;0.0;0.0;0.0;0.0;0.0
UBS 6 CEILANDIA;0002018934;ESB 20;0.0;0.0;0.0;0.0;0.0;0.0
UBS 03 RECANTO DAS EMAS;0001925326;ESB 03 - UBS 03 REC;0.0;364.29;0.0;100.0;-100.0;0.0
UBS 11 PONTE ALTA NORTE GAMA;0001881019;1208/50;0.0;0.0;0.0;0.0;0.0;0.0
UBS 03 SAMAMBAIA;0002064219;ESB 02 - UBS 03 SAM;0.0;0.0;0.0;0.0;0.0;0.0
UBS 02 GUARA;0002117371;ESB 01 UBS 02 GUARA;0.0;0.0;0.0;0.0;0.0;0.0
UBS 1 ASA SUL;0002291142;ESB VERMELHA;0.0;0.0;0.0;0.0;0.0;0.0
UBS 7 CAFE SEM TROCO PARANOA;0001909746;ESB CAFE SEM TROCO;0.0;0.0;0.0;0.0;0.0;0.0
UBS 01 AGUAS CLARAS;0001917994;ESB 01 - UBS 01 AC;0.0;0.0;0.0;0.0;0.0;0.0
UBS 2 CRUZEIRO;0002516853;ESB GIRASSOL;0.0;0.0;0.0;0.0;0.0;0.0
UBS 14 CONDOMINIO PRIVE CEILANDIA;0002019175;ESB 37;0.0;0.0;0.0;0.0;0.0;0.0
UBS 5 GAMA;0002256800;1232/68;0.0;0.0;0.0;0.0;0.0;0.0
UBS 5 QUEBRADA DOS NERES;0001909568;ESB QUEBRADA DOS NERES PAR;0.0;0.0;0.0;0.0;0.0;0.0
UBS 01 RECANTO DAS EMAS;0002064324;ESB 02 - UBS 01 REC;0.0;0.0;0.0;0.0;0.0;0.0
UBS 02 ESTRUTURAL;0002117673;ESB 01 UBS 02 ESTRUTURAL;0.0;0.0;0.0;0.0;0.0;0.0
UBS 02 TAGUATINGA;0002064022;ESB 03 - UBS 02 TAG;0.0;0.0;0.0;0.0;0.0;0.0
UBS 08 TAGUATINGA;0001923617;ESB 01 - UBS 08 TAG;0.0;0.0;0.0;0.0;0.0;0.0
UBS 01 ESTRUTURAL;0002117649;ESB 04 UBS 01 ESTRUTURAL;0.0;0.0;0.0;0.0;0.0;0.0
UBS 1 PARANOA;0001905953;ESB 4 PARANOA;0.0;0.0;0.0;0.0;0.0;0.0
UBS 03 RECANTO DAS EMAS;0001925083;ESB 01 - UBS 03 REC;0.0;0.0;0.0;0.0;0.0;0.0
UBS 2 SOBRADINHO II;0002062801;ESB LIRIO;0.0;0.0;0.0;0.0;0.0;0.0
UBS 5 PLANALTINA;0002063042;ESB TUCANO - PL;0.0;0.0;0.0;0.0;0.0;0.0
UBS 04 ITAPOA;0002430835;ESB RUBI;0.0;0.0;0.0;0.0;0.0;0.0
UBS 07 SAMAMBAIA;0001924605;ESB 04 - UBS 07 SAM;0.0;0.0;0.0;0.0;0.0;0.0
UBS 2 SANTA MARIA;0001879650;0550/01;0.0;0.0;0.0;0.0;0.0;0.0
UBS 03 TAGUATINGA;0001923412;ESB 01 - UBS 03 TAG;0.0;0.0;0.0;0.0;0.0;0.0
UBS 13 BOA ESPERANCA CEILANDIA;0002019140;ESB 36;0.0;0.0;0.0;0.0;0.0;0.0
UBS 02 SAMAMBAIA;0002064162;ESB 04 - UBS 02 SAM;0.0;0.0;0.0;0.0;0.0;0.0
UBS 01 CANDANGOLANDIA;0002117762;ESB 01 UBS 01 CANDANGOLANDIA;0.0;0.0;0.0;0.0;0.0;0.0
UBS 3 RESIDENCIAL OESTE SAO SEBASTIAO;0001910345;ESB OESTE SSB;0.0;0.0;0.0;0.0;0.0;0.0
UBS 12 SAMAMBAIA;0002064308;ESB 05 - UBS 12 SAM;0.0;0.0;0.0;0.0;0.0;0.0
UBS 02 RECANTO DAS EMAS;0002064340;ESB 02 - UBS 02 REC;0.0;0.0;0.0;0.0;0.0;0.0
UBS 2 SOBRADINHO;0002062615;ESB ONIX;0.0;0.0;0.0;0.0;0.0;0.0
UBS 05 TAGUATINGA;0002064049;ESB 03 - UBS 05 TAG;0.0;0.0;0.0;0.0;0.0;0.0
UBS 12 SAMAMBAIA;0001924869;ESB 04 - UBS 12 SAM;0.0;0.0;0.0;0.0;0.0;0.0
UBS 3 CEILANDIA;0002018721;ESB 14;0.0;0.0;6.45;0.0;100.0;100.0
UBS 05 TAGUATINGA;0001923471;ESB 01 - UBS 05 TAG;84.62;0.0;0.0;-100.0;0.0;-100.0
UBS 1 LAGO SUL;0002452103;ESB LAGO SUL;0.0;0.0;0.0;0.0;0.0;0.0
UBS 05 RECANTO DAS EMAS;0002456427;ESB 02 - UBS 05 REC;0.0;0.0;0.0;0.0;0.0;0.0
UBS 2 SANTA MARIA;0001879588;0540/00;0.0;0.0;0.0;0.0;0.0;0.0
UBS 1 ITAPOA;0001909991;ESB 5 ITAPOA;0.0;0.0;0.0;0.0;0.0;0.0
UBS 3 PARANOA PARQUE;0001909371;ESB 2 PARANOA PARQUE;0.0;0.0;0.0;0.0;0.0;0.0
UBS 01 VICENTE PIRES;0002064103;ESB 02 - UBS 01 VP;0.0;0.0;0.0;0.0;0.0;0.0
UBS 2 CRUZEIRO;0002203138;ESB LIRIO;0.0;0.0;0.0;0.0;0.0;0.0
UBS 1 SANTA MARIA;0001879731;0552/33;0.0;0.0;0.0;0.0;0.0;0.0
UBS 05 SAMAMBAIA;0001924273;ESB 01 - UBS 05 SAM;0.0;0.0;0.0;0.0;0.0;0.0
UBS 3 PARANOA PARQUE;0002502917;ESB 4 PARANOA PARQUE;0.0;0.0;0.0;0.0;0.0;0.0
UBS 7 GAMA;0001880934;1207/49;0.0;0.0;0.0;0.0;0.0;0.0
UBS 01 RIACHO FUNDO I;0002117878;ESB 03 UBS 01 RIACHO FUNDO I;0.0;0.0;0.0;0.0;0.0;0.0
UBS 1 CRUZEIRO;0002203103;ESB ARATICUM;0.0;0.0;0.0;0.0;0.0;0.0
UBS 2 GAMA;0001880128;1200/42;0.0;0.0;0.0;0.0;0.0;0.0
UBS 9 CEILANDIA;0002272792;ESB 48;0.0;0.0;0.0;0.0;0.0;0.0
UBS 6 GAMA;0002452677;1238/74;0.0;0.0;0.0;0.0;0.0;0.0
UBS 3 PARANOA PARQUE;0001906240;ESB 1 PARANOA PARQUE;1.7;0.0;0.0;-100.0;0.0;-100.0
UBS 10 CEILANDIA;0002156288;ESB 44;0.0;0.0;0.0;0.0;0.0;0.0
UBS 01 GUARA;0002117339;ESB 03 UBS 01 GUARA;0.0;0.0;0.0;0.0;0.0;0.0
UBS 8 PADDF PARANOA;0001909797;ESB PADDF;0.0;0.0;0.0;0.0;0.0;0.0
UBS 01 TAGUATINGA;0001918508;ESB 03 - UBS 01 TAG;0.0;0.0;0.0;0.0;0.0;0.0
UBS 8 TORRE DE BRAZLANDIA;0002018586;ESB 6;9.43;0.0;4.65;-100.0;100.0;-50.69
UBS 08 RECANTO DAS EMAS SAO FRANCISCO;0002536943;ESB 01 - UBS 08 REC;0.0;0.0;0.0;0.0;0.0;0.0
UBS 1 ITAPOA;0001909940;ESB 4 ITAPOA;0.0;0.0;0.0;0.0;0.0;0.0
UBS 4 PLANALTINA;0002062925;ESB VALERIANA;0.0;0.0;0.0;0.0;0.0;0.0
UBS 4 PLANALTINA;0002062968;ESB MARCELA;0.0;0.0;0.0;0.0;0.0;0.0
UBS 2 CATINGUEIRO FERCAL;0002062569;ESB BALSAMO;0.0;0.0;0.0;0.0;0.0;0.0
UBS 02 RIACHO FUNDO I;0002117886;ESB 01 UBS 02 RIACHO FUNDO I;0.0;0.0;0.0;0.0;0.0;0.0
