RELATÓRIO DE CRESCIMENTO - Procedimentos Odontológicos preventivos
Equipes: eSB
Competências: ABR/25, AGO/25, DEZ/25

==================================================
RESUMO DAS VARIAÇÕES
==================================================
ABR_25: Média de pontuação = 38.44
AGO_25: Média de pontuação = 46.32
DEZ_25: Média de pontuação = 42.73

% de crescimento entre 2025-04 e 2025-08: 26.48%
% de crescimento entre 2025-08 e 2025-12: -2.47%

Crescimento total médio: 11.87%

==================================================
TOP 5 - MAIOR CRESCIMENTO
==================================================
  ESB 2 ITAPOA (INE: 0001909851): 156.61%
  ESB RUBI (INE: 0002430835): 100.00%
  ESB 2 PARANOA PARQUE (INE: 0001909371): 100.00%
  ESB 9 SAO SEBASTIAO (INE: 0001910302): 100.00%
  ESB JARDIM II (INE: 0002452219): 75.22%

==================================================
TOP 5 - MENOR CRESCIMENTO
==================================================
  ESB 1 PARANOA PARQUE (INE: 0001906240): -100.00%
  ESB 6 SAO SEBASTIAO (INE: 0001910248): -62.41%
  ESB 7 ITAPOA (INE: 0001910051): -30.75%
  ESB PADDF (INE: 0001909797): -30.21%
  ESB 5 ITAPOA (INE: 0001909991): -28.08%


==================================================
DADOS COMPLETOS
==================================================

ESTABELECIMENTO;INE;NOME DA EQUIPE;PONT_ABR_25;PONT_AGO_25;PONT_DEZ_25;VAR_1_2_%;VAR_2_3_%;CRESCIMENTO_TOTAL_%
UBS 5 NOVA BETANIA SAO SEBASTIAO;0001910361;ESB NOVA BETANIA SSB;49.28;56.41;45.05;14.47;-20.14;-8.58
UBS 1 PARANOA;0001905872;ESB 2 PARANOA;90.68;91.55;96.67;0.96;5.59;6.61
UBS 04 ITAPOA;0002430835;ESB RUBI;0.0;0.0;100.0;0.0;100.0;100.0
UBS 4 JARDIM II PARANOA;0002452219;ESB JARDIM II;27.72;22.08;48.57;-20.35;119.97;75.22
UBS 1 ITAPOA;0001909940;ESB 4 ITAPOA;38.75;66.67;38.18;72.05;-42.73;-1.47
UBS 6 CARIRU PARANOA;0001909584;ESB CARIRU;14.61;18.18;15.63;24.44;-14.03;6.98
UBS 1 ITAPOA;0001909827;ESB 1 ITAPOA;35.67;28.05;28.1;-21.36;0.18;-21.22
UBS 3 PARANOA PARQUE;0002502917;ESB 4 PARANOA PARQUE;48.45;47.31;44.74;-2.35;-5.43;-7.66
UBS 1 SAO SEBASTIAO;0001910302;ESB 9 SAO SEBASTIAO;0.0;18.32;27.56;100.0;50.44;100.0
UBS 2 QUADRA 18 PARANOA;0001906135;ESB QD 18 PAR;30.67;31.14;40.21;1.53;29.13;31.11
UBS 1 PARANOA;0001905953;ESB 4 PARANOA;60.25;46.67;69.68;-22.54;49.3;15.65
