RELATÓRIO DE EVOLUÇÃO - Procedimentos Odontológicos preventivos
Equipes: eSB
Competências: ABR/25, AGO/25, DEZ/25

==================================================
RESUMO DAS VARIAÇÕES
==================================================
ABR_25: Média de pontuação = 47.93
AGO_25: Média de pontuação = 47.70
DEZ_25: Média de pontuação = 46.35

% de crescimento entre 2025-04 e 2025-08: 9.79%
% de crescimento entre 2025-08 e 2025-12: 8.86%

Crescimento total médio: 9.03%

==================================================
TOP 5 - MAIOR CRESCIMENTO
==================================================
  ESB 05 - UBS 02 TAG (INE: 0002456397): 613.08%
  ESB 01 - UBS 06 TAG (INE: 0001923544): 605.66%
  ESB AMIZADE (INE: 0002203081): 275.38%
  ESB 02 - UBS 05 SAM (INE: 0002064243): 246.64%
  ESB 01 - UBS 02 TAG (INE: 0001918621): 174.06%

==================================================
TOP 5 - MENOR CRESCIMENTO
==================================================
  ESB 02 - UBS 03 REC (INE: 0001925172): -100.00%
  ESB CRISTAL (INE: 0002062666): -100.00%
  ESB 01 - UBS 12 SAM (INE: 0001924753): -100.00%
  ESB 03 UBS 02 GUARA (INE: 0002117479): -100.00%
  ESB DELTA (INE: 0002447584): -100.00%


==================================================
DADOS COMPLETOS
==================================================

ESTABELECIMENTO;INE;NOME DA EQUIPE;PONT_ABR_25;PONT_AGO_25;PONT_DEZ_25;VAR_1_2_%;VAR_2_3_%;CRESCIMENTO_TOTAL_%
UBS 3 ITAPOA;0001910051;ESB 7 ITAPOA;75.25;52.74;52.11;-29.91;-1.19;-30.75
UBS 2 PLANALTINA;0002062895;ESB ORQUIDEA;48.03;75.0;74.19;56.15;-1.08;54.47
UBS 6 CEILANDIA;0002018934;ESB 20;61.58;47.6;63.44;-22.7;33.28;3.02
UBS 03 RECANTO DAS EMAS;0001925326;ESB 03 - UBS 03 REC;57.14;49.81;62.91;-12.83;26.3;10.1
UBS 11 PONTE ALTA NORTE GAMA;0001881019;1208/50;39.77;100.0;47.52;151.45;-52.48;19.49
UBS 03 SAMAMBAIA;0002064219;ESB 02 - UBS 03 SAM;45.0;37.82;45.9;-15.96;21.36;2.0
UBS 02 GUARA;0002117371;ESB 01 UBS 02 GUARA;44.79;0.0;55.36;-100.0;100.0;23.6
UBS 1 ASA SUL;0002291142;ESB VERMELHA;39.66;100.0;56.06;152.14;-43.94;41.35
UBS 7 CAFE SEM TROCO PARANOA;0001909746;ESB CAFE SEM TROCO;62.71;94.44;49.38;50.6;-47.71;-21.26
UBS 01 AGUAS CLARAS;0001917994;ESB 01 - UBS 01 AC;39.53;32.42;44.44;-17.99;37.08;12.42
UBS 2 CRUZEIRO;0002516853;ESB GIRASSOL;0.0;50.65;51.95;100.0;2.57;100.0
UBS 14 CONDOMINIO PRIVE CEILANDIA;0002019175;ESB 37;54.34;55.35;57.31;1.86;3.54;5.47
UBS 5 GAMA;0002256800;1232/68;72.22;61.9;37.21;-14.29;-39.89;-48.48
UBS 5 QUEBRADA DOS NERES;0001909568;ESB QUEBRADA DOS NERES PAR;54.24;100.0;44.92;84.37;-55.08;-17.18
UBS 01 RECANTO DAS EMAS;0002064324;ESB 02 - UBS 01 REC;0.0;47.66;45.95;100.0;-3.59;100.0
UBS 02 ESTRUTURAL;0002117673;ESB 01 UBS 02 ESTRUTURAL;57.63;49.52;42.34;-14.07;-14.5;-26.53
UBS 02 TAGUATINGA;0002064022;ESB 03 - UBS 02 TAG;47.06;100.0;0.0;112.49;-100.0;-100.0
UBS 08 TAGUATINGA;0001923617;ESB 01 - UBS 08 TAG;12.04;34.78;32.06;188.87;-7.82;166.28
UBS 01 ESTRUTURAL;0002117649;ESB 04 UBS 01 ESTRUTURAL;37.5;61.54;65.85;64.11;7.0;75.6
UBS 1 PARANOA;0001905953;ESB 4 PARANOA;60.25;46.67;69.68;-22.54;49.3;15.65
UBS 03 RECANTO DAS EMAS;0001925083;ESB 01 - UBS 03 REC;57.79;48.37;60.26;-16.3;24.58;4.27
UBS 2 SOBRADINHO II;0002062801;ESB LIRIO;25.06;0.0;26.32;-100.0;100.0;5.03
UBS 5 PLANALTINA;0002063042;ESB TUCANO - PL;47.06;35.32;35.08;-24.95;-0.68;-25.46
UBS 04 ITAPOA;0002430835;ESB RUBI;0.0;0.0;100.0;0.0;100.0;100.0
UBS 07 SAMAMBAIA;0001924605;ESB 04 - UBS 07 SAM;0.0;25.53;20.24;100.0;-20.72;100.0
UBS 2 SANTA MARIA;0001879650;0550/01;67.26;63.36;73.58;-5.8;16.13;9.4
UBS 03 TAGUATINGA;0001923412;ESB 01 - UBS 03 TAG;47.19;0.0;30.43;-100.0;100.0;-35.52
UBS 13 BOA ESPERANCA CEILANDIA;0002019140;ESB 36;71.22;100.0;70.18;40.41;-29.82;-1.46
UBS 02 SAMAMBAIA;0002064162;ESB 04 - UBS 02 SAM;40.29;11.7;25.0;-70.96;113.68;-37.95
UBS 01 CANDANGOLANDIA;0002117762;ESB 01 UBS 01 CANDANGOLANDIA;34.55;34.43;33.33;-0.35;-3.19;-3.53
UBS 3 RESIDENCIAL OESTE SAO SEBASTIAO;0001910345;ESB OESTE SSB;0.0;0.0;0.0;0.0;0.0;0.0
UBS 12 SAMAMBAIA;0002064308;ESB 05 - UBS 12 SAM;47.73;50.33;48.35;5.45;-3.93;1.3
UBS 02 RECANTO DAS EMAS;0002064340;ESB 02 - UBS 02 REC;29.05;0.0;26.21;-100.0;100.0;-9.78
UBS 2 SOBRADINHO;0002062615;ESB ONIX;53.26;49.9;47.41;-6.31;-4.99;-10.98
UBS 05 TAGUATINGA;0002064049;ESB 03 - UBS 05 TAG;39.86;100.0;96.3;150.88;-3.7;141.6
UBS 12 SAMAMBAIA;0001924869;ESB 04 - UBS 12 SAM;45.73;42.31;12.2;-7.48;-71.17;-73.32
UBS 3 CEILANDIA;0002018721;ESB 14;53.22;48.53;47.92;-8.81;-1.26;-9.96
UBS 05 TAGUATINGA;0001923471;ESB 01 - UBS 05 TAG;17.11;19.33;0.0;12.97;-100.0;-100.0
UBS 1 LAGO SUL;0002452103;ESB LAGO SUL;54.3;43.71;48.5;-19.5;10.96;-10.68
UBS 05 RECANTO DAS EMAS;0002456427;ESB 02 - UBS 05 REC;35.6;36.97;35.71;3.85;-3.41;0.31
UBS 2 SANTA MARIA;0001879588;0540/00;44.85;5.71;11.39;-87.27;99.47;-74.6
UBS 1 ITAPOA;0001909991;ESB 5 ITAPOA;27.42;26.12;19.72;-4.74;-24.5;-28.08
UBS 3 PARANOA PARQUE;0001909371;ESB 2 PARANOA PARQUE;0.0;57.14;43.57;100.0;-23.75;100.0
UBS 01 VICENTE PIRES;0002064103;ESB 02 - UBS 01 VP;61.6;51.27;44.66;-16.77;-12.89;-27.5
UBS 2 CRUZEIRO;0002203138;ESB LIRIO;66.35;100.0;69.23;50.72;-30.77;4.34
UBS 1 SANTA MARIA;0001879731;0552/33;76.88;62.0;65.37;-19.35;5.44;-14.97
UBS 05 SAMAMBAIA;0001924273;ESB 01 - UBS 05 SAM;21.74;24.39;26.32;12.19;7.91;21.07
UBS 3 PARANOA PARQUE;0002502917;ESB 4 PARANOA PARQUE;48.45;47.31;44.74;-2.35;-5.43;-7.66
UBS 7 GAMA;0001880934;1207/49;51.92;66.99;43.93;29.03;-34.42;-15.39
UBS 01 RIACHO FUNDO I;0002117878;ESB 03 UBS 01 RIACHO FUNDO I;100.0;100.0;44.97;0.0;-55.03;-55.03
UBS 1 CRUZEIRO;0002203103;ESB ARATICUM;55.05;56.33;42.37;2.33;-24.78;-23.03
UBS 2 GAMA;0001880128;1200/42;72.97;100.0;100.0;37.04;0.0;37.04
UBS 9 CEILANDIA;0002272792;ESB 48;39.47;29.41;50.0;-25.49;70.01;26.68
UBS 6 GAMA;0002452677;1238/74;88.1;82.66;87.18;-6.17;5.47;-1.04
UBS 3 PARANOA PARQUE;0001906240;ESB 1 PARANOA PARQUE;41.79;100.0;0.0;139.29;-100.0;-100.0
UBS 10 CEILANDIA;0002156288;ESB 44;58.2;54.29;57.1;-6.72;5.18;-1.89
UBS 01 GUARA;0002117339;ESB 03 UBS 01 GUARA;32.93;30.51;56.92;-7.35;86.56;72.85
UBS 8 PADDF PARANOA;0001909797;ESB PADDF;17.91;17.56;12.5;-1.95;-28.82;-30.21
UBS 01 TAGUATINGA;0001918508;ESB 03 - UBS 01 TAG;96.15;84.18;98.95;-12.45;17.55;2.91
UBS 8 TORRE DE BRAZLANDIA;0002018586;ESB 6;58.72;69.0;57.73;17.51;-16.33;-1.69
UBS 08 RECANTO DAS EMAS SAO FRANCISCO;0002536943;ESB 01 - UBS 08 REC;0.0;0.0;0.0;0.0;0.0;0.0
UBS 1 ITAPOA;0001909940;ESB 4 ITAPOA;38.75;66.67;38.18;72.05;-42.73;-1.47
UBS 4 PLANALTINA;0002062925;ESB VALERIANA;85.71;82.07;77.36;-4.25;-5.74;-9.74
UBS 4 PLANALTINA;0002062968;ESB MARCELA;73.82;55.34;91.62;-25.03;65.56;24.11
UBS 2 CATINGUEIRO FERCAL;0002062569;ESB BALSAMO;100.0;51.94;52.05;-48.06;0.21;-47.95
UBS 02 RIACHO FUNDO I;0002117886;ESB 01 UBS 02 RIACHO FUNDO I;38.02;43.67;38.41;14.86;-12.04;1.03
UBS 04 GUARA;0002171708;ESB 01 UBS 04 GUARA;47.23;42.31;52.91;-10.42;25.05;12.03
UBS 01 ESTRUTURAL;0002117606;ESB 01 UBS 01 ESTRUTURAL;23.35;0.0;0.0;-100.0;0.0;-100.0
UBS 1 ASA SUL;0002203049;ESB ROSA;70.39;53.63;73.21;-23.81;36.51;4.01
UBS 12 SAMAMBAIA;0001924796;ESB 02 - UBS 12 SAM;54.3;61.62;68.18;13.48;10.65;25.56
UBS 7 CEILANDIA;0002018969;ESB 23;34.93;37.93;36.36;8.59;-4.14;4.09
UBS 07 SAMAMBAIA;0001924540;ESB 02 - UBS 07 SAM;52.12;52.48;45.81;0.69;-12.71;-12.11
UBS 04 RECANTO DAS EMAS;0001925733;ESB 03 - UBS 04 REC;23.08;30.28;19.05;31.2;-37.09;-17.46
UBS 9 RESIDENCIAL DO BOSQUE 1 SAO SEBASTIAO;0001910485;ESB BOSQUE 1 SSB;51.15;50.0;45.99;-2.25;-8.02;-10.09
UBS 17 JARDIM MORUMBI PLANALTINA;0002063085;ESB JARDIM MORUMBI;62.63;50.0;65.18;-20.17;30.36;4.07
UBS 01 RIACHO FUNDO II;0002117908;ESB 03 UBS 01 RIACHO FUNDO II;52.0;26.32;58.76;-49.38;123.25;13.0
UBS 2 SOBRADINHO;0002062658;ESB OPALA;16.78;15.31;10.53;-8.76;-31.22;-37.25
UBS 01 TAGUATINGA;0001918389;ESB 01 - UBS 01 TAG;57.69;47.62;32.21;-17.46;-32.36;-44.17
UBS 1 JARDINS MANGUEIRAL;0001910264;ESB 2 JARDINS MANGUEIRAL;32.26;44.14;53.85;36.83;22.0;66.92
UBS 5 BASEVI SOBRADINHO;0002062712;ESB BASEVI;21.05;56.46;56.36;168.22;-0.18;167.74
UBS 03 SAMAMBAIA;0001923803;ESB 01 - UBS 03 SAM;35.97;29.31;29.71;-18.52;1.36;-17.4
UBS 02 TAGUATINGA;0002064030;ESB 04 - UBS 02 TAG;36.78;39.73;0.0;8.02;-100.0;-100.0
