RELATÓRIO DE CRESCIMENTO - Taxa de exodontias
Equipes: eSB
Competências: ABR/25, AGO/25, DEZ/25

==================================================
RESUMO DAS VARIAÇÕES
==================================================
ABR_25: Média de pontuação = 6.12
AGO_25: Média de pontuação = 7.88
DEZ_25: Média de pontuação = 5.96

% de crescimento entre 2025-04 e 2025-08: 18.89%
% de crescimento entre 2025-08 e 2025-12: -1.68%

Crescimento total médio: 32.51%

==================================================
TOP 5 - MAIOR CRESCIMENTO
==================================================
  ESB 3 PARANOA PARQUE (INE: 0001909444): 557.23%
  ESB 5 PARANOA (INE: 0001906046): 367.29%
  ESB 1 PARANOA (INE: 0001905716): 340.69%
  ESB NOVA BETANIA SSB (INE: 0001910361): 236.00%
  ESB 4 ITAPOA (INE: 0001909940): 108.68%

==================================================
TOP 5 - MENOR CRESCIMENTO
==================================================
  ESB 1 PARANOA PARQUE (INE: 0001906240): -100.00%
  ESB JARDIM II (INE: 0002452219): -100.00%
  ESB QD 18 PAR (INE: 0001906135): -100.00%
  ESB 1 JARDINS MANGUEIRAL (INE: 0001910280): -88.87%
  ESB 1 ITAPOA (INE: 0001909827): -78.68%


==================================================
DADOS COMPLETOS
==================================================

ESTABELECIMENTO;INE;NOME DA EQUIPE;PONT_ABR_25;PONT_AGO_25;PONT_DEZ_25;VAR_1_2_%;VAR_2_3_%;CRESCIMENTO_TOTAL_%
UBS 5 NOVA BETANIA SAO SEBASTIAO;0001910361;ESB NOVA BETANIA SSB;1.75;0.0;5.88;-100.0;100.0;236.0
UBS 1 PARANOA;0001905872;ESB 2 PARANOA;0.0;0.0;0.0;0.0;0.0;0.0
UBS 04 ITAPOA;0002430835;ESB RUBI;0.0;0.0;0.0;0.0;0.0;0.0
UBS 4 JARDIM II PARANOA;0002452219;ESB JARDIM II;6.1;2.4;0.0;-60.66;-100.0;-100.0
UBS 1 ITAPOA;0001909940;ESB 4 ITAPOA;8.18;9.52;17.07;16.38;79.31;108.68
UBS 6 CARIRU PARANOA;0001909584;ESB CARIRU;8.54;10.53;6.67;23.3;-36.66;-21.9
UBS 1 ITAPOA;0001909827;ESB 1 ITAPOA;7.74;4.2;1.65;-45.74;-60.71;-78.68
UBS 3 PARANOA PARQUE;0002502917;ESB 4 PARANOA PARQUE;5.79;2.58;1.66;-55.44;-35.66;-71.33
UBS 1 SAO SEBASTIAO;0001910302;ESB 9 SAO SEBASTIAO;0.0;9.65;9.05;100.0;-6.22;100.0
UBS 2 QUADRA 18 PARANOA;0001906135;ESB QD 18 PAR;10.66;28.13;0.0;163.88;-100.0;-100.0
UBS 1 PARANOA;0001905953;ESB 4 PARANOA;13.57;30.33;14.29;123.51;-52.88;5.31
UBS 1 PARANOA;0001905716;ESB 1 PARANOA;4.03;8.7;17.76;115.88;104.14;340.69
UBS 1 PARANOA;0001906046;ESB 5 PARANOA;2.14;0.0;10.0;-100.0;100.0;367.29
UBS 7 CAFE SEM TROCO PARANOA;0001909746;ESB CAFE SEM TROCO;3.79;0.0;3.77;-100.0;100.0;-0.53
UBS 3 RESIDENCIAL OESTE SAO SEBASTIAO;0001910345;ESB OESTE SSB;0.0;0.0;0.0;0.0;0.0;0.0
UBS 1 SAO SEBASTIAO;0001910183;ESB 4 SAO SEBASTIAO;9.3;8.47;3.4;-8.92;-59.86;-63.44
UBS 1 SAO SEBASTIAO;0001910140;ESB 2 SAO SEBASTIAO;4.8;20.41;1.54;325.21;-92.45;-67.92
UBS 1 SAO SEBASTIAO;0001910116;ESB 1 SAO SEBASTIAO;16.1;8.46;3.93;-47.45;-53.55;-75.59
UBS 1 ITAPOA;0001909991;ESB 5 ITAPOA;5.15;4.37;4.26;-15.15;-2.52;-17.28
UBS 2 ITAPOA;0001910035;ESB 6 ITAPOA;4.73;8.56;6.7;80.97;-21.73;41.65
UBS 1 PARANOA;0001905902;ESB 3 PARANOA;7.55;14.0;12.9;85.43;-7.86;70.86
UBS 1 ITAPOA;0001909851;ESB 2 ITAPOA;20.62;11.61;7.43;-43.7;-36.0;-63.97
UBS 1 SAO SEBASTIAO;0001910248;ESB 6 SAO SEBASTIAO;0.0;0.0;12.99;0.0;100.0;100.0
UBS 3 PARANOA PARQUE;0001906240;ESB 1 PARANOA PARQUE;3.23;0.0;0.0;-100.0;0.0;-100.0
UBS 3 ITAPOA;0001910086;ESB 8 ITAPOA;0.0;2.5;3.85;100.0;54.0;100.0
UBS 3 PARANOA PARQUE;0001909371;ESB 2 PARANOA PARQUE;0.0;25.0;7.14;100.0;-71.44;100.0
UBS 8 PADDF PARANOA;0001909797;ESB PADDF;16.42;14.5;8.33;-11.69;-42.55;-49.27
UBS 2 ITAPOA;0002430843;ESB ESMERALDA;0.0;0.0;0.0;0.0;0.0;0.0
UBS 3 PARANOA PARQUE;0001909444;ESB 3 PARANOA PARQUE;1.59;4.3;10.45;170.44;143.02;557.23
UBS 1 SAO SEBASTIAO;0001910221;ESB 5 SAO SEBASTIAO;27.2;25.64;20.63;-5.74;-19.54;-24.15
UBS 9 RESIDENCIAL DO BOSQUE 1 SAO SEBASTIAO;0001910485;ESB BOSQUE 1 SSB;6.58;0.0;3.51;-100.0;100.0;-46.66
UBS 1 JARDINS MANGUEIRAL;0001910264;ESB 2 JARDINS MANGUEIRAL;0.0;1.03;0.0;100.0;-100.0;0.0
UBS 5 QUEBRADA DOS NERES;0001909568;ESB QUEBRADA DOS NERES PAR;11.54;0.0;12.12;-100.0;100.0;5.03
UBS 1 SAO SEBASTIAO;0001910167;ESB 3 SAO SEBASTIAO;6.49;4.72;6.95;-27.27;47.25;7.09
UBS 1 JARDINS MANGUEIRAL;0001910280;ESB 1 JARDINS MANGUEIRAL;6.74;6.52;0.75;-3.26;-88.5;-88.87
UBS 3 ITAPOA;0001910051;ESB 7 ITAPOA;0.0;17.56;0.0;100.0;-100.0;0.0
