RELATÓRIO DE EVOLUÇÃO - Taxa de exodontias
Equipes: eSB
Competências: ABR/25, AGO/25, DEZ/25

==================================================
RESUMO DAS VARIAÇÕES
==================================================
ABR_25: Média de pontuação = 6.01
AGO_25: Média de pontuação = 6.56
DEZ_25: Média de pontuação = 5.68

% de crescimento entre 2025-04 e 2025-08: 40.65%
% de crescimento entre 2025-08 e 2025-12: 38.44%

Crescimento total médio: 35.58%

==================================================
TOP 5 - MAIOR CRESCIMENTO
==================================================
  ESB LIRIO (INE: 0002062801): 1506.67%
  ESB 01 UBS 01 GUARA (INE: 0002117312): 1421.92%
  ESB 02 UBS 01 NB (INE: 0002117703): 698.95%
  ESB 01 UBS 01 NB (INE: 0002117681): 612.90%
  ESB 3 PARANOA PARQUE (INE: 0001909444): 557.23%

==================================================
TOP 5 - MENOR CRESCIMENTO
==================================================
  ESB 02 - UBS 04 SAM (INE: 0001923870): -100.00%
  ESB 46 (INE: 0002272784): -100.00%
  1221/57 (INE: 0002170914): -100.00%
  1205/47 (INE: 0001880489): -100.00%
  ESB 03 UBS 02 GUARA (INE: 0002117479): -100.00%


==================================================
DADOS COMPLETOS
==================================================

ESTABELECIMENTO;INE;NOME DA EQUIPE;PONT_ABR_25;PONT_AGO_25;PONT_DEZ_25;VAR_1_2_%;VAR_2_3_%;CRESCIMENTO_TOTAL_%
UBS 3 ITAPOA;0001910051;ESB 7 ITAPOA;0.0;17.56;0.0;100.0;-100.0;0.0
UBS 2 PLANALTINA;0002062895;ESB ORQUIDEA;18.07;36.84;0.0;103.87;-100.0;-100.0
UBS 6 CEILANDIA;0002018934;ESB 20;5.26;2.72;1.43;-48.29;-47.43;-72.81
UBS 03 RECANTO DAS EMAS;0001925326;ESB 03 - UBS 03 REC;1.86;8.9;5.56;378.49;-37.53;198.92
UBS 11 PONTE ALTA NORTE GAMA;0001881019;1208/50;15.79;0.0;7.32;-100.0;100.0;-53.64
UBS 03 SAMAMBAIA;0002064219;ESB 02 - UBS 03 SAM;11.11;14.29;2.34;28.62;-83.62;-78.94
UBS 02 GUARA;0002117371;ESB 01 UBS 02 GUARA;2.78;0.0;3.48;-100.0;100.0;25.18
UBS 1 ASA SUL;0002291142;ESB VERMELHA;1.68;0.0;0.0;-100.0;0.0;-100.0
UBS 7 CAFE SEM TROCO PARANOA;0001909746;ESB CAFE SEM TROCO;3.79;0.0;3.77;-100.0;100.0;-0.53
UBS 01 AGUAS CLARAS;0001917994;ESB 01 - UBS 01 AC;0.0;2.52;1.92;100.0;-23.81;100.0
UBS 2 CRUZEIRO;0002516853;ESB GIRASSOL;0.0;0.99;0.0;100.0;-100.0;0.0
UBS 14 CONDOMINIO PRIVE CEILANDIA;0002019175;ESB 37;3.93;0.88;3.09;-77.61;251.14;-21.37
UBS 5 GAMA;0002256800;1232/68;50.0;44.44;2.86;-11.12;-93.56;-94.28
UBS 5 QUEBRADA DOS NERES;0001909568;ESB QUEBRADA DOS NERES PAR;11.54;0.0;12.12;-100.0;100.0;5.03
UBS 01 RECANTO DAS EMAS;0002064324;ESB 02 - UBS 01 REC;0.0;30.3;31.34;100.0;3.43;100.0
UBS 02 ESTRUTURAL;0002117673;ESB 01 UBS 02 ESTRUTURAL;6.19;8.64;5.75;39.58;-33.45;-7.11
UBS 02 TAGUATINGA;0002064022;ESB 03 - UBS 02 TAG;0.0;0.0;0.0;0.0;0.0;0.0
UBS 08 TAGUATINGA;0001923617;ESB 01 - UBS 08 TAG;7.07;7.79;6.8;10.18;-12.71;-3.82
UBS 01 ESTRUTURAL;0002117649;ESB 04 UBS 01 ESTRUTURAL;0.0;32.5;6.25;100.0;-80.77;100.0
UBS 1 PARANOA;0001905953;ESB 4 PARANOA;13.57;30.33;14.29;123.51;-52.88;5.31
UBS 03 RECANTO DAS EMAS;0001925083;ESB 01 - UBS 03 REC;0.0;4.05;3.13;100.0;-22.72;100.0
UBS 2 SOBRADINHO II;0002062801;ESB LIRIO;0.3;0.0;4.82;-100.0;100.0;1506.67
UBS 5 PLANALTINA;0002063042;ESB TUCANO - PL;11.36;11.56;13.45;1.76;16.35;18.4
UBS 04 ITAPOA;0002430835;ESB RUBI;0.0;0.0;0.0;0.0;0.0;0.0
UBS 07 SAMAMBAIA;0001924605;ESB 04 - UBS 07 SAM;0.0;3.49;15.0;100.0;329.8;100.0
UBS 2 SANTA MARIA;0001879650;0550/01;12.73;11.71;42.86;-8.01;266.01;236.68
UBS 03 TAGUATINGA;0001923412;ESB 01 - UBS 03 TAG;7.84;0.0;0.0;-100.0;0.0;-100.0
UBS 13 BOA ESPERANCA CEILANDIA;0002019140;ESB 36;20.69;0.0;20.59;-100.0;100.0;-0.48
UBS 02 SAMAMBAIA;0002064162;ESB 04 - UBS 02 SAM;10.33;3.51;0.0;-66.02;-100.0;-100.0
UBS 01 CANDANGOLANDIA;0002117762;ESB 01 UBS 01 CANDANGOLANDIA;1.96;6.38;4.4;225.51;-31.03;124.49
UBS 3 RESIDENCIAL OESTE SAO SEBASTIAO;0001910345;ESB OESTE SSB;0.0;0.0;0.0;0.0;0.0;0.0
UBS 12 SAMAMBAIA;0002064308;ESB 05 - UBS 12 SAM;3.7;0.0;0.0;-100.0;0.0;-100.0
UBS 02 RECANTO DAS EMAS;0002064340;ESB 02 - UBS 02 REC;10.14;0.0;9.71;-100.0;100.0;-4.24
UBS 2 SOBRADINHO;0002062615;ESB ONIX;3.06;2.11;0.56;-31.05;-73.46;-81.7
UBS 05 TAGUATINGA;0002064049;ESB 03 - UBS 05 TAG;2.02;0.0;0.0;-100.0;0.0;-100.0
UBS 12 SAMAMBAIA;0001924869;ESB 04 - UBS 12 SAM;13.83;15.46;9.76;11.79;-36.87;-29.43
UBS 3 CEILANDIA;0002018721;ESB 14;1.02;3.35;3.51;228.43;4.78;244.12
