RELATÓRIO DE CRESCIMENTO - Tratamento Odontológico concluído
Equipes: eSB
Competências: ABR/25, AGO/25, DEZ/25

==================================================
RESUMO DAS VARIAÇÕES
==================================================
ABR_25: Média de pontuação = 102.86
AGO_25: Média de pontuação = 112.18
DEZ_25: Média de pontuação = 105.48

% de crescimento entre 2025-04 e 2025-08: 31.68%
% de crescimento entre 2025-08 e 2025-12: 19.25%

Crescimento total médio: 25.10%

==================================================
TOP 5 - MAIOR CRESCIMENTO
==================================================
  ESB 5 SAO SEBASTIAO (INE: 0001910221): 200.03%
  ESB 6 SAO SEBASTIAO (INE: 0001910248): 199.99%
  ESB 5 PARANOA (INE: 0001906046): 185.71%
  ESB 1 ITAPOA (INE: 0001909827): 136.35%
  ESB 2 PARANOA PARQUE (INE: 0001909371): 100.00%

==================================================
TOP 5 - MENOR CRESCIMENTO
==================================================
  ESB 3 PARANOA (INE: 0001905902): -100.00%
  ESB 1 PARANOA PARQUE (INE: 0001906240): -100.00%
  ESB 1 SAO SEBASTIAO (INE: 0001910116): -75.00%
  ESB 2 JARDINS MANGUEIRAL (INE: 0001910264): -61.91%
  ESB 1 PARANOA (INE: 0001905716): -60.84%


==================================================
DADOS COMPLETOS
==================================================

ESTABELECIMENTO;INE;NOME DA EQUIPE;PONT_ABR_25;PONT_AGO_25;PONT_DEZ_25;VAR_1_2_%;VAR_2_3_%;CRESCIMENTO_TOTAL_%
UBS 5 NOVA BETANIA SAO SEBASTIAO;0001910361;ESB NOVA BETANIA SSB;66.67;150.0;50.0;124.99;-66.67;-25.0
UBS 1 PARANOA;0001905872;ESB 2 PARANOA;100.0;188.89;50.0;88.89;-73.53;-50.0
UBS 04 ITAPOA;0002430835;ESB RUBI;0.0;0.0;0.0;0.0;0.0;0.0
UBS 4 JARDIM II PARANOA;0002452219;ESB JARDIM II;60.0;450.0;100.0;650.0;-77.78;66.67
UBS 1 ITAPOA;0001909940;ESB 4 ITAPOA;88.89;66.67;133.33;-25.0;99.99;49.99
UBS 6 CARIRU PARANOA;0001909584;ESB CARIRU;60.0;66.67;62.5;11.12;-6.25;4.17
UBS 1 ITAPOA;0001909827;ESB 1 ITAPOA;84.62;111.11;200.0;31.3;80.0;136.35
UBS 3 PARANOA PARQUE;0002502917;ESB 4 PARANOA PARQUE;191.3;153.85;208.33;-19.58;35.41;8.9
UBS 1 SAO SEBASTIAO;0001910302;ESB 9 SAO SEBASTIAO;0.0;0.0;100.0;0.0;100.0;100.0
UBS 2 QUADRA 18 PARANOA;0001906135;ESB QD 18 PAR;175.0;300.0;200.0;71.43;-33.33;14.29
UBS 1 PARANOA;0001905953;ESB 4 PARANOA;128.57;120.0;136.36;-6.67;13.63;6.06
UBS 1 PARANOA;0001905716;ESB 1 PARANOA;162.5;50.0;63.64;-69.23;27.28;-60.84
UBS 1 PARANOA;0001906046;ESB 5 PARANOA;87.5;100.0;250.0;14.29;150.0;185.71
UBS 7 CAFE SEM TROCO PARANOA;0001909746;ESB CAFE SEM TROCO;112.5;166.67;175.0;48.15;5.0;55.56
UBS 3 RESIDENCIAL OESTE SAO SEBASTIAO;0001910345;ESB OESTE SSB;0.0;0.0;0.0;0.0;0.0;0.0
UBS 1 SAO SEBASTIAO;0001910183;ESB 4 SAO SEBASTIAO;0.0;25.0;50.0;100.0;100.0;100.0
UBS 1 SAO SEBASTIAO;0001910140;ESB 2 SAO SEBASTIAO;60.0;100.0;100.0;66.67;0.0;66.67
UBS 1 SAO SEBASTIAO;0001910116;ESB 1 SAO SEBASTIAO;200.0;150.0;50.0;-25.0;-66.67;-75.0
UBS 1 ITAPOA;0001909991;ESB 5 ITAPOA;25.0;100.0;33.33;300.0;-66.67;33.32
UBS 2 ITAPOA;0001910035;ESB 6 ITAPOA;145.45;125.0;171.43;-14.06;37.14;17.86
UBS 1 PARANOA;0001905902;ESB 3 PARANOA;300.0;400.0;0.0;33.33;-100.0;-100.0
UBS 1 ITAPOA;0001909851;ESB 2 ITAPOA;150.0;230.0;190.0;53.33;-17.39;26.67
UBS 1 SAO SEBASTIAO;0001910248;ESB 6 SAO SEBASTIAO;66.67;200.0;200.0;199.99;0.0;199.99
UBS 3 PARANOA PARQUE;0001906240;ESB 1 PARANOA PARQUE;158.82;0.0;0.0;-100.0;0.0;-100.0
UBS 3 ITAPOA;0001910086;ESB 8 ITAPOA;75.0;64.71;36.36;-13.72;-43.81;-51.52
UBS 3 PARANOA PARQUE;0001909371;ESB 2 PARANOA PARQUE;0.0;0.0;104.55;0.0;100.0;100.0
UBS 8 PADDF PARANOA;0001909797;ESB PADDF;300.0;70.59;166.67;-76.47;136.11;-44.44
UBS 2 ITAPOA;0002430843;ESB ESMERALDA;0.0;0.0;0.0;0.0;0.0;0.0
UBS 3 PARANOA PARQUE;0001909444;ESB 3 PARANOA PARQUE;110.0;70.27;100.0;-36.12;42.31;-9.09
UBS 1 SAO SEBASTIAO;0001910221;ESB 5 SAO SEBASTIAO;33.33;0.0;100.0;-100.0;100.0;200.03
UBS 9 RESIDENCIAL DO BOSQUE 1 SAO SEBASTIAO;0001910485;ESB BOSQUE 1 SSB;122.22;0.0;116.67;-100.0;100.0;-4.54
UBS 1 JARDINS MANGUEIRAL;0001910264;ESB 2 JARDINS MANGUEIRAL;150.0;200.0;57.14;33.33;-71.43;-61.91
UBS 5 QUEBRADA DOS NERES;0001909568;ESB QUEBRADA DOS NERES PAR;87.5;125.0;136.36;42.86;9.09;55.84
UBS 1 SAO SEBASTIAO;0001910167;ESB 3 SAO SEBASTIAO;80.0;0.0;111.11;-100.0;100.0;38.89
UBS 1 JARDINS MANGUEIRAL;0001910280;ESB 1 JARDINS MANGUEIRAL;121.43;91.67;144.44;-24.51;57.57;18.95
UBS 3 ITAPOA;0001910051;ESB 7 ITAPOA;200.0;162.5;200.0;-18.75;23.08;0.0
