RELATÓRIO DE EVOLUÇÃO - Tratamento Odontológico concluído
Equipes: eSB
Competências: ABR/25, AGO/25, DEZ/25

==================================================
RESUMO DAS VARIAÇÕES
==================================================
ABR_25: Média de pontuação = 95.78
AGO_25: Média de pontuação = 96.70
DEZ_25: Média de pontuação = 118.78

% de crescimento entre 2025-04 e 2025-08: 25.54%
% de crescimento entre 2025-08 e 2025-12: 51.94%

Crescimento total médio: 58.67%

==================================================
TOP 5 - MAIOR CRESCIMENTO
==================================================
  ESB 01 - UBS 04 REC (INE: 0001925660): 1819.85%
  ESB BALSAMO (INE: 0002062569): 1200.00%
  1212/53 (INE: 0001881329): 900.00%
  ESB 33 (INE: 0002019108): 900.00%
  ESB UOM (INE: 0002177013): 671.50%

==================================================
TOP 5 - MENOR CRESCIMENTO
==================================================
  ESB TUCANO - SOB (INE: 0002062607): -100.00%
  ESB 04 - UBS 02 GUARA (INE: 0002421747): -100.00%
  ESB 02 - UBS 01 VP (INE: 0002064103): -100.00%
  ESB 01 - UBS 03 REC (INE: 0001925083): -100.00%
  ESB 01 - UBS 05 TAG (INE: 0001923471): -100.00%


==================================================
DADOS COMPLETOS
==================================================

ESTABELECIMENTO;INE;NOME DA EQUIPE;PONT_ABR_25;PONT_AGO_25;PONT_DEZ_25;VAR_1_2_%;VAR_2_3_%;CRESCIMENTO_TOTAL_%
UBS 3 ITAPOA;0001910051;ESB 7 ITAPOA;200.0;162.5;200.0;-18.75;23.08;0.0
UBS 2 PLANALTINA;0002062895;ESB ORQUIDEA;300.0;230.0;400.0;-23.33;73.91;33.33
UBS 6 CEILANDIA;0002018934;ESB 20;36.36;150.0;110.0;312.54;-26.67;202.53
UBS 03 RECANTO DAS EMAS;0001925326;ESB 03 - UBS 03 REC;100.0;66.67;80.0;-33.33;19.99;-20.0
UBS 11 PONTE ALTA NORTE GAMA;0001881019;1208/50;20.0;0.0;28.57;-100.0;100.0;42.85
UBS 03 SAMAMBAIA;0002064219;ESB 02 - UBS 03 SAM;0.0;0.0;50.0;0.0;100.0;100.0
UBS 02 GUARA;0002117371;ESB 01 UBS 02 GUARA;100.0;0.0;60.0;-100.0;100.0;-40.0
UBS 1 ASA SUL;0002291142;ESB VERMELHA;71.43;0.0;0.0;-100.0;0.0;-100.0
UBS 7 CAFE SEM TROCO PARANOA;0001909746;ESB CAFE SEM TROCO;112.5;166.67;175.0;48.15;5.0;55.56
UBS 01 AGUAS CLARAS;0001917994;ESB 01 - UBS 01 AC;50.0;92.86;155.56;85.72;67.52;211.12
UBS 2 CRUZEIRO;0002516853;ESB GIRASSOL;0.0;133.33;50.0;100.0;-62.5;100.0
UBS 14 CONDOMINIO PRIVE CEILANDIA;0002019175;ESB 37;87.1;88.68;124.0;1.81;39.83;42.37
UBS 5 GAMA;0002256800;1232/68;0.0;0.0;0.0;0.0;0.0;0.0
UBS 5 QUEBRADA DOS NERES;0001909568;ESB QUEBRADA DOS NERES PAR;87.5;125.0;136.36;42.86;9.09;55.84
UBS 01 RECANTO DAS EMAS;0002064324;ESB 02 - UBS 01 REC;0.0;137.5;185.71;100.0;35.06;100.0
UBS 02 ESTRUTURAL;0002117673;ESB 01 UBS 02 ESTRUTURAL;85.71;81.82;50.0;-4.54;-38.89;-41.66
UBS 02 TAGUATINGA;0002064022;ESB 03 - UBS 02 TAG;0.0;0.0;0.0;0.0;0.0;0.0
UBS 08 TAGUATINGA;0001923617;ESB 01 - UBS 08 TAG;266.67;57.14;500.0;-78.57;775.04;87.5
UBS 01 ESTRUTURAL;0002117649;ESB 04 UBS 01 ESTRUTURAL;0.0;35.0;11.11;100.0;-68.26;100.0
UBS 1 PARANOA;0001905953;ESB 4 PARANOA;128.57;120.0;136.36;-6.67;13.63;6.06
UBS 03 RECANTO DAS EMAS;0001925083;ESB 01 - UBS 03 REC;100.0;80.0;0.0;-20.0;-100.0;-100.0
UBS 2 SOBRADINHO II;0002062801;ESB LIRIO;137.5;0.0;100.0;-100.0;100.0;-27.27
UBS 5 PLANALTINA;0002063042;ESB TUCANO - PL;116.67;112.5;175.0;-3.57;55.56;50.0
UBS 04 ITAPOA;0002430835;ESB RUBI;0.0;0.0;0.0;0.0;0.0;0.0
UBS 07 SAMAMBAIA;0001924605;ESB 04 - UBS 07 SAM;0.0;0.0;100.0;0.0;100.0;100.0
UBS 2 SANTA MARIA;0001879650;0550/01;0.0;69.23;200.0;100.0;188.89;100.0
UBS 03 TAGUATINGA;0001923412;ESB 01 - UBS 03 TAG;0.0;0.0;100.0;0.0;100.0;100.0
UBS 13 BOA ESPERANCA CEILANDIA;0002019140;ESB 36;64.29;0.0;138.46;-100.0;100.0;115.37
UBS 02 SAMAMBAIA;0002064162;ESB 04 - UBS 02 SAM;0.0;100.0;0.0;100.0;-100.0;0.0
UBS 01 CANDANGOLANDIA;0002117762;ESB 01 UBS 01 CANDANGOLANDIA;100.0;150.0;133.33;50.0;-11.11;33.33
UBS 3 RESIDENCIAL OESTE SAO SEBASTIAO;0001910345;ESB OESTE SSB;0.0;0.0;0.0;0.0;0.0;0.0
UBS 12 SAMAMBAIA;0002064308;ESB 05 - UBS 12 SAM;0.0;87.5;300.0;100.0;242.86;100.0
UBS 02 RECANTO DAS EMAS;0002064340;ESB 02 - UBS 02 REC;500.0;0.0;180.0;-100.0;100.0;-64.0
UBS 2 SOBRADINHO;0002062615;ESB ONIX;133.33;66.67;175.0;-50.0;162.49;31.25
UBS 05 TAGUATINGA;0002064049;ESB 03 - UBS 05 TAG;100.0;0.0;0.0;-100.0;0.0;-100.0
UBS 12 SAMAMBAIA;0001924869;ESB 04 - UBS 12 SAM;200.0;87.5;500.0;-56.25;471.43;150.0
UBS 3 CEILANDIA;0002018721;ESB 14;143.75;173.33;112.5;20.58;-35.09;-21.74
UBS 05 TAGUATINGA;0001923471;ESB 01 - UBS 05 TAG;50.0;50.0;0.0;0.0;-100.0;-100.0
UBS 1 LAGO SUL;0002452103;ESB LAGO SUL;100.0;111.11;125.0;11.11;12.5;25.0
UBS 05 RECANTO DAS EMAS;0002456427;ESB 02 - UBS 05 REC;83.33;40.0;0.0;-52.0;-100.0;-100.0
UBS 2 SANTA MARIA;0001879588;0540/00;1000.0;200.0;154.55;-80.0;-22.72;-84.54
UBS 1 ITAPOA;0001909991;ESB 5 ITAPOA;25.0;100.0;33.33;300.0;-66.67;33.32
