RELATÓRIO DE CRESCIMENTO - Tratamento Restaurador Atraumático
Equipes: eSB
Competências: ABR/25, AGO/25, DEZ/25

==================================================
RESUMO DAS VARIAÇÕES
==================================================
ABR_25: Média de pontuação = 21.97
AGO_25: Média de pontuação = 27.91
DEZ_25: Média de pontuação = 24.82

% de crescimento entre 2025-04 e 2025-08: 29.86%
% de crescimento entre 2025-08 e 2025-12: 13.55%

Crescimento total médio: 49.99%

==================================================
TOP 5 - MAIOR CRESCIMENTO
==================================================
  ESB 3 SAO SEBASTIAO (INE: 0001910167): 552.22%
  ESB 2 ITAPOA (INE: 0001909851): 394.33%
  ESB 4 SAO SEBASTIAO (INE: 0001910183): 343.69%
  ESB 5 ITAPOA (INE: 0001909991): 100.00%
  ESB 5 SAO SEBASTIAO (INE: 0001910221): 100.00%

==================================================
TOP 5 - MENOR CRESCIMENTO
==================================================
  ESB NOVA BETANIA SSB (INE: 0001910361): -100.00%
  ESB 2 PARANOA (INE: 0001905872): -100.00%
  ESB 6 SAO SEBASTIAO (INE: 0001910248): -100.00%
  ESB 3 PARANOA (INE: 0001905902): -83.34%
  ESB BOSQUE 1 SSB (INE: 0001910485): -63.34%


==================================================
DADOS COMPLETOS
==================================================

ESTABELECIMENTO;INE;NOME DA EQUIPE;PONT_ABR_25;PONT_AGO_25;PONT_DEZ_25;VAR_1_2_%;VAR_2_3_%;CRESCIMENTO_TOTAL_%
UBS 5 NOVA BETANIA SAO SEBASTIAO;0001910361;ESB NOVA BETANIA SSB;3.45;0.0;0.0;-100.0;0.0;-100.0
UBS 1 PARANOA;0001905872;ESB 2 PARANOA;66.67;83.33;0.0;24.99;-100.0;-100.0
UBS 04 ITAPOA;0002430835;ESB RUBI;0.0;0.0;0.0;0.0;0.0;0.0
UBS 4 JARDIM II PARANOA;0002452219;ESB JARDIM II;56.52;62.16;75.0;9.98;20.66;32.7
UBS 1 ITAPOA;0001909940;ESB 4 ITAPOA;0.0;36.36;36.36;100.0;0.0;100.0
UBS 6 CARIRU PARANOA;0001909584;ESB CARIRU;32.73;26.92;50.0;-17.75;85.74;52.77
UBS 1 ITAPOA;0001909827;ESB 1 ITAPOA;82.69;75.76;73.56;-8.38;-2.9;-11.04
UBS 3 PARANOA PARQUE;0002502917;ESB 4 PARANOA PARQUE;48.78;20.59;38.64;-57.79;87.66;-20.79
UBS 1 SAO SEBASTIAO;0001910302;ESB 9 SAO SEBASTIAO;0.0;36.36;9.09;100.0;-75.0;100.0
UBS 2 QUADRA 18 PARANOA;0001906135;ESB QD 18 PAR;5.08;6.67;10.0;31.3;49.93;96.85
UBS 1 PARANOA;0001905953;ESB 4 PARANOA;23.08;19.35;35.29;-16.16;82.38;52.9
UBS 1 PARANOA;0001905716;ESB 1 PARANOA;20.0;44.44;15.38;122.2;-65.39;-23.1
