RELATÓRIO DE EVOLUÇÃO - Tratamento Restaurador Atraumático
Equipes: eSB
Competências: ABR/25, AGO/25, DEZ/25

==================================================
RESUMO DAS VARIAÇÕES
==================================================
ABR_25: Média de pontuação = 15.61
AGO_25: Média de pontuação = 16.72
DEZ_25: Média de pontuação = 17.64

% de crescimento entre 2025-04 e 2025-08: 26.81%
% de crescimento entre 2025-08 e 2025-12: 23.89%

Crescimento total médio: 42.02%

==================================================
TOP 5 - MAIOR CRESCIMENTO
==================================================
  ESB 01 UBS 01 PARK WAY (INE: 0002117894): 1401.50%
  ESB 5 (INE: 0002018578): 998.90%
  ESB 03 - UBS 04 REC (INE: 0001925733): 924.59%
  ESB 38 (INE: 0002019191): 649.63%
  ESB VERDE (INE: 0002489201): 600.21%

==================================================
TOP 5 - MENOR CRESCIMENTO
==================================================
  ESB 02 - UBS 04 SAM (INE: 0001923870): -100.00%
  ESB 04 - UBS 02 TAG (INE: 0002064030): -100.00%
  ESB JERIVA (INE: 0002062550): -100.00%
  ESB 04 - UBS 02 GUARA (INE: 0002421747): -100.00%
  ESB 02 UBS 01 RIACHO FUNDO 01 (INE: 0002117843): -100.00%


==================================================
DADOS COMPLETOS
==================================================

ESTABELECIMENTO;INE;NOME DA EQUIPE;PONT_ABR_25;PONT_AGO_25;PONT_DEZ_25;VAR_1_2_%;VAR_2_3_%;CRESCIMENTO_TOTAL_%
UBS 3 ITAPOA;0001910051;ESB 7 ITAPOA;0.0;0.0;0.0;0.0;0.0;0.0
UBS 2 PLANALTINA;0002062895;ESB ORQUIDEA;0.0;0.0;0.0;0.0;0.0;0.0
UBS 6 CEILANDIA;0002018934;ESB 20;0.0;0.0;3.57;0.0;100.0;100.0
UBS 03 RECANTO DAS EMAS;0001925326;ESB 03 - UBS 03 REC;42.31;25.0;28.57;-40.91;14.28;-32.47
UBS 11 PONTE ALTA NORTE GAMA;0001881019;1208/50;78.95;0.0;38.89;-100.0;100.0;-50.74
UBS 03 SAMAMBAIA;0002064219;ESB 02 - UBS 03 SAM;14.29;9.09;25.0;-36.39;175.03;74.95
UBS 02 GUARA;0002117371;ESB 01 UBS 02 GUARA;7.41;0.0;20.0;-100.0;100.0;169.91
UBS 1 ASA SUL;0002291142;ESB VERMELHA;0.0;0.0;0.0;0.0;0.0;0.0
UBS 7 CAFE SEM TROCO PARANOA;0001909746;ESB CAFE SEM TROCO;41.3;0.0;62.5;-100.0;100.0;51.33
UBS 01 AGUAS CLARAS;0001917994;ESB 01 - UBS 01 AC;0.0;0.0;0.0;0.0;0.0;0.0
UBS 2 CRUZEIRO;0002516853;ESB GIRASSOL;0.0;10.2;28.57;100.0;180.1;100.0
UBS 14 CONDOMINIO PRIVE CEILANDIA;0002019175;ESB 37;20.93;31.62;7.69;51.08;-75.68;-63.26
UBS 5 GAMA;0002256800;1232/68;0.0;0.0;75.0;0.0;100.0;100.0
UBS 5 QUEBRADA DOS NERES;0001909568;ESB QUEBRADA DOS NERES PAR;0.0;0.0;5.26;0.0;100.0;100.0
UBS 01 RECANTO DAS EMAS;0002064324;ESB 02 - UBS 01 REC;0.0;16.67;16.67;100.0;0.0;100.0
UBS 02 ESTRUTURAL;0002117673;ESB 01 UBS 02 ESTRUTURAL;16.28;14.08;42.86;-13.51;204.4;163.27
UBS 02 TAGUATINGA;0002064022;ESB 03 - UBS 02 TAG;0.0;0.0;0.0;0.0;0.0;0.0
UBS 08 TAGUATINGA;0001923617;ESB 01 - UBS 08 TAG;0.0;13.79;25.93;100.0;88.03;100.0
UBS 01 ESTRUTURAL;0002117649;ESB 04 UBS 01 ESTRUTURAL;0.0;60.0;14.29;100.0;-76.18;100.0
UBS 1 PARANOA;0001905953;ESB 4 PARANOA;23.08;19.35;35.29;-16.16;82.38;52.9
UBS 03 RECANTO DAS EMAS;0001925083;ESB 01 - UBS 03 REC;0.0;0.0;6.25;0.0;100.0;100.0
UBS 2 SOBRADINHO II;0002062801;ESB LIRIO;14.29;0.0;12.5;-100.0;100.0;-12.53
UBS 5 PLANALTINA;0002063042;ESB TUCANO - PL;23.08;9.09;13.51;-60.62;48.62;-41.46
UBS 04 ITAPOA;0002430835;ESB RUBI;0.0;0.0;0.0;0.0;0.0;0.0
UBS 07 SAMAMBAIA;0001924605;ESB 04 - UBS 07 SAM;0.0;0.0;0.0;0.0;0.0;0.0
UBS 2 SANTA MARIA;0001879650;0550/01;12.5;15.56;0.0;24.48;-100.0;-100.0
UBS 03 TAGUATINGA;0001923412;ESB 01 - UBS 03 TAG;50.0;0.0;0.0;-100.0;0.0;-100.0
UBS 13 BOA ESPERANCA CEILANDIA;0002019140;ESB 36;66.67;0.0;53.85;-100.0;100.0;-19.23
UBS 02 SAMAMBAIA;0002064162;ESB 04 - UBS 02 SAM;0.0;0.0;0.0;0.0;0.0;0.0
UBS 01 CANDANGOLANDIA;0002117762;ESB 01 UBS 01 CANDANGOLANDIA;33.33;55.0;57.58;65.02;4.69;72.76
UBS 3 RESIDENCIAL OESTE SAO SEBASTIAO;0001910345;ESB OESTE SSB;0.0;0.0;0.0;0.0;0.0;0.0
UBS 12 SAMAMBAIA;0002064308;ESB 05 - UBS 12 SAM;14.29;29.41;22.22;105.81;-24.45;55.49
UBS 02 RECANTO DAS EMAS;0002064340;ESB 02 - UBS 02 REC;5.41;0.0;26.32;-100.0;100.0;386.51
UBS 2 SOBRADINHO;0002062615;ESB ONIX;9.09;15.63;8.33;71.95;-46.71;-8.36
UBS 05 TAGUATINGA;0002064049;ESB 03 - UBS 05 TAG;0.0;0.0;0.0;0.0;0.0;0.0
UBS 12 SAMAMBAIA;0001924869;ESB 04 - UBS 12 SAM;75.0;67.65;7.69;-9.8;-88.63;-89.75
UBS 3 CEILANDIA;0002018721;ESB 14;33.33;0.0;0.0;-100.0;0.0;-100.0
UBS 05 TAGUATINGA;0001923471;ESB 01 - UBS 05 TAG;0.0;60.0;0.0;100.0;-100.0;0.0
UBS 1 LAGO SUL;0002452103;ESB LAGO SUL;0.0;0.0;0.0;0.0;0.0;0.0
UBS 05 RECANTO DAS EMAS;0002456427;ESB 02 - UBS 05 REC;15.63;12.5;0.0;-20.03;-100.0;-100.0
UBS 2 SANTA MARIA;0001879588;0540/00;12.5;20.0;41.38;60.0;106.9;231.04
UBS 1 ITAPOA;0001909991;ESB 5 ITAPOA;0.0;11.54;20.83;100.0;80.5;100.0
UBS 3 PARANOA PARQUE;0001909371;ESB 2 PARANOA PARQUE;0.0;100.0;19.15;100.0;-80.85;100.0
UBS 01 VICENTE PIRES;0002064103;ESB 02 - UBS 01 VP;19.05;35.14;13.33;84.46;-62.07;-30.03
UBS 2 CRUZEIRO;0002203138;ESB LIRIO;0.0;0.0;16.67;0.0;100.0;100.0
UBS 1 SANTA MARIA;0001879731;0552/33;0.0;17.5;15.0;100.0;-14.29;100.0
UBS 05 SAMAMBAIA;0001924273;ESB 01 - UBS 05 SAM;52.0;70.0;81.82;34.62;16.89;57.35
UBS 3 PARANOA PARQUE;0002502917;ESB 4 PARANOA PARQUE;48.78;20.59;38.64;-57.79;87.66;-20.79
UBS 7 GAMA;0001880934;1207/49;0.0;11.11;0.0;100.0;-100.0;0.0
UBS 01 RIACHO FUNDO I;0002117878;ESB 03 UBS 01 RIACHO FUNDO I;0.0;0.0;10.71;0.0;100.0;100.0
UBS 1 CRUZEIRO;0002203103;ESB ARATICUM;19.23;29.27;63.64;52.21;117.42;230.94
UBS 2 GAMA;0001880128;1200/42;0.0;0.0;0.0;0.0;0.0;0.0
UBS 9 CEILANDIA;0002272792;ESB 48;7.14;0.0;0.0;-100.0;0.0;-100.0
UBS 6 GAMA;0002452677;1238/74;0.0;0.0;0.0;0.0;0.0;0.0
UBS 3 PARANOA PARQUE;0001906240;ESB 1 PARANOA PARQUE;0.0;0.0;0.0;0.0;0.0;0.0
UBS 10 CEILANDIA;0002156288;ESB 44;10.81;15.0;13.04;38.76;-13.07;20.63
UBS 01 GUARA;0002117339;ESB 03 UBS 01 GUARA;18.18;0.0;0.0;-100.0;0.0;-100.0
UBS 8 PADDF PARANOA;0001909797;ESB PADDF;20.83;68.89;25.93;230.72;-62.36;24.48
UBS 01 TAGUATINGA;0001918508;ESB 03 - UBS 01 TAG;50.0;31.25;0.0;-37.5;-100.0;-100.0
UBS 8 TORRE DE BRAZLANDIA;0002018586;ESB 6;26.09;0.0;53.57;-100.0;100.0;105.33
UBS 08 RECANTO DAS EMAS SAO FRANCISCO;0002536943;ESB 01 - UBS 08 REC;0.0;0.0;10.71;0.0;100.0;100.0
UBS 1 ITAPOA;0001909940;ESB 4 ITAPOA;0.0;36.36;36.36;100.0;0.0;100.0
UBS 4 PLANALTINA;0002062925;ESB VALERIANA;40.0;58.33;44.44;45.82;-23.81;11.1
UBS 4 PLANALTINA;0002062968;ESB MARCELA;0.0;6.25;0.0;100.0;-100.0;0.0
UBS 2 CATINGUEIRO FERCAL;0002062569;ESB BALSAMO;0.0;0.0;22.22;0.0;100.0;100.0
